Name: “Table 1 of 1 on page 96 of 156”,Name: “Table 1 of 1 on page 96 of 156”,Name: “Table 1 of 1 on page 96 of 156”,Name: “Table 1 of 1 on page 96 of 156”,Name: “Table 1 of 1 on page 96 of 156”,Name: “Table 1 of 1 on page 96 of 156”
Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94
,,,,,
Recreation and Tourism,,,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region
Recreation/Tourism Revenue,Recreation/Tourism Revenue,Recreation/Tourism Revenue,Recreation/Tourism Revenue,Recreation/Tourism Revenue,
% total sales from,% total sales from,"Chenango, NY",2.2,"Huntingdon, PA",3.4
"arts, entertainment, recreation,","arts, entertainment, recreation,","Cortland, NY",4.6,"Indiana, PA",4.5
accommodation and food services (2002),accommodation and food services (2002),"Delaware, NY",2.9,"Jefferson, PA",2.6
"Kent, DE",3.3,"Herkimer, NY",4.6,"Juniata, PA",1.7
"New Castle, DE",2.9,"Livingston, NY",3.6,"Lackawanna, PA",5.2
"Sussex, DE",5.8,"Madison, NY",5.0,"Lancaster, PA",2.2
"District of Columbia, DC",7.3,"Montgomery, NY",2.5,"Lebanon, PA",2.9
"Allegany, MD",6.3,"Oneida, NY",4.0,"Luzerne, PA",3.3
"Anne Arundel, MD",3.8,"Onondaga, NY",2.3,"Lycoming, PA",2.8
"Baltimore, MD",3.7,"Ontario, NY",4.5,"McKean, PA",2.0
"Calvert, MD",8.6,"Otsego, NY",7.2,"Mifflin, PA",1.9
"Caroline, MD",1.9,"Schoharie, NY",6.7,"Montour, PA",11.6
"Carroll, MD",3.8,"Schuyler, NY",10.3,"Northumberland, PA",1.7
"Cecil, MD",5.6,"Steuben, NY",3.8,"Perry, PA",4.2
"Charles, MD",7.1,"Tioga, NY",3.2,"Potter, PA",3.1
"Dorchester, MD",3.6,"Tompkins, NY",7.7,"Schuylkill, PA",2.2
"Frederick, MD",4.2,"Yates, NY",3.1,"Snyder, PA",3.9
"Garrett, MD",7.4,"Adams, PA",3.8,"Somerset, PA",3.6
"Harford, MD",4.2,"Bedford, PA",4.3,"Sullivan, PA",7.0
"Howard, MD",2.3,"Berks, PA",3.7,"Susquehanna, PA",4.2
"Kent, MD",8.2,"Blair, PA",3.0,"Tioga, PA",3.2
"Montgomery, MD",3.8,"Bradford, PA",1.7,"Union, PA",5.2
"Prince George's, MD",3.9,"Cambria, PA",3.6,"Wayne, PA",13.3
"Queen Anne's, MD",6.5,"Cameron, PA",1.8,"Wyoming, PA",4.8
"St. Mary's, MD",8.0,"Carbon, PA",6.5,"York, PA",2.5
"Somerset, MD",14.0,"Centre, PA",6.5,"Accomack, VA",4.6
"Talbot, MD",5.6,"Chester, PA",2.3,"Albemarle, VA",9.5
"Washington, MD",2.6,"Clearfield, PA",3.4,"Alleghany, VA",2.5
"Wicomico, MD",5.5,"Clinton, PA",2.9,"Amelia, VA",4.4
"Worcester, MD",24.2,"Columbia, PA",9.5,"Amherst, VA",2.4
"Baltimore, MD (city)",5.5,"Cumberland, PA",3.5,"Appomattox, VA",3.5
"Allegany, NY",3.6,"Dauphin, PA",4.6,"Arlington, VA",6.7
"Broome, NY",3.2,"Elk, PA",1.5,"Augusta, VA",1.5
"Cayuga, NY",4.0,"Franklin, PA",2.9,"Bath, VA",--
"Chemung, NY",3.8,"Fulton, PA",5.7,"Bedford, VA",1.8
90,,,,,
