Name: “Table 1 of 1 on page 48 of 156”,Name: “Table 1 of 1 on page 48 of 156”,Name: “Table 1 of 1 on page 48 of 156”,Name: “Table 1 of 1 on page 48 of 156”,Name: “Table 1 of 1 on page 48 of 156”,Name: “Table 1 of 1 on page 48 of 156”
Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46
,,,,,
General Population,,,,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region
,Urban Population,Urban Population,Urban Population,,
,,"Chenango, NY",17.0,"Huntingdon, PA",30.8
% total population in,,,,,
urban areas (2000),,"Cortland, NY",55.2,"Indiana, PA",38.0
,,"Delaware, NY",15.0,"Jefferson, PA",33.8
"Kent, DE",64.5,"Herkimer, NY",48.8,"Juniata, PA",15.1
"New Castle, DE",94.4,"Livingston, NY",45.1,"Lackawanna, PA",82.6
"Sussex, DE",47.0,"Madison, NY",41.8,"Lancaster, PA",75.3
"District of Columbia, DC",100.0,"Montgomery, NY",59.2,"Lebanon, PA",69.1
"Allegany, MD",74.1,"Oneida, NY",64.5,"Luzerne, PA",79.7
"Anne Arundel, MD",94.4,"Onondaga, NY",86.7,"Lycoming, PA",64.1
"Baltimore, MD",93.8,"Ontario, NY",49.5,"McKean, PA",36.6
"Calvert, MD",54.2,"Otsego, NY",26.2,"Mifflin, PA",44.1
"Caroline, MD",21.7,"Schoharie, NY",16.7,"Montour, PA",45.6
"Carroll, MD",57.0,"Schuyler, NY",20.2,"Northumberland, PA",62.6
"Cecil, MD",47.6,"Steuben, NY",37.7,"Perry, PA",13.8
"Charles, MD",66.3,"Tioga, NY",34.8,"Potter, PA",0.0
"Dorchester, MD",40.9,"Tompkins, NY",58.4,"Schuylkill, PA",63.2
"Frederick, MD",71.4,"Yates, NY",26.9,"Snyder, PA",28.9
"Garrett, MD",16.9,"Adams, PA",39.6,"Somerset, PA",25.2
"Harford, MD",77.7,"Bedford, PA",15.7,"Sullivan, PA",0.0
"Howard, MD",87.4,"Berks, PA",72.9,"Susquehanna, PA",18.5
"Kent, MD",26.1,"Blair, PA",74.0,"Tioga, PA",15.7
"Montgomery, MD",97.2,"Bradford, PA",27.9,"Union, PA",55.9
"Prince George's, MD",97.4,"Cambria, PA",67.6,"Wayne, PA",16.2
"Queen Anne's, MD",39.8,"Cameron, PA",56.9,"Wyoming, PA",15.1
"St. Mary's, MD",37.8,"Carbon, PA",49.7,"York, PA",71.3
"Somerset, MD",48.4,"Centre, PA",64.3,"Accomack, VA",19.2
"Talbot, MD",37.0,"Chester, PA",81.0,"Albemarle, VA",51.8
"Washington, MD",68.3,"Clearfield, PA",45.9,"Alleghany, VA",47.1
"Wicomico, MD",68.5,"Clinton, PA",49.5,"Amelia, VA",0.0
"Worcester, MD",63.4,"Columbia, PA",55.7,"Amherst, VA",37.0
"Baltimore, MD (city)",100.0,"Cumberland, PA",75.2,"Appomattox, VA",0.0
"Allegany, NY",20.8,"Dauphin, PA",85.3,"Arlington, VA",100.0
"Broome, NY",73.7,"Elk, PA",52.4,"Augusta, VA",22.2
"Cayuga, NY",47.5,"Franklin, PA",52.6,"Bath, VA",0.0
"Chemung, NY",73.7,"Fulton, PA",0.0,"Bedford, VA",14.8
42,,,,,
