Name: “Table 1 of 1 on page 88 of 156”,Name: “Table 1 of 1 on page 88 of 156”,Name: “Table 1 of 1 on page 88 of 156”,Name: “Table 1 of 1 on page 88 of 156”,Name: “Table 1 of 1 on page 88 of 156”,Name: “Table 1 of 1 on page 88 of 156”
Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86
,,,,,
Recreation and Tourism,,,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region
Recreation/Tourism Establishments,Recreation/Tourism Establishments,Recreation/Tourism Establishments,Recreation/Tourism Establishments,Recreation/Tourism Establishments,
% total establishments in,% total establishments in,"Chenango, NY",10.7,"Huntingdon, PA",11.2
"arts, entertainment, recreation,","arts, entertainment, recreation,","Cortland, NY",14.5,"Indiana, PA",9.6
accommodation and food services (2005),accommodation and food services (2005),"Delaware, NY",13.6,"Jefferson, PA",8.8
"Kent, DE",8.7,"Herkimer, NY",16.0,"Juniata, PA",7.5
"New Castle, DE",7.3,"Livingston, NY",13.7,"Lackawanna, PA",11.2
"Sussex, DE",11.2,"Madison, NY",13.1,"Lancaster, PA",8.9
"District of Columbia, DC",10.9,"Montgomery, NY",11.2,"Lebanon, PA",9.7
"Allegany, MD",11.3,"Oneida, NY",11.8,"Luzerne, PA",10.9
"Anne Arundel, MD",8.9,"Onondaga, NY",10.7,"Lycoming, PA",10.6
"Baltimore, MD",8.8,"Ontario, NY",13.0,"McKean, PA",11.9
"Calvert, MD",8.3,"Otsego, NY",16.4,"Mifflin, PA",9.1
"Caroline, MD",6.1,"Schoharie, NY",12.2,"Montour, PA",12.9
"Carroll, MD",6.9,"Schuyler, NY",20.5,"Northumberland, PA",10.4
"Cecil, MD",11.4,"Steuben, NY",13.2,"Perry, PA",10.3
"Charles, MD",9.1,"Tioga, NY",13.3,"Potter, PA",11.9
"Dorchester, MD",8.1,"Tompkins, NY",16.0,"Schuylkill, PA",10.3
"Frederick, MD",7.8,"Yates, NY",11.8,"Snyder, PA",11.6
"Garrett, MD",9.5,"Adams, PA",13.0,"Somerset, PA",10.8
"Harford, MD",7.8,"Bedford, PA",10.4,"Sullivan, PA",12.4
"Howard, MD",7.7,"Berks, PA",10.3,"Susquehanna, PA",11.0
"Kent, MD",13.3,"Blair, PA",9.4,"Tioga, PA",12.8
"Montgomery, MD",7.7,"Bradford, PA",9.0,"Union, PA",10.9
"Prince George's, MD",8.9,"Cambria, PA",10.0,"Wayne, PA",13.2
"Queen Anne's, MD",8.0,"Cameron, PA",11.3,"Wyoming, PA",10.4
"St. Mary's, MD",9.2,"Carbon, PA",12.5,"York, PA",9.7
"Somerset, MD",8.7,"Centre, PA",10.6,"Accomack, VA",13.6
"Talbot, MD",8.8,"Chester, PA",7.5,"Albemarle, VA",7.2
"Washington, MD",9.3,"Clearfield, PA",10.4,"Alleghany, VA",9.7
"Wicomico, MD",7.9,"Clinton, PA",11.2,"Amelia, VA",4.6
"Worcester, MD",20.2,"Columbia, PA",11.9,"Amherst, VA",7.8
"Baltimore, MD (city)",12.2,"Cumberland, PA",9.5,"Appomattox, VA",5.9
"Allegany, NY",15.0,"Dauphin, PA",11.2,"Arlington, VA",11.4
"Broome, NY",13.2,"Elk, PA",8.9,"Augusta, VA",6.9
"Cayuga, NY",13.0,"Franklin, PA",9.7,"Bath, VA",12.8
"Chemung, NY",12.6,"Fulton, PA",9.3,"Bedford, VA",5.9
82,,,,,
