Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”,Name: “Table 1 of 1 on page 92 of 156”
Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90
,,,,,
Recreation and Tourism,,,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region
Recreation/Tourism Employment,Recreation/Tourism Employment,Recreation/Tourism Employment,Recreation/Tourism Employment,Recreation/Tourism Employment,
% total paid employees in,% total paid employees in,"Chenango, NY",7.1,"Huntingdon, PA",9.4
"arts, entertainment, recreation,","arts, entertainment, recreation,","Cortland, NY",19.5,"Indiana, PA",11.5
accommodation and food services (2005),accommodation and food services (2005),"Delaware, NY",8.7,"Jefferson, PA",7.6
"Kent, DE",13.2,"Herkimer, NY",12.2,"Juniata, PA",6.4
"New Castle, DE",8.6,"Livingston, NY",16.5,"Lackawanna, PA",9.6
"Sussex, DE",11.6,"Madison, NY",13.7,"Lancaster, PA",8.9
"District of Columbia, DC",12.6,"Montgomery, NY",7.5,"Lebanon, PA",7.5
"Allegany, MD",12.7,"Oneida, NY",8.0,"Luzerne, PA",10.0
"Anne Arundel, MD",12.0,"Onondaga, NY",9.2,"Lycoming, PA",9.2
"Baltimore, MD",9.8,"Ontario, NY",13.2,"McKean, PA",7.6
"Calvert, MD",15.4,"Otsego, NY",14.5,"Mifflin, PA",7.9
"Caroline, MD",5.8,"Schoharie, NY",9.8,"Montour, PA",7.1
"Carroll, MD",12.1,"Schuyler, NY",10.6,"Northumberland, PA",6.5
"Cecil, MD",13.8,"Steuben, NY",9.6,"Perry, PA",10.7
"Charles, MD",14.3,"Tioga, NY",8.4,"Potter, PA",5.4
"Dorchester, MD",12.0,"Tompkins, NY",9.9,"Schuylkill, PA",7.2
"Frederick, MD",10.6,"Yates, NY",8.5,"Snyder, PA",9.8
"Garrett, MD",17.7,"Adams, PA",13.8,"Somerset, PA",10.8
"Harford, MD",13.5,"Bedford, PA",11.0,"Sullivan, PA",6.4
"Howard, MD",8.5,"Berks, PA",8.8,"Susquehanna, PA",12.1
"Kent, MD",12.5,"Blair, PA",10.8,"Tioga, PA",11.5
"Montgomery, MD",8.7,"Bradford, PA",6.7,"Union, PA",11.7
"Prince George's, MD",9.8,"Cambria, PA",9.0,"Wayne, PA",20.1
"Queen Anne's, MD",18.1,"Cameron, PA",3.9,"Wyoming, PA",8.1
"St. Mary's, MD",11.9,"Carbon, PA",21.0,"York, PA",9.1
"Somerset, MD",10.2,"Centre, PA",15.5,"Accomack, VA",9.5
"Talbot, MD",13.9,"Chester, PA",7.9,"Albemarle, VA",10.4
"Washington, MD",9.7,"Clearfield, PA",9.5,"Alleghany, VA",9.3
"Wicomico, MD",10.1,"Clinton, PA",11.5,"Amelia, VA",9.0
"Worcester, MD",33.8,"Columbia, PA",10.3,"Amherst, VA",7.7
"Baltimore, MD (city)",9.5,"Cumberland, PA",8.8,"Appomattox, VA",9.4
"Allegany, NY",15.4,"Dauphin, PA",11.0,"Arlington, VA",13.5
"Broome, NY",10.9,"Elk, PA",5.3,"Augusta, VA",6.6
"Cayuga, NY",9.8,"Franklin, PA",10.7,"Bath, VA",41.7
"Chemung, NY",10.3,"Fulton, PA",8.6,"Bedford, VA",6.0
86,,,,,
