Name: “Table 1 of 1 on page 104 of 156”,Name: “Table 1 of 1 on page 104 of 156”,Name: “Table 1 of 1 on page 104 of 156”,Name: “Table 1 of 1 on page 104 of 156”,Name: “Table 1 of 1 on page 104 of 156”,Name: “Table 1 of 1 on page 104 of 156”
Table: 102,Table: 102,Table: 102,Table: 102,Table: 102,Table: 102
,,,,,
Administration and Government,,,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region
,Federal Expenditures,Federal Expenditures,Federal Expenditures,,
,,"Chenango, NY","5,643","Huntingdon, PA","6,180"
federal expenditures,,,,,
per capita ($) (2005),,"Cortland, NY","5,484","Indiana, PA","6,632"
,,"Delaware, NY","7,706","Jefferson, PA","6,977"
"Kent, DE","8,339","Herkimer, NY","5,818","Juniata, PA","4,695"
"New Castle, DE","5,440","Livingston, NY","4,698","Lackawanna, PA","8,781"
"Sussex, DE","6,611","Madison, NY","4,823","Lancaster, PA","4,491"
"District of Columbia, DC","65,045","Montgomery, NY","7,063","Lebanon, PA","7,310"
"Allegany, MD","8,219","Oneida, NY","7,713","Luzerne, PA","7,909"
"Anne Arundel, MD","10,481","Onondaga, NY","7,351","Lycoming, PA","6,175"
"Baltimore, MD","7,463","Ontario, NY","5,708","McKean, PA","6,772"
"Calvert, MD","4,223","Otsego, NY","5,749","Mifflin, PA","6,712"
"Caroline, MD","5,991","Schoharie, NY","5,436","Montour, PA","6,379"
"Carroll, MD","4,262","Schuyler, NY","5,622","Northumberland, PA","6,755"
"Cecil, MD","4,862","Steuben, NY","6,920","Perry, PA","4,760"
"Charles, MD","6,403","Tioga, NY","23,561","Potter, PA","6,344"
"Dorchester, MD","8,450","Tompkins, NY","6,705","Schuylkill, PA","6,875"
"Frederick, MD","9,400","Yates, NY","5,622","Snyder, PA","4,753"
"Garrett, MD","6,499","Adams, PA","4,965","Somerset, PA","7,017"
"Harford, MD","7,927","Bedford, PA","6,306","Sullivan, PA","6,855"
"Howard, MD","5,072","Berks, PA","4,781","Susquehanna, PA","5,465"
"Kent, MD","7,683","Blair, PA","7,386","Tioga, PA","6,635"
"Montgomery, MD","16,883","Bradford, PA","6,026","Union, PA","6,982"
"Prince George's, MD","12,749","Cambria, PA","9,532","Wayne, PA","6,710"
"Queen Anne's, MD","5,092","Cameron, PA","8,090","Wyoming, PA","5,434"
"St. Mary's, MD","26,589","Carbon, PA","6,252","York, PA","8,974"
"Somerset, MD","6,798","Centre, PA","6,392","Accomack, VA","10,522"
"Talbot, MD","7,474","Chester, PA","4,625","Albemarle, VA","3,176"
"Washington, MD","5,213","Clearfield, PA","6,296","Alleghany, VA","4,493"
"Wicomico, MD","5,161","Clinton, PA","6,417","Amelia, VA","4,681"
"Worcester, MD","35,429","Columbia, PA","5,537","Amherst, VA","5,935"
"Baltimore, MD (city)","15,145","Cumberland, PA","6,994","Appomattox, VA","4,756"
"Allegany, NY","5,895","Dauphin, PA","18,225","Arlington, VA","49,777"
"Broome, NY","6,830","Elk, PA","5,951","Augusta, VA","3,464"
"Cayuga, NY","5,702","Franklin, PA","6,545","Bath, VA","6,974"
"Chemung, NY","7,013","Fulton, PA","9,109","Bedford, VA","4,636"
98,,,,,
