Name: “Table 1 of 1 on page 140 of 156”,Name: “Table 1 of 1 on page 140 of 156”,Name: “Table 1 of 1 on page 140 of 156”,Name: “Table 1 of 1 on page 140 of 156”,Name: “Table 1 of 1 on page 140 of 156”,Name: “Table 1 of 1 on page 140 of 156”
Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138
,,,,,
Land Use,,,,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region
,,Building Permits,Building Permits,,
,,"Chenango, NY",17.5,"Huntingdon, PA",133.2
average annual number,average annual number,,,,
of building permits (1995-2005),of building permits (1995-2005),"Cortland, NY",69.0,"Indiana, PA",213.7
,,"Delaware, NY",100.5,"Jefferson, PA",297.3
"Kent, DE","1,236.7","Herkimer, NY",98.3,"Juniata, PA",77.0
"New Castle, DE","2,128.8","Livingston, NY",182.9,"Lackawanna, PA",412.4
"Sussex, DE","2,287.4","Madison, NY",128.5,"Lancaster, PA","2,058.9"
"District of Columbia, DC",970.7,"Montgomery, NY",39.5,"Lebanon, PA",566.0
"Allegany, MD",109.5,"Oneida, NY",248.7,"Luzerne, PA",594.7
"Anne Arundel, MD","2,838.3","Onondaga, NY",939.6,"Lycoming, PA",236.1
"Baltimore, MD","2,616.9","Ontario, NY",430.6,"McKean, PA",206.5
"Calvert, MD",831.9,"Otsego, NY",68.2,"Mifflin, PA",115.2
"Caroline, MD",207.5,"Schoharie, NY",60.8,"Montour, PA",64.5
"Carroll, MD","1,184.4","Schuyler, NY",27.5,"Northumberland, PA",191.5
"Cecil, MD",854.2,"Steuben, NY",181.5,"Perry, PA",141.0
"Charles, MD","1,261.2","Tioga, NY",83.0,"Potter, PA",89.5
"Dorchester, MD",193.5,"Tompkins, NY",264.5,"Schuylkill, PA",230.2
"Frederick, MD","1,925.6","Yates, NY",50.7,"Snyder, PA",114.4
"Garrett, MD",285.2,"Adams, PA",593.5,"Somerset, PA",196.1
"Harford, MD","1,891.1","Bedford, PA",150.6,"Sullivan, PA",40.5
"Howard, MD","1,848.3","Berks, PA","1,708.0","Susquehanna, PA",113.7
"Kent, MD",195.5,"Blair, PA",342.9,"Tioga, PA",126.5
"Montgomery, MD","4,147.2","Bradford, PA",125.8,"Union, PA",199.5
"Prince George's, MD","3,040.1","Cambria, PA",210.3,"Wayne, PA",441.5
"Queen Anne's, MD",416.7,"Cameron, PA",270.8,"Wyoming, PA",81.8
"St. Mary's, MD",935.6,"Carbon, PA",261.7,"York, PA","2,157.0"
"Somerset, MD",98.7,"Centre, PA",652.9,"Accomack, VA",194.5
"Talbot, MD",250.1,"Chester, PA","2,610.0","Albemarle, VA",689.4
"Washington, MD",934.4,"Clearfield, PA",208.6,"Alleghany, VA",43.8
"Wicomico, MD",684.8,"Clinton, PA",158.7,"Amelia, VA",95.9
"Worcester, MD",821.0,"Columbia, PA",220.0,"Amherst, VA",223.2
"Baltimore, MD (city)",376.0,"Cumberland, PA","1,061.5","Appomattox, VA",109.2
"Allegany, NY",81.6,"Dauphin, PA","1,025.0","Arlington, VA",621.4
"Broome, NY",187.8,"Elk, PA",84.7,"Augusta, VA",512.0
"Cayuga, NY",91.6,"Franklin, PA",729.5,"Bath, VA",26.7
"Chemung, NY",128.2,"Fulton, PA",80.5,"Bedford, VA",540.9
134,,,,,
