Name: “Table 1 of 1 on page 72 of 156”,Name: “Table 1 of 1 on page 72 of 156”,Name: “Table 1 of 1 on page 72 of 156”,Name: “Table 1 of 1 on page 72 of 156”,Name: “Table 1 of 1 on page 72 of 156”,Name: “Table 1 of 1 on page 72 of 156”
Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70
,,,,,
Economy and Commerce,,,,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region
,,Poverty,,,
,,"Chenango, NY",13.4,"Huntingdon, PA",12.4
% total population below,,,,,
poverty level (2004),,"Cortland, NY",13.6,"Indiana, PA",14.6
,,"Delaware, NY",12.4,"Jefferson, PA",12.1
"Kent, DE",11.4,"Herkimer, NY",12.6,"Juniata, PA",8.8
"New Castle, DE",8.9,"Livingston, NY",10.8,"Lackawanna, PA",11.2
"Sussex, DE",10.4,"Madison, NY",10.6,"Lancaster, PA",8.8
"District of Columbia, DC",18.3,"Montgomery, NY",13.1,"Lebanon, PA",9.0
"Allegany, MD",14.2,"Oneida, NY",13.6,"Luzerne, PA",11.5
"Anne Arundel, MD",6.5,"Onondaga, NY",12.2,"Lycoming, PA",12.0
"Baltimore, MD",8.2,"Ontario, NY",8.4,"McKean, PA",13.6
"Calvert, MD",5.4,"Otsego, NY",12.6,"Mifflin, PA",12.4
"Caroline, MD",10.5,"Schoharie, NY",11.6,"Montour, PA",9.5
"Carroll, MD",5.1,"Schuyler, NY",11.7,"Northumberland, PA",10.6
"Cecil, MD",8.1,"Steuben, NY",13.6,"Perry, PA",8.2
"Charles, MD",7.2,"Tioga, NY",9.4,"Potter, PA",11.9
"Dorchester, MD",13.9,"Tompkins, NY",13.5,"Schuylkill, PA",10.8
"Frederick, MD",5.9,"Yates, NY",12.3,"Snyder, PA",8.8
"Garrett, MD",12.7,"Adams, PA",7.7,"Somerset, PA",12.6
"Harford, MD",6.6,"Bedford, PA",10.8,"Sullivan, PA",11.3
"Howard, MD",4.8,"Berks, PA",10.5,"Susquehanna, PA",11.5
"Kent, MD",11.3,"Blair, PA",13.4,"Tioga, PA",12.3
"Montgomery, MD",6.5,"Bradford, PA",11.8,"Union, PA",10.0
"Prince George's, MD",9.3,"Cambria, PA",12.4,"Wayne, PA",11.0
"Queen Anne's, MD",6.6,"Cameron, PA",10.5,"Wyoming, PA",10.3
"St. Mary's, MD",7.7,"Carbon, PA",10.0,"York, PA",8.1
"Somerset, MD",19.7,"Centre, PA",12.1,"Accomack, VA",14.9
"Talbot, MD",8.3,"Chester, PA",5.5,"Albemarle, VA",7.3
"Washington, MD",10.1,"Clearfield, PA",13.6,"Alleghany, VA",10.8
"Wicomico, MD",12.3,"Clinton, PA",13.0,"Amelia, VA",9.1
"Worcester, MD",9.9,"Columbia, PA",11.5,"Amherst, VA",11.2
"Baltimore, MD (city)",21.5,"Cumberland, PA",6.7,"Appomattox, VA",11.8
"Allegany, NY",15.1,"Dauphin, PA",10.3,"Arlington, VA",7.1
"Broome, NY",12.4,"Elk, PA",8.8,"Augusta, VA",7.1
"Cayuga, NY",11.7,"Franklin, PA",8.2,"Bath, VA",7.3
"Chemung, NY",14.0,"Fulton, PA",9.7,"Bedford, VA",7.7
66,,,,,
