Name: “Table 1 of 1 on page 84 of 156”,Name: “Table 1 of 1 on page 84 of 156”,Name: “Table 1 of 1 on page 84 of 156”,Name: “Table 1 of 1 on page 84 of 156”,Name: “Table 1 of 1 on page 84 of 156”,Name: “Table 1 of 1 on page 84 of 156”
Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82
,,,,,
Social and Cultural Characteristics,,,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region
,Educational Attainment,Educational Attainment,Educational Attainment,,
% total population 25 years,% total population 25 years,"Chenango, NY",40.7,"Huntingdon, PA",27.3
and older with some college or,and older with some college or,"Cortland, NY",47.0,"Indiana, PA",34.6
college degree (2000),,"Delaware, NY",42.5,"Jefferson, PA",29.6
"Kent, DE",46.5,"Herkimer, NY",44.0,"Juniata, PA",22.8
"New Castle, DE",55.8,"Livingston, NY",48.5,"Lackawanna, PA",41.5
"Sussex, DE",40.9,"Madison, NY",50.2,"Lancaster, PA",38.5
"District of Columbia, DC",57.2,"Montgomery, NY",38.9,"Lebanon, PA",32.0
"Allegany, MD",37.5,"Oneida, NY",46.5,"Luzerne, PA",39.6
"Anne Arundel, MD",58.5,"Onondaga, NY",56.6,"Lycoming, PA",38.7
"Baltimore, MD",56.8,"Ontario, NY",55.8,"McKean, PA",34.3
"Calvert, MD",52.5,"Otsego, NY",48.3,"Mifflin, PA",25.2
"Caroline, MD",33.0,"Schoharie, NY",43.6,"Montour, PA",40.2
"Carroll, MD",52.0,"Schuyler, NY",42.5,"Northumberland, PA",27.7
"Cecil, MD",43.3,"Steuben, NY",45.5,"Perry, PA",30.3
"Charles, MD",52.5,"Tioga, NY",47.4,"Potter, PA",33.3
"Dorchester, MD",32.2,"Tompkins, NY",69.1,"Schuylkill, PA",28.9
"Frederick, MD",57.0,"Yates, NY",43.8,"Snyder, PA",26.8
"Garrett, MD",35.6,"Adams, PA",35.9,"Somerset, PA",27.1
"Harford, MD",58.5,"Bedford, PA",27.6,"Sullivan, PA",32.4
"Howard, MD",76.9,"Berks, PA",38.7,"Susquehanna, PA",35.3
"Kent, MD",42.9,"Blair, PA",33.8,"Tioga, PA",35.8
"Montgomery, MD",75.8,"Bradford, PA",34.6,"Union, PA",34.1
"Prince George's, MD",57.6,"Cambria, PA",32.7,"Wayne, PA",37.2
"Queen Anne's, MD",54.0,"Cameron, PA",29.8,"Wyoming, PA",38.4
"St. Mary's, MD",50.4,"Carbon, PA",31.1,"York, PA",39.1
"Somerset, MD",32.8,"Centre, PA",54.4,"Accomack, VA",33.8
"Talbot, MD",53.7,"Chester, PA",63.3,"Albemarle, VA",69.6
"Washington, MD",38.9,"Clearfield, PA",28.1,"Alleghany, VA",32.4
"Wicomico, MD",46.3,"Clinton, PA",32.4,"Amelia, VA",32.1
"Worcester, MD",47.5,"Columbia, PA",34.2,"Amherst, VA",37.2
"Baltimore, MD (city)",40.2,"Cumberland, PA",50.3,"Appomattox, VA",32.4
"Allegany, NY",43.6,"Dauphin, PA",46.0,"Arlington, VA",76.1
"Broome, NY",51.1,"Elk, PA",33.2,"Augusta, VA",37.9
"Cayuga, NY",43.1,"Franklin, PA",34.0,"Bath, VA",34.9
"Chemung, NY",46.0,"Fulton, PA",24.9,"Bedford, VA",47.4
78,,,,,
