"SAV area data (hectares). See http://www.vims.edu/bio/sav for more information. Key nd=region not mapped, pd=region partially mapped. 2012 SAV Totals are Preliminary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBPSEG,state,Segment_Name,Sort,1971_ha,1971_nd,1974_ha,1974_nd,1978_ha,1978_nd,1979_ha,1979_nd,1980_ha,1980_nd,1981_ha,1981_nd,1984_ha,1984_nd,1985_ha,1985_nd,1986_ha,1986_nd,1987_ha,1987_nd,1989_ha,1989_nd,1990_ha,1990_nd,1991_ha,1991_nd,1992_ha,1992_nd,1993_ha,1993_nd,1994_ha,1994_nd,1995_ha,1995_nd,1996_ha,1996_nd,1997_ha,1997_nd,1998_ha,1998_nd,1999_ha,1999_nd,2000_ha,2000_nd,2001_ha,2001_nd,2002_ha,2002_nd,2003_ha,2003_nd,2004_ha,2004_nd,2005_ha,2005_nd,2006_ha,2006_nd,2007_ha,2007_nd,2008_ha,2008_nd,2009_ha,2009_nd,2010_ha,2010_nd,2011_ha,2011_nd,2012_ha,2012_nd
CB1TF1,MD,Northern Chesapeake Bay Segment 1,1.1,0,nd,0,nd,0,,0,nd,0,nd,0,nd,7.3,,17.27,,3.23,,3.31,,4.27,,12.08,,35.42,,29.23,,44.22,,120.33,,143.73,,130.76,,142.34,,145.43,,70.81,pd,188.92,,231.15,,258.7,,228.69,,252.08,,300.65,,245.58,,337.43,,407.63,,436.58,,342.34,,201.09,,186.51,
CB1TF2,MD,Northern Chesapeake Bay Segment 2,1.2,0,pd,0,pd,833.98,,220.37,pd,0,pd,0,pd,2169.99,,2039.12,,2349.16,,2216.97,,1944.87,,1772.97,,1673.44,,1767.82,,1749.17,,2590.51,,1952.9,,2016.01,,2347.65,,2164.64,,2525.57,pd,2954.57,,2999.31,,3475.38,,2834.33,,3836.75,,3419.38,,3538.09,,4745.17,,5743.91,,5739.33,,5371.19,,3431.4,,2437.75,
CB1TF2,PA,Northern Chesapeake Bay Segment 2,1.2,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
NORTF,MD,Northeast River,2,0,nd,0,nd,5.52,,0,pd,0,nd,0,nd,0,,0,,2.01,,0.34,,0,,0,,0,,0,,0,,7.96,,6.86,,5.3,,4.98,,9.95,,5.75,,9.43,,0,,30.75,,18.63,,34.06,,31.72,,53.6,,46.56,,73.94,,97.18,,92.42,,43.83,,21.16,
ELKOH1,MD,Elk River Segment 1,3.1,0,nd,0,nd,0.87,,0,nd,0,nd,0,nd,13.7,,38.55,,5.55,,7.24,,189.26,,353.68,,268.43,,240.62,,94.58,,178.67,,122.78,,43.35,,67.12,,197.35,,319.83,,668.88,,746.61,,151.71,,131.36,,683.6,,676.46,,651.69,,643.24,,771.55,,837.75,,769.18,,46.73,,46.5,
ELKOH2,DE,Elk River Segment 2,3.2,0,nd,0,nd,0,,0,nd,0,nd,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
ELKOH2,MD,Elk River Segment 2,3.2,0,nd,0,nd,0,,0,nd,0,nd,0,nd,0,,0,,0.19,,0,,0.85,,2.13,,0.29,,0,,0,,0,,2.29,,0.37,,0.32,,8.73,,3.33,,23.24,,76.79,,24.39,,8.6,,90.19,,118.13,,153.33,,158.05,,178.1,,186.92,,192.34,,11.93,,0,
BOHOH,DE,Bohemia River,4,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
BOHOH,MD,Bohemia River,4,0,pd,0,pd,0,,0,nd,0,pd,0,pd,0,,7.83,,1.57,,0,,6.83,,6.83,,0.25,,1.76,,0.18,,1.19,,11.42,,12.58,,15.09,,46.4,,36.6,,75.72,,143.42,,55.11,,116.59,,295.32,,371.45,,286.8,,234.23,,213.84,,221.32,,84.55,,21.81,,24.64,
C&DOH,DE,Chesapeake & Delaware Canal,5,0,nd,0,nd,0,,0,nd,0,nd,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C&DOH,MD,Chesapeake & Delaware Canal,5,0,pd,0,pd,0.62,,0,pd,0,pd,0,pd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2.66,,0,,0,,3.29,,3.52,,1.22,,0.86,,4.94,,2.93,,6.37,,0,,0,
CB2OH,MD,Upper Chesapeake Bay,6,0,nd,0,nd,50.16,,21.21,pd,0,nd,0,nd,11.12,pd,127.49,,14.61,pd,85.58,,20.76,,7.68,,4.02,,37.84,,11.1,,4.14,,9.7,,27.58,,110.17,,126.56,,0.52,pd,285.38,,82.2,pd,203.21,,85.59,,527.21,,433.32,,175.92,,150.8,,256.13,,301.67,,235.29,,170.46,,119.08,
SASOH1,MD,Sassafras River Segment 1,7.1,0,nd,0,nd,2.18,,0,nd,0,nd,0,nd,20.03,,27.5,,30.69,,34.19,,90.19,,39.31,,30.1,,13.98,,75.42,,71.72,,170.8,,94.59,,105.99,,68.6,,97.27,,387.77,,434.51,,287.12,,123.2,,414.61,,455.38,,329.91,,149.1,,223.46,,326.97,,317.1,,170.7,,106.53,
SASOH2,DE,Sassafras River Segment 2,7.2,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
SASOH2,MD,Sassafras River Segment 2,7.2,0,pd,0,pd,4.23,,0,nd,0,pd,0,pd,0,,0,,2.78,,0,,0,,0,,0,,0,,0,,4.53,,8.99,,5.73,,4.8,,0,,0,,0.82,,38.6,,48.91,,26.63,,99.76,,141.89,,20.21,,1.64,,21.36,,21.52,,51.4,,37.84,,3.71,
BSHOH,MD,Bush River,8,0,nd,0,nd,0.51,,0,pd,0,nd,0,nd,2.4,pd,12.14,,0,pd,14.31,,0,,0,,0,,2.32,,0,,0,,0,,39.04,,34.95,,2.47,,0,pd,78.66,,1.19,pd,141.57,,157.89,,414.48,,293.61,,131.13,,260.2,,210.08,,154.3,,95.55,,112.7,,48.49,
GUNOH1,MD,Gunpowder River Segment 1,9.1,0,nd,0,nd,179.93,,139,,0,nd,0,nd,0,nd,31.65,,0,nd,35.64,,24.55,,86.54,,70.82,,114.73,,35.65,,71.27,,46.28,,294.62,,477.47,,714.35,,64.91,pd,753.2,,0,nd,41.56,,8.4,,535.87,,179,,95.45,,226.19,,316.76,,345.81,,346.82,,199.47,,171.86,
