,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Underwater Bay Grasses (acreage),"38,228","49,108","47,414","49,640",,"59,681","60,027","63,322","70,590","73,114","65,446","59,929","63,496","69,269","63,518","64,718","69,156","77,889","89,659","61,695","72,945","78,263","59,160","64,918","76,860","85,915","79,664","57,964","48,195"
estimated additional acreage (due to incomplete surveys),731,,276,,,,,,,,,,,,,3381.996882,,7525.265541,,1831.653453,,,,,,,,"5,119",
