ID,Raydist Red,Raydist Green,Sample Number,Sample Description,Decimal Latitude,Decimal Longitude,Collection Date,Water Depth,Water Content,Bulk Density,Total Carbon,Organic Carbon,Sulfur,Gravel,Phi  -1,Phi -075,Phi -050,Phi -025,Phi 0,Phi 025,Phi 050,Phi 075,Phi 100,Phi 125,Phi 150,Phi 175,Phi 200,Phi 225,Phi 250,Phi 275,Phi 300,Phi 325,Phi 350,Phi 375,Phi 400,Phi 433,Phi 467,Phi 500,Phi 533,Phi 567,Phi 600,Phi 633,Phi 667,Phi 700,Phi 733,Phi 767,Phi 800,Phi 833,Phi 867,Phi 900,Phi 933,Phi 967,Phi 10,Phi 11,Phi 12,Phi 13,Phi 14,Sand,Silt,Clay,Shepard's Class,Median,Graphic Mean,Graphic Sorting,Graphic Skewness,Graphic Kurtosis,Moment Mean,Moment Sorting,Moment Skewness,Moment Kurtosis
1,245.77,18.27,1,Mid-bay sample,39.44111,76.045,12-Jun-81,3,44,1.54826962947845,-999,-999,-999,0,0,0,0,0,0,0,0,0.213,0.213,0.427,0.64,1.067,1.28,1.921,2.774,5.762,19.634,44.39,57.834,64.877,69.145,69.458,70.733,72.545,74.782,77.131,79.324,81.382,83.261,85.073,86.75,88.16,89.39,90.411,91.329,92.385,93.389,94.255,94.948,96.211,97.474,98.737,100,69,20,11,8,3.35400009155273,4.36399984359741,2.08100008964539,0.800999999046326,1.30499994754791,4.50600004196167,2.46799993515015,0.903999984264374,2.74699997901917
2,253.19,23.25,2,Mid-bay sample,39.44167,76.03389,12-Jun-81,5,61,1.32734727859497,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.396,0.793,1.189,2.536,8.005,16.485,21.002,24.014,24.854,26.782,29.5,33.502,38.247,43.633,48.526,53.171,57.445,61.592,64.893,67.897,70.478,73.017,75.98,78.899,81.396,83.385,87.539,91.693,95.846,100,24,44,32,4,6.43900012969971,6.69099998474121,3.13299989700317,0.212999999523163,0.875999987125397,6.89699983596802,2.98900008201599,0.275999993085861,-0.589999973773956
3,240.41,29.22,42,Mid-bay sample,39.43222,76.05917,11-Jun-81,3,54,1.41020321846008,10.8299999237061,10.128999710083,0.270000010728836,0,0,0,0,0,0,0,0,0,0,0.155,0.155,0.775,0.93,1.24,2.48,4.185,7.595,15.655,28.521,39.216,47.741,48.476,49.751,52.728,56.827,61.195,65.371,69.16,72.523,75.655,78.516,80.747,82.854,84.527,86.138,87.935,89.732,91.312,92.583,94.437,96.291,98.146,100,48,35,17,8,4.69500017166138,5.39300012588501,2.52999997138977,0.488999992609024,0.995000004768372,5.49100017547607,2.67799997329712,0.569999992847443,0.656000018119812
4,261.06,29.25,3,Mid-bay sample,39.44139,76.02222,12-Jun-81,6,65,1.28423035144806,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.556,4.852,7.282,10.423,15.401,21.505,27.846,34.069,39.817,45.269,50.247,54.522,58.234,61.327,64.42,68.076,71.844,75.163,77.862,83.397,88.931,94.466,100,5,54,42,6,7.31699991226196,7.93100023269653,2.75999999046326,0.321000009775162,0.943000018596649,8.12600040435791,2.55900001525879,0.30799999833107,-0.693000018596649
5,250.09,32.73,7,Mid-bay sample,39.43195,76.04528,12-Jun-81,4,49,1.47601473331451,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.533,0.8,1.867,4.534,13.87,33.608,45.611,54.946,60.014,61.355,63.824,66.658,69.949,73.241,76.319,78.94,81.225,83.419,85.278,86.802,88.113,89.213,90.251,91.351,92.41,93.347,94.101,95.576,97.051,98.525,100,60,28,12,8,3.61800003051758,4.58300018310547,2.20799994468689,0.745999991893768,1.18400001525879,4.82399988174438,2.51999998092651,0.818000018596649,2.12800002098083
6,231.85,33.18,31,Mid-bay sample,39.43167,76.07195,11-Jun-81,3,51,1.44896650314331,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0.198,0.791,1.385,1.781,2.176,3.759,8.903,20.576,31.655,38.579,43.328,47.482,47.71,49.307,52.31,56.415,60.939,65.462,69.378,72.761,75.84,78.501,80.63,82.526,83.989,85.344,86.862,88.352,89.652,90.709,93.032,95.355,97.677,100,47,35,17,8,4.74399995803833,5.3270001411438,2.76600003242493,0.425999999046326,0.999000012874603,5.42700004577637,2.89299988746643,0.540000021457672,0.409999996423721
7,268.29,34.12,4,Mid-bay sample,39.44167,76.01139,12-Jun-81,4,58,1.36163401603699,4.51000022888184,4.12599992752075,0.259999990463257,0,0,0,0,0,0,0,0,0,0.259,0.388,0.517,1.034,1.68,2.327,2.844,3.619,5.17,10.599,18.354,24.687,28.436,28.818,31.448,34.317,39.099,43.977,49.141,53.78,58.083,62.1,65.83,69.045,72.078,74.563,76.792,79.204,81.469,83.443,84.977,88.733,92.489,96.244,100,28,44,28,4,6.06199979782104,6.42500019073486,3.05999994277954,0.266999989748001,0.859000027179718,6.55299997329712,3.01799988746643,0.319000005722046,-0.41499999165535
8,257.75,36.62,6,Mid-bay sample,39.43222,76.03389,10-Apr-81,5,66,1.27388536930084,6.00799989700317,5.42899990081787,0.300000011920929,0,0,0,0,0,0,0,0,0.383,0.479,1.342,2.876,5.272,7.573,9.011,9.969,10.832,11.311,11.887,12.653,13.804,15.625,16.348,17.64,20.275,24.253,28.903,34.121,39.184,44.092,48.845,53.546,57.473,61.141,64.447,67.532,70.75,73.879,76.568,78.86,84.145,89.43,94.715,100,16,46,39,6,7.08199977874756,7.40899991989136,3.41700005531311,0.0989999994635582,1.13699996471405,7.33900022506714,3.22099995613098,0.0359999984502792,-0.583000004291534
9,265.16,41.59,6,Mid-bay sample,39.43195,76.02333,12-Jun-81,5,60,1.33858263492584,4.56599998474121,4.53499984741211,0.300000011920929,0,0,0,0,0,0,0,0,0,0,0,0.064,0.064,0.192,0.32,0.447,0.511,0.639,0.959,2.749,7.223,9.333,10.915,14.206,20.789,27.182,33.258,39.208,45.158,50.538,55.538,60.032,63.852,67.011,69.746,72.104,74.65,77.102,79.224,80.921,85.691,90.461,95.23,100,9,58,33,6,6.63299989700317,7.34499979019165,2.88499999046326,0.358999997377396,0.998000025749207,7.31799983978271,2.78800010681152,0.342999994754791,-0.439000010490417
10,272.98,46.87,5,Mid-bay sample,39.43167,76.01222,12-Jun-81,12,69,1.24382662773132,-999,-999,-999,0,0.116,0.116,0.116,0.116,0.116,0.116,0.521,0.521,0.868,1.215,2.199,4.049,7.23,9.891,11.973,13.188,14.171,15.096,16.427,17.757,18.335,18.985,20.235,23.384,27.683,32.931,38.63,44.428,49.527,53.923,58.108,61.406,64.619,67.197,69.48,71.975,74.553,76.836,78.696,84.022,89.348,94.674,100,18,46,35,6,6.70699977874756,7.0479998588562,3.59200000762939,0.13400000333786,1.07799994945526,7.11499977111816,3.31500005722046,0.090999998152256,-0.695999979972839
11,245.08,48.97,41,Mid-bay sample,39.42305,76.05889,11-Jun-81,3,58,1.36163401603699,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0.373,0.373,0.373,0.373,0.373,1.12,2.239,8.583,25.377,37.692,38.529,42.666,46.943,52.149,57.123,61.819,66.142,69.721,73.115,76.136,78.6,80.732,82.425,83.867,85.56,87.253,88.789,90.043,92.532,95.021,97.511,100,38,43,19,9,5.19600009918213,5.83300018310547,2.5789999961853,0.474999994039536,1.02100002765656,5.93599987030029,2.67600011825562,0.584999978542328,0.607999980449677
