ID,Raydist Red,Raydist Green,Sample Number,Sample Description,Decimal Latitude,Decimal Longitude,Collection Date,Water Depth,Water Content,Bulk Density,Total Carbon,Organic Carbon,Sulfur,Gravel,Phi  -1,Phi -075,Phi -050,Phi -025,Phi 0,Phi 025,Phi 050,Phi 075,Phi 100,Phi 125,Phi 150,Phi 175,Phi 200,Phi 225,Phi 250,Phi 275,Phi 300,Phi 325,Phi 350,Phi 375,Phi 400,Phi 433,Phi 467,Phi 500,Phi 533,Phi 567,Phi 600,Phi 633,Phi 667,Phi 700,Phi 733,Phi 767,Phi 800,Phi 833,Phi 867,Phi 900,Phi 933,Phi 967,Phi 10,Phi 11,Phi 12,Phi 13,Phi 14,Sand,Silt,Clay,Shepard's Class,Median,Graphic Mean,Graphic Sorting,Graphic Skewness,Graphic Kurtosis,Moment Mean,Moment Sorting,Moment Skewness,Moment Kurtosis
12,254.06,50.55,8,Mid-bay sample,39.4225,76.04639,12-Jun-81,5,52,1.43581080436707,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0.271,0.271,0.542,0.812,1.896,4.062,9.478,24.642,41.161,49.285,53.618,54.728,57.111,59.658,63.021,66.286,69.519,72.457,75.135,77.649,79.817,81.795,83.534,84.94,86.131,87.513,88.8,89.943,90.849,93.136,95.424,97.712,100,54,30,16,8,3.79099988937378,5.00299978256226,2.61800003051758,0.753000020980835,1.08899998664856,5.28399991989136,2.82399988174438,0.658999979496002,0.856000006198883
13,236.3,51.32,32,Mid-bay sample,39.42361,76.07111,11-Jun-81,3,47,1.50409197807312,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,1.302,3.645,7.811,19.527,35.929,47.905,57.018,57.522,59.005,62.286,66.009,69.416,72.603,75.537,78.187,80.585,82.73,84.497,86.048,87.264,88.313,89.508,90.703,91.752,92.611,94.459,96.306,98.153,100,57,29,14,8,3.80699992179871,4.85200023651123,2.38199996948242,0.74099999666214,1.17999994754791,5.13000011444092,2.62700009346008,0.75,1.53900003433228
14,262.09,52.51,9,Mid-bay sample,39.42305,76.03472,12-Jun-81,6,58,1.36163401603699,4.47800016403198,4.06699991226196,0.25,0,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.355,0.753,1.549,3.274,6.591,10.837,17.206,21.982,23.972,25.697,27.953,31.27,33.26,34.853,35.696,37.782,40.978,45.55,49.989,54.473,58.557,62.463,66.147,69.565,72.582,75.047,77.033,78.909,81.006,83.066,84.795,86.193,89.645,93.097,96.548,100,35,40,25,4,5.6710000038147,5.7979998588562,3.48200011253357,0.156000003218651,0.879000008106232,5.94500017166138,3.34999990463257,0.264999985694885,-0.580999970436096
15,270.76,55.62,10,Mid-bay sample,39.42361,76.02167,12-Jun-81,11,67,1.26370561122894,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.542,5.49,6.754,10.608,17.053,24.572,32.47,39.547,45.675,50.983,55.595,59.386,62.609,65.316,67.65,70.218,72.738,75.026,76.893,82.67,88.446,94.223,100,5,58,37,6,6.93800020217896,7.81599998474121,2.84699988365173,0.412000000476837,0.924000024795532,7.96799993515015,2.6470000743866,0.35699999332428,-0.708999991416931
16,229.63,58.61,30,Mid-bay sample,39.42305,76.08083,11-Jun-81,4,60,1.33858263492584,10.4899997711182,9.50800037384033,0.259999990463257,0,0,0,0,0,0,0,0,0,0,0.537,1.074,1.432,2.148,2.506,3.222,3.938,5.37,9.129,17.364,25.061,29.178,29.681,31.944,35.764,41.596,47.026,52.757,57.785,62.209,66.231,69.75,72.616,75.343,77.645,79.629,81.719,83.738,85.544,87.032,90.274,93.516,96.758,100,29,46,25,4,5.84000015258789,6.22700023651123,2.92400002479553,0.293000012636185,0.926999986171722,6.34700012207031,2.91100001335144,0.374000012874603,-0.129999995231628
17,278.65,59.49,11,Mid-bay sample,39.42389,76.01,12-Jun-81,4,67,1.26370561122894,-999,-999,-999,0,0,0,0,0,0,0,0,0.124,0.124,0.372,0.744,1.117,1.489,1.861,2.109,2.605,3.35,6.823,21.338,28.782,32.752,32.872,33.757,35.566,38.782,42.239,46.339,50.52,54.46,58.52,62.339,65.555,68.638,71.182,73.369,75.735,78.029,79.964,81.505,86.129,90.753,95.376,100,33,36,31,4,6.29199981689453,6.74599981307983,3.26799988746643,0.272000014781952,0.762000024318695,6.7350001335144,3.20099997520447,0.273999989032745,-0.739000022411346
18,259.51,68.5,13,Mid-bay sample,39.41417,76.045,12-Jun-81,6,63,1.30543291568756,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0.128,0.385,2.31,8.341,15.398,21.044,26.177,30.797,36.315,39.523,40.934,41.704,41.815,43.186,45.261,48.373,51.855,55.523,59.339,62.97,66.452,69.676,72.576,75.278,77.454,79.398,81.573,83.617,85.33,86.682,90.011,93.341,96.67,100,42,34,25,4,5.48899984359741,5.72499990463257,3.39400005340576,0.208000004291534,0.827000021934509,5.7810001373291,3.37100005149841,0.314000010490417,-0.625
19,251.13,69.3,4,Mid-bay sample,39.41389,76.05695,10-Apr-81,4,53,1.42289185523987,12.2519998550415,10.4689998626709,0.300000011920929,0,0,0,0,0,0,0,0,0,0,0,0.223,0.223,0.446,0.893,1.339,1.786,3.348,7.589,19.42,36.385,50.001,50.126,51.185,52.898,55.608,58.474,61.589,64.548,67.476,70.341,73.083,75.356,77.699,79.568,81.305,83.068,84.911,86.49,87.937,90.953,93.969,96.984,100,50,28,22,4,4,5.53200006484985,2.83599996566772,0.802999973297119,0.939999997615814,5.85699987411499,2.97099995613098,0.523999989032745,0.0299999993294477
20,223.13,69.43,20,Mid-bay sample,39.42194,76.09084,11-Jun-81,2,61,1.32734727859497,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,0.184,0.368,0.368,0.921,3.132,7.185,11.237,12.213,16.801,23.282,30.968,37.85,43.987,49.149,53.394,57.122,60.334,62.857,65.084,66.987,68.603,70.398,72.121,73.63,74.886,81.165,87.443,93.722,100,11,54,35,6,6.40000009536743,7.48699998855591,3.16400003433228,0.448000013828278,0.795000016689301,7.43100023269653,3.05800008773804,0.312000006437302,-0.86599999666214
21,267.47,69.55,5,Mid-bay sample,39.41417,76.03361,10-Apr-81,7,61,1.32734727859497,6.85699987411499,6.46700000762939,0.330000013113022,0,0,0,0,0,0,0,0,0.581,1.162,1.549,3.291,5.034,8.519,13.746,19.36,21.877,24.201,26.911,30.783,38.14,44.142,44.346,45.365,47.165,50.425,53.584,57.117,60.343,63.604,66.593,69.514,71.96,74.303,76.346,78.191,80.262,82.248,84.007,85.596,89.197,92.798,96.399,100,44,30,26,4,5.28999996185303,5.76800012588501,3.47499990463257,0.272000014781952,0.88400000333786,5.8439998626709,3.40300011634827,0.319000005722046,-0.607999980449677
22,275.51,72.13,12,Mid-bay sample,39.41417,76.02222,12-Jun-81,4,65,1.28423035144806,-999,-999,-999,0,0,0,0,0,0,0,0.066,0.265,0.398,0.663,1.127,1.724,2.387,2.983,3.182,3.381,3.646,3.845,4.508,6.43,7.557,8.025,9.897,13.756,19.02,24.751,31.067,37.208,42.881,48.261,53.173,57.169,61.215,64.362,67.109,70.006,72.803,75.2,77.148,82.861,88.574,94.287,100,8,54,39,6,7.11800003051758,7.82000017166138,2.96300005912781,0.301999986171722,0.990000009536743,7.69999980926514,2.90400004386902,0.159999996423721,-0.46399998664856
23,240.82,72.93,33,Mid-bay sample,39.41417,76.07111,11-Jun-81,3,57,1.37345993518829,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0.195,0.195,0.195,0.195,0.39,0.78,1.17,2.146,11.9,25.75,36.284,37.518,41.789,46.676,51.896,57.116,61.861,65.942,69.501,72.775,75.717,78.137,80.228,82.002,83.554,85.297,87.039,88.56,89.795,92.346,94.898,97.449,100,36,44,20,9,5.21199989318848,5.84600019454956,2.61500000953674,0.467000007629395,1.01600003242493,5.95599985122681,2.69700002670288,0.574999988079071,0.546999990940094
24,234.86,79.29,29,Mid-bay sample,39.41361,76.08,11-Jun-81,3,55,1.39773893356323,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.389,0.389,0.779,1.558,6.23,19.988,29.333,31.277,36.621,42.667,49.468,55.406,60.534,64.745,68.362,71.709,74.678,77.161,79.32,81.217,82.893,84.696,86.403,87.889,89.091,91.818,94.545,97.273,100,29,50,21,4,5.36299991607666,5.97100019454956,2.62199997901917,0.455000013113022,1.02499997615814,6.1269998550415,2.66899991035461,0.573000013828278,0.532999992370605
25,272.37,87.35,15,Mid-bay sample,39.40556,76.03361,12-Jun-81,3,42,1.57919180393219,1.12600004673004,0.985000014305115,0.0599999986588955,0,0,0,0,0,0,0,3.041,5.614,9.591,13.802,20.586,27.838,33.218,37.429,41.64,45.149,50.061,59.184,69.945,77.665,82.343,82.472,82.91,83.488,84.259,85.222,86.259,87.319,88.335,89.362,90.357,91.181,91.974,92.654,93.211,93.815,94.401,94.911,95.326,96.495,97.663,98.832,100,82,10,8,1,2.99699997901917,3.18300008773804,2.34400010108948,0.31700000166893,1.84300005435944,3.41700005531311,2.67899990081787,0.933000028133392,3.4539999961853
26,264.34,87.91,14,Mid-bay sample,39.405,76.04528,12-Jun-81,10,58,1.36163401603699,-999,-999,-999,0,0,0,0,0,0,0,0,0.172,0.172,0.344,0.516,0.688,1.376,1.72,2.065,2.753,3.613,4.473,16.689,37.678,52.13,52.943,54.132,56.04,58.574,61.795,65.173,68.364,71.335,74.119,76.622,78.717,80.5,82.095,83.431,84.847,86.29,87.546,88.588,91.441,94.294,97.147,100,52,28,20,8,3.96300005912781,5.41699981689453,2.69000005722046,0.832000017166138,1.04700005054474,5.6729998588562,2.90300011634827,0.595000028610229,0.44200000166893
27,227.01,88.4,21,Mid-bay sample,39.41333,76.09111,11-Jun-81,3,56,1.38549304008484,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.261,0.391,0.652,1.173,4.04,12.121,18.767,21.004,26.627,32.794,40.231,47.063,53.29,58.43,62.843,66.713,70.099,72.819,75.353,77.364,79.19,81.202,83.176,84.965,86.492,89.869,93.246,96.623,100,19,57,25,6,5.82399988174438,6.40199995040894,2.75999999046326,0.400000005960464,1.08899998664856,6.57999992370605,2.71399998664856,0.490000009536743,0.123000003397465
28,254.19,89.73,40,Mid-bay sample,39.40528,76.05917,11-Jun-81,6,59,1.35000991821289,-999,-999,-999,0,0,0,0,0,0,0,0,0,0.145,0.145,0.726,1.016,2.033,3.63,5.517,7.695,11.47,23.666,30.635,35.136,37.459,38.563,41.151,44.418,48.45,52.184,56.257,60.204,63.768,67.29,70.6,73.343,75.989,78.151,79.99,81.894,83.669,85.186,86.412,89.809,93.206,96.603,100,37,39,24,4,5.47200012207031,5.98999977111816,3.10800004005432,0.321999996900558,0.903999984264374,6.04400014877319,3.11800003051758,0.388000011444092,-0.319999992847443
29,245.98,93.3,34,Mid-bay sample,39.40528,76.07056,11-Jun-81,5,57,1.37345993518829,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0.139,0.139,0.416,0.693,0.693,1.524,6.234,21.611,30.893,37.127,38.068,40.893,45.288,50.444,54.794,59.143,62.91,66.497,69.905,73.089,75.779,78.134,80.05,81.871,83.818,85.671,87.241,88.403,91.302,94.202,97.101,100,37,41,22,4,5.30499982833862,5.91499996185303,2.78299999237061,0.430000007152557,0.935999989509583,6.04199981689453,2.84400010108948,0.503000020980835,0.136000007390976
30,219.19,98.95,19,Mid-bay sample,39.41306,76.10194,11-Jun-81,3,62,1.31629884243011,6.40799999237061,5.96299982070923,0.259999990463257,0,0,0,0,0,0,0,0,0,0.08,0.08,0.08,0.16,0.24,0.32,0.4,0.48,0.64,0.72,1.12,3.04,5.599,7.17,10.313,16.074,23.21,30.215,37.416,43.963,49.724,54.961,59.413,63.079,66.155,68.751,70.962,73.414,75.817,77.885,79.615,84.711,89.808,94.904,100,6,61,34,6,6.68400001525879,7.51300001144409,2.84200000762939,0.409999996423721,0.978999972343445,7.47900009155273,2.74600005149841,0.358000010251999,-0.45100000500679
31,239.89,99.4,28,Mid-bay sample,39.40472,76.07917,11-Jun-81,4,59,1.35000991821289,11.3909997940063,10.0389995574951,0.280000001192093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.554,0.924,1.663,6.282,20.139,31.409,31.995,34.878,38.688,44.306,49.386,54.565,59.254,63.26,67.119,70.588,73.47,75.961,78.258,80.196,82.378,84.49,86.325,87.779,90.834,93.889,96.945,100,31,45,24,4,5.70599985122681,6.21299982070923,2.74900007247925,0.381000012159348,0.912000000476837,6.34800004959106,2.7720000743866,0.474000006914139,0.0509999990463257
32,269.15,108.07,16,Mid-bay sample,39.39583,76.04583,12-Jun-81,4,67,1.26370561122894,-999,-999,-999,0,0,0,0,0,0,0,0,0.044,0.044,0.132,0.438,0.877,1.49,2.06,2.674,3.288,4.91,11.704,16.614,18.85,20.077,20.529,21.282,23.141,26.556,31.277,36.55,42.024,47.348,52.521,57.241,61.245,64.967,67.793,70.337,72.975,75.471,77.638,79.428,84.571,89.714,94.857,100,20,45,35,4,6.83799982070923,7.06500005722046,3.37400007247925,0.164000004529953,1.00499999523163,7.23299980163574,3.09999990463257,0.175999999046326,-0.693000018596649
33,230.92,108.09,3,Mid-bay sample,39.40472,76.09167,10-Apr-81,3,53,1.42289185523987,10.1129999160767,9.32499980926514,0.270000010728836,0,0,0,0,0,0,0,0,0,0,0,0,0.648,1.296,1.944,2.592,3.888,3.888,5.184,7.777,14.905,36.939,37.449,39.022,42.125,46.844,51.478,56.155,60.321,64.232,67.676,70.864,73.458,76.013,78.085,80.015,81.946,83.848,85.494,86.942,90.206,93.471,96.735,100,37,39,24,4,5.55999994277954,6.22900009155273,2.80299997329712,0.425999999046326,0.947000026702881,6.25299978256226,2.89599990844727,0.451999992132187,-0.0520000010728836
34,258.85,110.16,39,Mid-bay sample,39.39639,76.05945,11-Jun-81,11,67,1.26370561122894,5.1710000038147,4.6269998550415,0.379999995231628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.217,2.721,4.863,8.579,14.312,21.052,28.297,35.415,41.463,47.006,51.857,55.889,59.808,63.028,66.035,69.256,72.316,74.892,76.932,82.699,88.466,94.233,100,2,58,40,6,7.20599985122681,7.94899988174438,2.73300004005432,0.39300000667572,0.902999997138977,8.0290002822876,2.59899997711182,0.340000003576279,-0.677999973297119
35,251.04,114.72,35,Mid-bay sample,39.39611,76.07027,11-Jun-81,6,58,1.36163401603699,-999,-999,-999,0,0,0,0,0,0,0,0,0.407,0.407,0.542,0.813,1.626,2.304,3.253,4.473,5.963,7.861,16.535,27.648,34.018,38.084,39.004,41.64,45.53,49.421,53.311,57.327,61.008,64.48,67.827,70.922,73.6,75.901,77.992,79.743,81.796,83.85,85.668,87.15,90.362,93.575,96.787,100,38,38,24,4,5.38299989700317,5.99300003051758,3.02500009536743,0.36599999666214,0.912000000476837,6.03900003433228,3.05900001525879,0.40200001001358,-0.243000000715256
36,222.87,118.62,18,Mid-bay sample,39.40417,76.10306,11-Jun-81,3,58,1.36163401603699,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0.116,0.348,0.464,0.696,0.929,1.161,1.393,1.625,1.973,3.366,7.66,11.258,12.562,16.993,23.379,30.678,37.65,44.493,50.618,56.027,60.915,65.215,68.669,71.824,74.181,76.297,78.454,80.531,82.368,83.885,87.914,91.943,95.971,100,11,61,28,6,6.30000019073486,6.97300004959106,2.74799990653992,0.391000002622604,1.10800004005432,6.99700021743774,2.73000001907349,0.398999989032745,-0.0890000015497208
37,244.89,121.55,27,Mid-bay sample,39.395,76.07944,11-Jun-81,5,58,1.36163401603699,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.514,0.771,1.157,2.185,12.596,21.337,26.349,26.801,29.207,33.017,38.431,43.845,49.008,53.72,58.031,62.192,66.052,69.26,72.29,74.713,76.748,78.998,81.292,83.326,85.014,88.761,92.507,96.254,100,26,46,28,4,6.07000017166138,6.48899984359741,2.96700000762939,0.307000011205673,0.861000001430511,6.66200017929077,2.8970000743866,0.377999991178513,-0.331000000238419
38,274.89,127.25,17,Mid-bay sample,39.38722,76.045,12-Jun-81,3,70,1.23411977291107,-999,-999,-999,1,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,3.764,4.157,5.925,9.461,16.205,23.867,32.118,39.386,45.869,51.566,56.374,60.626,64.017,66.7,69.079,71.66,74.14,76.215,77.936,83.452,88.968,94.484,100,2,60,36,6,6.94600009918213,7.81799983978271,2.71499991416931,0.458999991416931,0.913999974727631,8.0019998550415,2.44799995422363,0.639999985694885,-1.58800005912781
39,235.78,128.31,22,Mid-bay sample,39.39556,76.09139,11-Jun-81,4,58,1.36163401603699,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0.199,0.199,0.597,0.796,1.194,1.194,1.592,2.189,7.959,21.888,30.245,31.798,35.654,40.662,46.321,51.329,55.987,60.344,64.1,67.655,71.011,73.815,76.239,78.235,80.053,82.12,84.188,85.97,87.431,90.573,93.716,96.858,100,30,46,24,4,5.57800006866455,6.17500019073486,2.78399991989136,0.414000004529953,0.929000020027161,6.30499982833862,2.81599998474121,0.47299998998642,0.0410000011324883
40,214.72,130.44,12,Mid-bay sample,39.40389,76.11417,11-Jun-81,3,62,1.31629884243011,-999,-999,-999,0,0,0,0,0,0,0,0,0,0.041,0.041,0.124,0.207,0.29,0.331,0.373,0.497,0.621,0.87,1.45,3.605,5.428,6.431,9.041,14.061,20.954,28.315,35.543,42.302,48.392,54.081,59.1,63.249,66.982,69.849,72.446,75.151,77.747,80.019,81.859,86.394,90.929,95.465,100,5,62,33,6,6.76100015640259,7.44199991226196,2.70199990272522,0.375,1.05900001525879,7.44399976730347,2.63199996948242,0.372000008821487,-0.234999999403954
41,265.11,131.22,38,Mid-bay sample,39.38694,76.05833,11-Jun-81,4,65,1.28423035144806,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.543,5.094,6.748,11.159,16.488,22.613,29.474,35.966,41.908,47.482,52.566,56.732,60.583,63.663,66.487,69.722,72.803,75.473,77.63,83.222,88.815,94.407,100,5,56,39,6,7.16499996185303,7.86899995803833,2.79699993133545,0.354000002145767,0.945999979972839,8.04399967193604,2.58800005912781,0.33500000834465,-0.672999978065491
42,257.88,134.95,2,Mid-bay sample,39.38694,76.06805,10-Apr-81,5,51,1.44896650314331,4.59299993515015,4.15199995040894,0.349999994039536,0,0,0,0,0,0,0,0,0.297,2.672,4.453,7.126,11.282,14.548,18.408,22.267,24.346,28.205,32.956,40.675,48.097,52.254,52.377,53.576,55.851,59.017,61.968,65.35,68.362,71.037,73.527,75.925,77.953,80.048,81.853,83.586,85.392,87.269,88.906,90.302,92.727,95.151,97.576,100,52,28,20,8,3.86400008201599,4.90100002288818,3.2739999294281,0.493000000715256,0.987999975681305,5.17899990081787,3.22900009155273,0.421000003814697,-0.143999993801117
43,227.27,137.79,17,Mid-bay sample,39.39528,76.10306,11-Jun-81,4,63,1.30543291568756,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0.106,0.317,0.423,0.423,0.634,0.74,1.057,1.48,2.643,6.976,10.676,12.064,15.565,21.115,28.382,35.452,42.389,48.798,54.017,59.236,63.795,67.627,71.071,73.524,75.788,78.43,81.119,83.666,85.836,89.377,92.918,96.459,100,11,60,29,6,6.40999984741211,6.94000005722046,2.61299991607666,0.34799998998642,1.08800005912781,7.03200006484985,2.6159999370575,0.395000010728836,-0.0160000007599592
