Name: “Table 1 of 1 on page 67 of 142”,Name: “Table 1 of 1 on page 67 of 142”,Name: “Table 1 of 1 on page 67 of 142”,Name: “Table 1 of 1 on page 67 of 142”,Name: “Table 1 of 1 on page 67 of 142”
Table: 67,Table: 67,Table: 67,Table: 67,Table: 67
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
AMPHITRITE,,,0067900,50016801
AMPHITRITE ORNATA,ORNATE WORM,,0067902,5001680102
ANAITIDES CATENULA,,S,0065367,5001131410
ANAITIDES FRAGILIS,,S,0065338,5001131001
ANAITIDES GROENLANDICA,,SA,0065232,5001130102
ANAITIDES MUCOSA,,SA,0065238,5001130104
ANASPIO,,,0066782,50014301
ANCISTROCOMA PELSENEERI,,,BAY0023,50012201PELS
ANCISTROSYLLIS,,,0065541,50012201
ANCISTROSYLLIS COMMENSALIS,,,0065548,5001220107
ANCISTROSYLLIS HARTMANAE,,,0065543,5001220102
ANCISTROSYLLIS JONESI,,,0065544,5001220103
ANNELIDA,"ANNELIDS, SEGMENTED WORMS",,0064357,50
ANOTOMASTUS,,,0067471,50016014
ANTINOE SARSI,,S,0064412,5001020202
ANTINOELLA SARSI,,SA,0064411,5001020202
APHRODITA HASTATA,,,0064365,5001010104
APHRODITA IMBRICATA,FIFTEEN-SCALED WORM,,0064480,5001020603
APHRODITA SQUAMATUS,,S,0064606,5001021103
APOPRIONOSPIO,,,0067023,50014335
APOPRIONOSPIO DAYI,,SA,0067024,5001433501
APOPRIONOSPIO PYGMAEA,,S,0066847,5001430507
AQUILASPIO,,,0067015,50014330
ARABELLA,,,0066440,50013302
ARABELLA IRICOLOR,OPAL WORM,SA,0066441,5001330201
ARABELLA OPALINA,OPAL WORM,S,0066442,5001330201
ARABELLA SEMIMACULATA,OPAL WORM,S,0066443,5001330201
ARABELLIDAE,,,0066422,500133
ARENICOLA CRISTATA,LUGWORM,,0067508,5001620201
ARICIDEA,,,0066666,50014102
ARICIDEA BELGICAE,,S,0066662,5001410102
ARICIDEA CATHERINAE,,S,0066765,5001411306
ARICIDEA CERRUTI,,,0066749,5001411301
ARICIDEA FRAGILIS,,,0066678,5001410214
ARICIDEA NEOSUECICA,,,0066675,5001410210
ARICIDEA SUECICA,,,0066667,5001410201
ARICIDEA TAYLORI,,,0066684,5001410222
ARICIDEA WASSI,,,0066673,5001410206
ARMANDIA AGILIS,,,0067346,5001580203
ARMANDIA MACULATA,,,0067347,5001580204
ASABELLIDES OCULATA,,,0067786,5001670802
ASTYRIS LUNATA,,,0567255,50016301LUN
ASYCHIS,,SA,0067516,50016301
ASYCHIS AMPHIGLYPTA,ELONGATED BAMBOO WORM,S,0067520,5001630103
ASYCHIS CAROLINAE,,,0067524,5001630106
ASYCHIS ELONGATA,ELONGATED BAMBOO WORM,S,0067519,5001630103
AUTOLYTUS,,SA,0065588,50012301
AUTOLYTUS CORNUTUS,,SA,0065590,5001230101
AUTOLYTUS PROLIFER,,,0065595,5001230104
BERKELEYA RUTILANS,,,0182731,5001400803
BETAPISTA,,,0068053,50016834
BHAWANIA GOODEI,,,0065158,5001080301
BHAWANIA HETEROSETA,,SA,0065159,5001080302
BOCCARDIA,,,0066878,50014308
BOCCARDIA HAMATA,,SA,0066886,5001430806
BOCCARDIELLA HAMATA,,,0067011,5001432801
BOCCARDIELLA LIGERICA,,,0067012,5001432802
BRANIA,,,0065759,50012309
BRANIA CLAVATA,,,0065761,5001230902
,57,,,
