Name: “Table 1 of 1 on page 104 of 142”,Name: “Table 1 of 1 on page 104 of 142”,Name: “Table 1 of 1 on page 104 of 142”,Name: “Table 1 of 1 on page 104 of 142”,Name: “Table 1 of 1 on page 104 of 142”
Table: 104,Table: 104,Table: 104,Table: 104,Table: 104
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
CERACLEA SPONGILLOVORAX,,,0116729,6418120717
CERATOCAPSUS,,SA,0105622,62800516
CERATOPOGON TIBIALIS,,S,0127906,6489300429
CERATOPOGONIDAE,PUNKIES,,0127076,648920
CERATOPSYCHE BRONTA,,SA,0115577,6418041203
CERATOPSYCHE MOROSA,,SA,0115580,6418041204
CERATOPSYCHE SLOSSONAE,,SA,0115586,6418041205
CERATOPSYCHE SPARNA,,SA,0115589,6418041206
CERATOPSYCHE WALKERI,,SA,0115592,6418041207
CHAETOLABIS,,S,0129257,64896006
CHAOBORIDAE,PHANTON MIDGES,,0125886,648903
CHAOBORUS,,,0125904,64890502
CHAOBORUS ALBATUS,,,0125905,6489050201
CHAOBORUS PUNCTIPENNIS,,SA,0125923,6489050209
CHASMOGENUS,,S,0113152,63090324
CHAULIODES,,,0115024,64060201
CHELIFERA,,,0136305,64947701
CHEUMATOPSYCHE,,,0115408,64180402
CHEUMATOPSYCHE ANALIS,,,0115412,6418040204
CHEUMATOPSYCHE CAMPYLA,,,0115409,6418040201
CHEUMATOPSYCHE OXA,,,0115424,6418040214
CHIMARRA,,,0115273,64180202
CHIMARRA ATERRIMA,,,0115278,6418020205
CHIMARRA FEMORALIS,,S,0115280,6418020206
CHIMARRA OBSCURA,,SA,0115276,6418020203
CHIMARRA PLUTONIS,,S,0115277,6418020203
CHIMARRA SOCIA,,SA,0115279,6418020206
CHIRONOMIDAE,MIDGES,,0127917,648933
CHIRONOMINI,,,0129229,648960
CHIRONOMUS,,SA,0129254,64896006
CHIRONOMUS ABORTIVUS,,S,0129566,6489603101
CHIRONOMUS ALBIMANUS,,S,0129625,6489603401
CHIRONOMUS ALBISTRIA,,S,0129314,6489600633
CHIRONOMUS ANNULARIS,,S,0129626,6489603401
CHIRONOMUS ATTENUATUS,,,0129268,6489600606
CHIRONOMUS BABIYI,,S,0129550,6489602701
CHIRONOMUS BICINCTUS,,S,0128584,6489561606
CHIRONOMUS BREVITIBIALIS,,S,0129454,6489601312
CHIRONOMUS CALIGINOSUS,,S,0129489,6489601704
CHIRONOMUS CAYUGAE,,S,0129281,6489600615
CHIRONOMUS CONVICTUM,,S,0129672,6489603611
CHIRONOMUS DECORUS,,SA,0129280,6489600615
CHIRONOMUS DISTINGUENDUS,,S,0129282,6489600615
CHIRONOMUS FALLAX,,S,0129677,6489603613
CHIRONOMUS FASCIVENTRIS,,S,0129321,6489600635
CHIRONOMUS FLAVIPES,,S,0129643,6489603503
CHIRONOMUS FLAVIVENTRIS,,S,0129673,6489603611
CHIRONOMUS FLAVUS,,S,0129674,6489603611
CHIRONOMUS FREQUENS,,S,0129580,6489603108
CHIRONOMUS FULVIVENTRIS,,S,0129859,6489610107
CHIRONOMUS FUMIDUS,,S,0129437,6489601304
CHIRONOMUS ILLINOENSE,,S,0129687,6489603619
CHIRONOMUS INCOGNITUS,,S,0129438,6489601304
CHIRONOMUS INDISTINCTUS,,S,0129455,6489601312
CHIRONOMUS INTERSECTUS,,S,0128615,6489561627
CHIRONOMUS ITHACANENSIS,,S,0129490,6489601704
CHIRONOMUS LOBIFERUS,,S,0129491,6489601704
CHIRONOMUS LUCIFER,,S,0129456,6489601312
CHIRONOMUS MILITARIS,,S,0129316,6489600633
,94,,,
