Name: “Table 1 of 1 on page 13 of 142”,Name: “Table 1 of 1 on page 13 of 142”,Name: “Table 1 of 1 on page 13 of 142”,Name: “Table 1 of 1 on page 13 of 142”,Name: “Table 1 of 1 on page 13 of 142”
Table: 13,Table: 13,Table: 13,Table: 13,Table: 13
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC
,,,,CODE
RAPHIDIOPSIS CUVATA,,,0001291,0304040601
RAPHIDIOPSIS MEDITERRANEA,,,0001292,0304040602
RHABDODERMA,,,0000805,03020117
RHABDODERMA IRREGULARE,,,0000811,0302011704
RHABDODERMA LINEARE,,,0000806,0302011701
RHABDODERMA SIGMOIDEA MINOR,,,0000809,030201170202
RICHELIA,,S,0001244,03040402
RICHELIA INTRACELLULARIS,,S,0001249,0304040202
SCHIZOTHRIX,,,0001032,03040108
SCHIZOTHRIX ARENARIA,,,0001033,0304010801
SCHIZOTHRIX CALCICOLA,,,0001034,0304010802
SCHIZOTHRIX MEXICANA,,,0001037,0304010805
SCHIZOTHRIX TENERRIMA,,,0001035,0304010803
SCYTONEMATOPSIS,,S,0001245,03040402
SCYTONEMATOPSIS AMBIGUA,,S,0001253,0304040204
SCYTONEMATOPSIS FULIGINOSA,,S,0001248,0304040202
SPIRULINA,,,0001053,03040109
SPIRULINA LAXA,,,0001063,0304010909
SPIRULINA MAJOR,,,0001054,0304010901
SPIRULINA SUBSALSA,,,0001055,0304010903
STENOPTEROBIA ANCEPS,,,0001088,0304011301
SYNECHOCOCCUS,,,0000773,03020114
TRICHODESMIUM,,S,0000918,03040105
TRICHODESMIUM ERYTHRAEUM,,S,0000935,0304010513
TRICHODESMIUM LACUSTRE,,S,0000941,0304010516
CHRYSOPHYTA - CHRYSOMOMADS OR GOLDEN-BROWN ALGAE,CHRYSOPHYTA - CHRYSOMOMADS OR GOLDEN-BROWN ALGAE,CHRYSOPHYTA - CHRYSOMOMADS OR GOLDEN-BROWN ALGAE,CHRYSOPHYTA - CHRYSOMOMADS OR GOLDEN-BROWN ALGAE,CHRYSOPHYTA - CHRYSOMOMADS OR GOLDEN-BROWN ALGAE
(Kingdom Protista:Section Protophyta [algal protists]:Division (Phylum) Chrysophyta),(Kingdom Protista:Section Protophyta [algal protists]:Division (Phylum) Chrysophyta),(Kingdom Protista:Section Protophyta [algal protists]:Division (Phylum) Chrysophyta),(Kingdom Protista:Section Protophyta [algal protists]:Division (Phylum) Chrysophyta),(Kingdom Protista:Section Protophyta [algal protists]:Division (Phylum) Chrysophyta)
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
APEDINELLA,,,0001790,04050403
APEDINELLA RADIANS,,,0001791,0405040301
APEDINELLA SPINIFERA,,,0001792,0405040302
CALYCOMONAS,,,0001747,04050201
CALYCOMONAS GRACILIS,,SA,0001748,0405020101
CALYCOMONAS OVALIS,,,0001750,0405020102
CALYCOMONAS WULFFII,,S,0001749,0405020101
CHROMULINA,,,0001717,04050101
CHROMULINA LUNARIS,,,0001718,0405010101
CHROMULINA NEBULOSA,,,0001723,0405010106
CHROMULINA OVALIS,,,0001719,0405010102
CHROMULINA PALLIDA,,,0001720,0405010103
CHROMULINA PARVULA,,,0001721,0405010104
CHROMULINA PASCHERI,,,0001727,0405010110
CHROMULINA PLEIADES,,,0001722,0405010105
CHROMULINA PUSILLA,,,0001730,0405010113
CHRYSAMOEBA RADIANS,,,0001827,0408010201
CHRYSAPSIS SAGENE,,,0001743,0405010502
CHRYSOCAPSA,,,0001860,04100101
CHRYSOCOCCUS,,,0001751,04050202
CHRYSOCOCCUS MINUTUS,,,0001762,0405020211
CHRYSOCOCCUS RUFESCENS,,,0001753,0405020202
CHRYSOCOCCUS TESSELATUS,,,BAY0071,04050202TESS
CHRYSOPHYCEAE,,,0001448,0401
CHRYSOPHYTA,GOLDEN-BROWN ALGAE,,0001447,04
DICTYOCHA,,,0001804,04070101
DICTYOCHA EPIODON,,,0001807,0407010103
DICTYOCHA FIBULA,,,0001805,0407010101
DICTYOCHA PONS,,,0001806,0407010102
DICTYOCHA SIDEREA,,,BAY0317,04070101SID
DINOBRYON,,,0001515,04020201
DINOBRYON BAVARICUM,,,0001522,0402020104
DINOBRYON CALCIFORMIS,,,0001529,0402020106
DINOBRYON CYLINDRICUM,,,0001530,0402020107
DINOBRYON DIVERGENS,,,0001534,0402020108
,3,,,
