Name: “Table 1 of 1 on page 111 of 142”,Name: “Table 1 of 1 on page 111 of 142”,Name: “Table 1 of 1 on page 111 of 142”,Name: “Table 1 of 1 on page 111 of 142”,Name: “Table 1 of 1 on page 111 of 142”
Table: 111,Table: 111,Table: 111,Table: 111,Table: 111
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
LIMNOCHIRONOMUS,,S,0181211,64896006
LIMNOGONUS,,,0103853,62740105
LIMNOPHILA,,,0120164,64830607
LIMNOPHORA,,,0150730,64972701
LIMNOPHYES,,,0128776,64895633
LIMNOTRECHUS,,S,0103830,62740104
LIMONIA,SEA LAVENDERS,SA,0119704,64830505
LIPINELLA,,,0129531,64896024
LIPOGOMPHUS,,,0103986,62740503
LISTRONOTUS,,,0114690,63250313
LOPESCLADIUS,,,0128811,64895635
LUMETUS,,S,0112976,63090315
LYPE DIVERSA,,,0115392,6418030901
MACRODYTES,,S,0112120,63050616
MACROMIA,,,0101918,62260126
MACROMIA ALLEGHANIENSIS,,,0101919,6226012601
MACRONEMA,,S,0115605,64180413
MACRONEMA FLAVUM,,S,0115554,6418040901
MACRONEMA ZEBRATUM,,S,0115607,6418041301
MACRONEMUM,,S,0115604,64180413
MACRONYCHUS,,,0114212,63160415
MACRONYCHUS GLABRATUS,,,0114213,6316041501
MACROSTEMUM,,SA,0115603,64180413
MACROSTEMUM ZEBRATUM,,SA,0115606,6418041301
MAYATRICHIA AYAMA,,,0115812,6418050601
MEGAHELUS,,S,0102996,62540201
MEGALEUCTRA,,,0102877,62520703
MELUSINA TUBEROSA,,S,0126884,6489190173
MEROPELOPIA,,S,0128132,64894204
MERRAGATA,,,0103983,62740502
MESOCRICOTOPUS,,,0128815,64895636
MESOSMITTIA,,,0128818,64895637
MESOVELIA,,,0103954,62740401
METHYDRUS,,S,0112975,63090315
METRIOCNEMUS INNOCUUS,,S,0128984,6489564803
METRIOCNEMUS LUNDBECKI,,S,0128985,6489564803
METROBATES,,SA,0103857,62740106
MIATHYRIA MARCELLA,,,0102010,6226013801
MICRASEMA,,,0116958,64181504
MICROCHIRONOMUS,,,0129532,64896025
MICROCRICOTOPUS,,,0130049,64896305
MICROCYLLOEPUS,,,0114146,63160405
MICROCYLLOEPUS PUSILLUS,,SA,0114147,6316040501
MICROPHYSIDAE,MICROPHYSIDS,,0104409,628003
MICROPSECTRA,,,0129890,64896205
MICROTENDIPES,,,0129535,64896026
MICROTENDIPES CAELUM,,,0129540,6489602603
MICROTENDIPES PEDELLUS,,,0129541,6489602604
MICROVELIA,,,0103900,62740202
MOLANNA,,,0116474,64180801
MOLANNA UNIOPHILA,,,0116477,6418080103
MOLOPHILUS,,,0120758,64830716
MONODIAMESA BATHYPHILA,,SA,0128441,6489550201
MORMOMYIA,,S,0116800,64181401
MYSTACIDES,,,0116598,64181203
MYSTACIDES SEPULCHRALIS,,SA,0116599,6418120301
NANOCLADIUS,,SA,0128844,64895639
NANOCLADIUS BALTICUS,,,0128866,6489563916
NANOCLADIUS BICOLOR,,,0128846,6489563901
,101,,,
