Name: “Table 1 of 1 on page 18 of 142”,Name: “Table 1 of 1 on page 18 of 142”,Name: “Table 1 of 1 on page 18 of 142”,Name: “Table 1 of 1 on page 18 of 142”,Name: “Table 1 of 1 on page 18 of 142”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
AULACOSEIRA HERZOGII,,S,BAY0033,0702010125
AULACOSEIRA ISLANDICA,,S,0591482,0702010109
AULACOSEIRA ITALICA,,S,0591483,0702010126
AULISCUS CAELATUS,,,0002672,0702060501
AULISCUS SCULPTUS,,,0002675,0702060504
AURICULA INSECTA,,,0004703,0703060101
AZPEITIA TABULARIS,,SA,0610121,0702030125
BACILLARIA PARADOXA,,S,0005302,0703100201
BACILLARIA PAXILLIFER,,SA,0005301,0703100201
BACILLARIOPHYCEAE,EPIPHYTIC DIATOMS,,0002287,0701
BACTERIASTRUM,,,0002862,07020902
BACTERIASTRUM COMOSUM,,,0002863,0702090201
BACTERIASTRUM DELICATULUM,,,0002864,0702090202
BACTERIASTRUM ELONGATUM,,,0002865,0702090203
BACTERIASTRUM FURCATUM,,S,0573687,0702090206
BACTERIASTRUM HYALINUM,,SA,0002866,0702090204
BACTERIASTRUM HYALINUM PRINCEPS,,,0002868,070209020401
BACTERIASTRUM MINUS,,S,0002867,0702090204
BACTERIASTRUM VARIANS,,SA,0002870,0702090206
BELLEROCHEA HOROLOGICALIS,,,0002727,0702070902
BELLEROCHEA MALLEUS,,,0002726,0702070901
BIDDULPHIA,,,0002678,07020701
BIDDULPHIA ALTERNANS,,SA,0002679,0702070101
BIDDULPHIA AURITA,,SA,0002681,0702070102
BIDDULPHIA AURITA OBTUSA,,SA,0002682,070207010201
BIDDULPHIA BIDDULPHIANA,,,0002706,0702070122
BIDDULPHIA CHINENSIS,,S,0002699,0702070115
BIDDULPHIA FAVUS,,S,0002741,0702071401
BIDDULPHIA GRANULATA,,SA,0002700,0702070116
BIDDULPHIA LAEVIS,,,0002685,0702070104
BIDDULPHIA LONGICRURIS,,SA,0002686,0702070105
BIDDULPHIA MOBILIENSIS,,SA,0002689,0702070106
BIDDULPHIA PULCHELLA,,,0002690,0702070107
BIDDULPHIA REGIA,,S,0002696,0702070113
BIDDULPHIA RETICULATA,,,BAY0040,07020701RETI
BIDDULPHIA RHOMBUS,,SA,0002691,0702070108
BIDDULPHIA RHOMBUS TRIGONA,,,0002693,070207010802
BIDDULPHIA SINENSIS,,SA,0002698,0702070115
BIDDULPHIA TRIDENS,,SA,0002702,0702070119
BIDDULPHIA TUOMEYI,,S,0002703,0702070119
BIDDULPHIA TURGIDA,,,0002697,0702070114
BLEAKELEYA NOTATA,,SA,BAY0348,0703010404
CALONEIS,,,0004369,07030508
CALONEIS BACILLUM,,,0004382,0703050808
CALONEIS FORMOSA,,S,0004378,0703050804
CALONEIS FUSIOIDES,,,0202438,0703050830
CALONEIS LAMELLA,,SA,0004407,0703050816
CALONEIS LEPIDULA,,,BAY0346,07030508LEP
CALONEIS LEWISI INFLATA,,S,0004410,0703050816
CALONEIS LEWISI LEWISI,,S,0004409,0703050816
CALONEIS LEWISII,,S,0004408,0703050816
CALONEIS STAUROPHORA,,,BAY0047,07030508STRA
CALONEIS SUBSALINA,,,0004376,0703050803
CALONEIS TRINODIS,,,BAY0304,07030508TRIN
CALONEIS WARDII,,,0004425,0703050826
CALONEIS WESTI,,SA,0004377,0703050804
CAMPYLODISCUS,,,0005401,07031102
CAMPYLODISCUS LIMBATUS,,,0005411,0703110207
CAMPYLODISCUS RUTILIS,,,BAY0049,07031102RU
,8,,,
