Name: “Table 1 of 1 on page 89 of 142”,Name: “Table 1 of 1 on page 89 of 142”,Name: “Table 1 of 1 on page 89 of 142”,Name: “Table 1 of 1 on page 89 of 142”,Name: “Table 1 of 1 on page 89 of 142”
Table: 89,Table: 89,Table: 89,Table: 89,Table: 89
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ACARTIA CLAUSI,,S,0086085,6118290113
ACARTIA HUDSONICA,,SA,0086097,6118290113
ACARTIA LONGIREMIS,,,0086087,6118290103
ACARTIA TONSA,,,0086088,6118290104
AGETUS,,S,0088572,61200401
ALTEUTHA DEPRESSA,,,0086413,6119110102
ALTEUTHA OBLONGA,,,0086412,6119110101
AMPHIASCOIDES LIMICOLUS,,,0087998,6119281208
AMPHIASCUS PARVUS,,,0087771,6119280401
APOCYCLOPS,,,0088760,61200811
APOSOPSYLLUS ARENICOLUS,,,0087353,6119240103
ARTOTROGUS ABYSSICOLUS,,,0088857,6120110201
BAIKALOCAMPTUS,,S,0088344,61192915
BRYOCAMPTUS ZSCHOKKEI,,,0088137,6119290103
CALANOIDA,,,0085258,6118
CALANUS,,SA,0085263,61180102
CALANUS FINMARCHICUS,,SA,0085272,6118010208
CALANUS HELGOLANDICUS,,,0085276,6118010210
CALANUS MINOR,,SA,0085274,6118011001
CALANUS TONSUS,,S,0085273,6118010208
CALIGUS,,,0089009,61230101
CANTHOCAMPTUS,,SA,0088343,61192915
CANUELLA,,,0086148,61190504
CANUELLA CANADENSIS,,S,0086133,6119050201
CANUELLA ELONGATA,,S,0086134,6119050201
CENTROPAGES,,,0085761,61181701
CENTROPAGES FURCATUS,,,0085765,6118170104
CENTROPAGES HAMATUS,,,0085766,6118170105
CENTROPAGES TYPICUS,,,0085767,6118170106
CLAUSOCALANUS ARCUICORNIS,,,0085353,6118050101
CLETODES LONGICAUDATUS,,,0087490,6119270101
CLYTEMNESTRA ROSTRATA,,,0086442,6119120101
COPEPODA,COPEPODS,,0085257,6117
CORYCAEUS,,SA,0088571,61200401
CORYCAEUS AMAZONICUS,,,0088575,6120040103
CORYCAEUS ELONGATUS,,,0088576,6120040104
CORYCAEUS SPECIOSUS,,,0088580,6120040109
CORYCAEUS VENUSTUS,,,0088577,6120040105
CYCLOPIDAE,,,0088634,612008
CYCLOPOIDA,,,0088530,6120
CYCLOPS,CYCLOPOID COPEPOD,,0088640,61200802
CYCLOPS BICOLOR,,,BAY0085,61200802BICO
CYCLOPS BICUSPIDATUS,,,0088645,6120080203
CYCLOPS BICUSPIDATUS THOMASI,CYCLOPOID COPEPOD,,0088646,612008020301
CYCLOPS FURCATA,,S,0086447,6119130101
CYCLOPS INSECTA,,S,0088771,6120081206
CYCLOPS VARICANS,,,0088648,6120080204
CYCLOPS VARICANS RUBELLUS,,,0088649,612008020401
CYCLOPS VERNALIS,,,0088641,6120080201
CYLINDROPSYLLIDAE,,,0086898,611917
DIACYCLOPS,,,0088775,61200814
DIACYCLOPS THOMASI,,,0088789,6120081412
DIAPTOMUS,,,0085780,61181801
DIAPTOMUS MINUTUS,,,0085783,6118180103
DIAPTOMUS PALLIDUS,,S,0085791,6118180113
DIAPTOMUS SICILIS,,,0085792,6118180114
DIAPTOMUS SICILOIDES,,,0085793,6118180115
DIOSACCUS TENUICORNIS,,,0087757,6119280203
ECTINOSOMA,,,0086211,61190902
,79,,,
