Name: “Table 1 of 1 on page 74 of 142”,Name: “Table 1 of 1 on page 74 of 142”,Name: “Table 1 of 1 on page 74 of 142”,Name: “Table 1 of 1 on page 74 of 142”,Name: “Table 1 of 1 on page 74 of 142”
Table: 74,Table: 74,Table: 74,Table: 74,Table: 74
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
SABELLARIA GRACILIS,,,0067678,5001650205
SABELLARIA VULGARIS,SANDBUILDER WORM,,0067671,5001650202
SABELLIDAE,,,0068076,500170
SABELLIDES OCTOCIRRATA,,,0067773,5001670601
SAMYTHELLA ELONGATA,,,0067802,5001671501
SCALIBREGMA INFLATUM,,,0067313,5001570101
SCHISTOMERINGOS CAECA,,SA,0066527,5001360505
SCHISTOMERINGOS RUDOLPHI,,SA,0066523,5001360504
SCOLECOLEPIDES,,,0066859,50014306
SCOLECOLEPIDES VIRIDIS,RED-GILLED MUD WORM,SA,0066861,5001430602
SCOLELEPIDES VIRIDIS,RED-GILLED MUD WORM,S,0066862,5001430602
SCOLELEPIS,,,0066942,50014320
SCOLELEPIS BOUSFIELDI,,,0066944,5001432002
SCOLELEPIS SQUAMATA,,,0066943,5001432001
SCOLELEPIS TEXANA,,,0066949,5001432006
SCOLOPLOS,,,0066594,50014003
SCOLOPLOS FRAGILIS,,,0066599,5001400303
SCOLOPLOS ROBUSTUS,,SA,0066600,5001400304
SCOLOPLOS RUBRA,,,0066603,5001400307
SERPULA,,,0068243,50017304
SERPULIDAE,,,0068232,500173
SIGALION ARENICOLA,,,0065094,5001060401
SIGAMBRA,,,0065551,50012202
SIGAMBRA BASSI,,,0065554,5001220204
SIGAMBRA TENTACULATA,,,0065552,5001220201
SPHAERODOROPSIS,,,0066073,50012602
SPHAEROSYLLIS,,,0065735,50012308
SPHAEROSYLLIS ACICULATA,,,0065743,5001230807
SPHAEROSYLLIS HYSTRIX,,,0065739,5001230803
SPHAEROSYLLIS LONGICIRRATA,,S,0065825,5001231701
SPHAEROSYLLIS TAYLORI,,,0065747,5001230811
SPIO,,,0066864,50014307
SPIO FILICORNIS,,,0066865,5001430701
SPIO PETTIBONEAE,,,0066870,5001430706
SPIO SETOSA,,,0066868,5001430704
SPIOCHAETOPTERUS COSTARUM,,,0067107,5001490302
SPIOCHAETOPTERUS COSTARUM OCULATUS,,,0067108,500149030201
SPIOCHAETOPTERUS OCULATUS,GLASSY TUBE WORM,,0067110,5001490303
SPIONIDAE,,,0066781,500143
SPIOPHANES BOMBYX,,,0066897,5001431001
SPIRORBIS,,,0068248,50017305
STAUROCEPHALUS CAECUS,,S,0066528,5001360505
STAURONEREIS ANGOLANA,,S,0066526,5001360504
STAURONEREIS RUDOLPHI,,S,0066524,5001360504
STENONINEREIS,,,0065977,50012412
STHENELAIS,,,0065082,50010603
STHENELAIS BOA,,SA,0065084,5001060302
STHENELAIS LIMICOLA,,,0065086,5001060303
STHENELAIS PICTA,,S,0065085,5001060302
STREBLOSPIO,,,0066938,50014318
STREBLOSPIO BENEDICTI,BARRED-GILLED MUD WORM,,0066939,5001431801
STREPTOSYLLIS,,,0065817,50012316
STREPTOSYLLIS ARENAE,,,0065818,5001231601
STREPTOSYLLIS PETTIBONEAE,,,0065822,5001231605
STYLARIOIDES ERUCA,,S,0067253,5001540309
STYLARIOIDES PLUMOSA,,S,0067245,5001540302
STYPOCAPITELLIDAE,,,0067499,500161
SYLLIDAE,,,0065587,500123
SYLLIDES,,,0065803,50012315
,64,,,
