Name: “Table 1 of 1 on page 80 of 142”,Name: “Table 1 of 1 on page 80 of 142”,Name: “Table 1 of 1 on page 80 of 142”,Name: “Table 1 of 1 on page 80 of 142”,Name: “Table 1 of 1 on page 80 of 142”
Table: 80,Table: 80,Table: 80,Table: 80,Table: 80
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
CREPIDULA FORNICATA,COMMON ATLANTIC SLIPPERSNAIL,,0072623,5103640204
CREPIDULA GLAUCA,CONVEX SLIPPERSNAIL,S,0072625,5103640205
CREPIDULA MACULOSA,,,0072632,5103640210
CREPIDULA PLANA,EASTERN WHITE SLIPPERSNAIL,,0072627,5103640207
CUTHONA PERCA,LAKE MERRIT CUTHONA,,0078627,5141030110
CYCLOSTREMISCUS BEAUII,,,0071115,5103230312
CYLICHNA ALBA,WHITE CHALICE-BUBBLE,,0076148,5110040203
CYLICHNA BIDENTATA,TWO-TOOTH BARREL-BUBBLE,S,0076142,5110040121
CYLICHNELLA BIDENTATA,TWO-TOOTH BARREL-BUBBLE,S,0076141,5110040121
DIASTOMA VARIUM,VARIABLE BITTIUM,,0071974,5103450201
DORIDELLA,,,0078434,51310702
DORIDELLA OBSCURA,OBSCURE CORAMBE,SA,0078439,5131070201
DORIOPSILLA PHARPA,,,0078458,5132010205
DORIS VERRUCOSA,ROUGH-BACK NUDIBRANCH,,0078209,5130030102
ELIMIA VIRGINICA,PIEDMONT ELIMIA,SA,0071851,5103400664
ELYSIA CATULUS,KITTY-CAT SEA SLUG,,0077939,5123030101
ELYSIA CHLOROTICA,EASTERN EMERALD ELYSIA,,0077940,5123030102
EPITONIUM,,SA,0072233,51035001
EPITONIUM ANGULATUM,ANGULATE WENTLETRAP,,0072252,5103500110
EPITONIUM GREENLANDICUM,,,0072237,5103500102
EPITONIUM HUMPHREYSII,,,0072259,5103500114
EPITONIUM LINEATUM,BROWN-BAND WENTLETRAP,S,0072250,5103500108
EPITONIUM MULTISTRIATUM,MANY-RIBBED WENTLETRAP,SA,0072247,5103500107
EPITONIUM RUPICOLA,BROWN-BAND WENTLETRAP,SA,0072249,5103500108
EULIMASTOMA,ECTOPARASITIC SNAIL,S,0075448,51080101
EUPLEURA CAUDATA,THICK-LIP DRILL,,0073300,5105010601
EUPLEURA SULCIDENTATA,SHARP-RIB-DRILL,,0073301,5105010602
FARGOA BUSHIANA,,,0075997,5108011502
FAVORINUS,,,0078719,51420203
FERRISSIA,COLLIE HAT SNAILS,,0076569,51141101
FERRISSIA RIVULARIS,CREEPING ANCYLID,,0076572,5114110103
FLABELLINOPSIS,,S,0078646,51410401
GASTROPODA,SNAILS,,0069459,51
GILLIA ALTILIS,,,0070665,5103132201
GONIOBASIS,,,0071542,51034001
GONIOBASIS VIRGINICA,PIEDMONT ELIMIA,S,0071852,5103400664
GYRAULUS,,,0076592,51141201
HAMINOEA SOLITARIA,SOLITARY GLASSY-BUBBLE,,0076258,5110120102
HELISOMA,,,0076599,51141202
HERMAEA CRUCIATA,CROSS-BEARER SEA SLUG,,0077972,5123060101
HYALINA,,,0074415,51051505
HYDROBIA,SEAWEED SNAILS,,0070494,51031301
HYDROBIA JACKSONI,,,0070496,5103130102
HYDROBIA MINUTA,,,0070497,5103130103
HYDROBIA TRUNCATA,,,0070495,5103130101
HYDROBIIDAE,,,0070493,510313
ILYANASSA OBSOLETA,EASTERN MUDSNAIL,,0074169,5105080201
ILYANASSA TRIVITTATA,,,0074170,5105080202
KURTZIELLA ATROSTYLA,,,0074804,5106021101
KURTZIELLA CERINA,,,0074806,5106021103
KURTZIELLA LIMONITELLA,,,0074807,5106021104
LAEVAPEX FUSCUS,,,0076577,5114110201
LANX,,,0076477,51140901
LEPTOGNATHA CAECA,,,BAY0138,5138CAECA
LITTORIDINOPS,,,0070527,51031305
LITTORIDINOPS TENUIPES,HENSCOMB HYDROBE,SA,0070528,5103130501
LITTORINA,,SA,0070395,51031001
LITTORINA CAROLINENSIS,MARSH PERIWINKLE,S,0070417,5103100107
LITTORINA IRRORATA,MARSH PERIWINKLE,SA,0070414,5103100107
,70,,,
