Name: “Table 1 of 1 on page 78 of 142”,Name: “Table 1 of 1 on page 78 of 142”,Name: “Table 1 of 1 on page 78 of 142”,Name: “Table 1 of 1 on page 78 of 142”,Name: “Table 1 of 1 on page 78 of 142”
Table: 78,Table: 78,Table: 78,Table: 78,Table: 78
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
TUBIFICOIDES BROWNAE,,,0068688,5009020901
TUBIFICOIDES DIAZI,,,0068689,5009020902
TUBIFICOIDES GABRIELLAE,,S,0068590,5009020201
TUBIFICOIDES HETEROCHAETUS,,S,0068595,5009020203
TUBIFICOIDES MAURERI,,,0068695,5009020907
TUBIFICOIDES SWIRENCOWI,,S,0068597,5009020203
TUBIFICOIDES WASSELLI,,,0068692,5009020904
UNCINAIS,,,0068989,50090314
UNCINAIS UNCINATA,,,0068990,5009031401
WAPSA MOBILIS,,S,0068866,5009030302
,HIRUDINEA - LEECHES,,,
,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:,
,Phylum Annelida [Segmented worms]: Class Hirudinea),Phylum Annelida [Segmented worms]: Class Hirudinea),Phylum Annelida [Segmented worms]: Class Hirudinea),
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ALBOGLOSSIPHONIA HETEROCLITA,,SA,0069389,5014020701
BATRACOBDELLA,,,0069358,50140201
BATRACOBDELLA PHALERA,,S,0069374,5014020210
DESSEROBDELLA PHALERA,,SA,0555638,5014020210
ERPOBDELLA,,,0069444,50160102
ERPOBDELLA PUNCTATA,,,0069445,5016010202
ERPOBDELLIDAE,,,0069438,501601
GLOSSIPHONIA COMPLANATA,,,0069381,5014020401
GLOSSIPHONIA HETEROCLITA,,S,0069390,5014020701
GLOSSIPHONIA SWAMPINA,,S,0069391,5014020701
GLOSSIPHONIIDAE,,,0069357,501402
HELOBDELLA,,,0069396,50140210
HELOBDELLA FUSCA,,,0069401,5014021005
HELOBDELLA STAGNALIS,,,0069398,5014021002
HELOBDELLA TRISERIALIS,,,0069399,5014021003
HIRUDINEA,LEECHES,,0069290,5012
HIRUDINIDAE,,,0069407,501501
ICHTHYOBDELLA RAPAX,,,0069320,5014010802
ILLINOBDELLA MOOREI,,,0069324,5014011201
MACROBDELLA GROSSA,COMMENSAL NEMERTEAN WORM,,BAY0143,50150103GROS
MARSHALLORA NIGROCINCTA,BLACK-LINE TRIPHORA,,0567862,50MARSHALL
MOLLUSCA,,,0069458,5085
PISCICOLA,,,0069304,50140104
PISCICOLIDAE,,,0069296,501401
PLACOBDELLA,,,0069363,50140202
PLACOBDELLA MONTIFERA,,,0069368,5014020205
PLACOBDELLA PAPILLIFERA,,,0069364,5014020201
PLACOBDELLA PARASITICA,,,0069365,5014020202
PLACOBDELLA PHALERA,,S,0069373,5014020210
TRACHELOBDELLA,,,0069321,50140110
,"GASTROPODA - SNAILS, UNIVALVE MOLLUSCS","GASTROPODA - SNAILS, UNIVALVE MOLLUSCS",,
,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:,
,Phylum Mollusca [Molluscs]:Class Gastropoda),Phylum Mollusca [Molluscs]:Class Gastropoda),,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ACANTHODORIS PILOSA,HAIRY SPINY DORIS,,0078359,5131050101
ACTEOCINA,,,0076107,51100401
ACTEOCINA BIDENTATA,TWO-TOOTH BARREL-BUBBLE,SA,0076140,5110040121
,68,,,
