Name: “Table 1 of 1 on page 11 of 142”,Name: “Table 1 of 1 on page 11 of 142”,Name: “Table 1 of 1 on page 11 of 142”,Name: “Table 1 of 1 on page 11 of 142”,Name: “Table 1 of 1 on page 11 of 142”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
,CYANOPHYCOTA - CYANOBACTERIA OR BLUE-GREEN ALGAE,CYANOPHYCOTA - CYANOBACTERIA OR BLUE-GREEN ALGAE,CYANOPHYCOTA - CYANOBACTERIA OR BLUE-GREEN ALGAE,CYANOPHYCOTA - CYANOBACTERIA OR BLUE-GREEN ALGAE
,(Kingdom Monera:Section Eubacteria:Phylum Cyanophycota),(Kingdom Monera:Section Eubacteria:Phylum Cyanophycota),(Kingdom Monera:Section Eubacteria:Phylum Cyanophycota),
LATIN NAME,COMMON NAME,SYN,TSN,NODC
,,,,CODE
AGMENELLUM,,,0000605,03020101
AGMENELLUM QUADRUPLICATUM,,,0000606,0302010101
AGMENELLUM THERMALE,,,0000607,0302010102
ANABAENA,,,0001100,03040201
ANABAENA AEQUALIS,,,0001129,0304020122
ANABAENA AFFINIS,,,0001107,0304020107
ANABAENA AUGSTUMALIS MARCHICA,,,0001132,030402012302
ANABAENA CIRCINALIS,,,0001104,0304020104
ANABAENA CONFERVOIDES,,,0001134,0304020125
ANABAENA CONSTRICTA,,,0001144,0304020135
ANABAENA FLOSAQUAE,,,0001109,0304020109
ANABAENA HELICOIDEA,,,0001138,0304020129
ANABAENA LIMNETICA,,,0001141,0304020132
ANABAENA OSCILLARIOIDES,,,0001127,0304020120
ANABAENA PLANCTONICA,,,0001117,0304020112
ANABAENA SPIROIDES,,,0001119,0304020114
ANABAENA SPIROIDES CRASSA,,,0001121,030402011402
ANABAENA WISCONSINENSE,,,0001143,0304020134
ANABAENOPSIS,,,0001182,03040205
ANACYSTIS,,,0000609,03020102
ANACYSTIS CYANEA,,,0000610,0302010201
ANACYSTIS DIMIDIATA,,,0000611,0302010202
ANACYSTIS INCERTA,,,0000620,0302010206
ANACYSTIS MARINA,,,0000612,0302010203
ANACYSTIS MONTANA,,,0000613,0302010204
ANACYSTIS MONTANA MINOR,,,0000615,030201020402
ANACYSTIS THERMALIS,,,0000616,0302010205
APHANIZOMENON,,,0001191,03040207
APHANIZOMENON FLOSAQUAE,,,0001192,0304020701
APHANIZOMENON ISSATSCHENKOI,,,BAY0390,03040207ISS
APHANOCAPSA,,,0000625,03020103
APHANOCAPSA DELICATISSIMA,,,0000634,0302010306
APHANOCAPSA ELACHISTA,,,0000627,0302010302
APHANOCAPSA ELACHISTA CONFERTA,,,0000629,030201030202
APHANOCAPSA GREVILLEI,,,0000635,0302010307
APHANOCAPSA PULCHRA,,,0000630,0302010303
APHANOTHECE,,,0000636,03020104
APHANOTHECE GELATINOSA,,,0000647,0302010408
ARTHROSPIRA NEAPOLITANA,,,0001093,0304011403
BLUE GREEN SPHERE,BLUE-GREEN ALGAE,,BAY0042,03
CALOTHRIX,,SA,0001243,03040402
CALOTHRIX CRUSTACEA,,SA,0001247,0304040202
CALOTHRIX PARIETINA,,SA,0001251,0304040204
CHROOCOCCALES,,,0000603,0302
CHROOCOCCUS,,,0000654,03020105
CHROOCOCCUS DISPERSUS,,,0000665,0302010505
CHROOCOCCUS DISPERSUS MINOR,,,0000667,030201050502
CHROOCOCCUS LIMNETICUS,,,0000656,0302010502
CHROOCOCCUS LIMNETICUS ELEGANS,,,0000660,030201050204
CHROOCOCCUS PRESCOTTII,,,0000674,0302010512
CHROOCOCCUS TURGIDUS,,,0000655,0302010501
COCCOCHLORIS,,,0000678,03020106
COELOSPHAERIUM,,,0000791,03020115
COELOSPHAERIUM DUBIUM,,,0000796,0302011505
COELOSPHAERIUM KUETZINGIANUM,,,0000792,0302011501
COELOSPHAERIUM PALLIDUM,,,0000798,0302011507
CYLINDROSPERMUM DORYPHORUM,,,BAY0351,03040209DOR
ENTOPHYSALIS DEUSTA,,,0000829,0302020202
ENTOPHYSALIS LEMANIAE,,,0000831,0302020204
ENTOPHYSALIS RIVULARIS,,,0000830,0302020203
GLOEOCAPSA,,,0000682,03020107
GLOEOCAPSA AERUGINOSA,,,0000689,0302010707
,1,,,
