Name: “Table 1 of 1 on page 82 of 142”,Name: “Table 1 of 1 on page 82 of 142”,Name: “Table 1 of 1 on page 82 of 142”,Name: “Table 1 of 1 on page 82 of 142”,Name: “Table 1 of 1 on page 82 of 142”
Table: 82,Table: 82,Table: 82,Table: 82,Table: 82
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
POLINICES DUPLICATUS,ATLANTIC MOON SNAIL,,0072918,5103760407
POLINICES HEROS,MOON SNAIL,SA,0072923,5103760410
POLYCERA,,,0078312,51310202
POLYCERELLA CONYNA,RIDGE-HEADED NUDIBRANCH,,0078336,5131020501
PROSOBRANCHIA,,,0078780,5180
PRUNUM ROSCIDUM,SEABOARD MARGINELLA,S,0074409,5105150222
PSEUDOSUCCINEA COLUMELLA,MIMIC LYMNAEA,,0076529,5114100501
PYRAMIDELLA,,,0075947,51080103
PYRAMIDELLA CANDIDA,,,0075948,5108010301
PYRAMIDELLA CRENULATA,,,0075950,5108010303
PYRAMIDELLIDAE,,,0075446,510801
RETUSA CANALICULATA,CHANNELED BARREL-BUBBLE,S,0076119,5110040103
RETUSIDAE,,,0076277,511013
RICTAXIS PUNCTOSTRIATUS,APITTED BABY-BUBBLE,SA,0076083,5110010403
SAYELLA CHESAPEAKEA,,,0070946,5103200601
SAYELLA PRODUCTA,,,EMAP008,51032006PROD
SCALA,,S,0072235,51035001
SCALA LEPTALEA,MANY-RIBBED WENTLETRAP,S,0072248,5103500107
SCALARIA,,S,0072234,51035001
SEILA ADAMSI,,,0072111,5103460401
SKENEOPSIS PLANORBIS,FLAT SKENEA,,0071217,5103240102
STILIGER FUSCATUS,DUSKY SEA SLUG,SA,0077978,5123060201
STROMBIDAE,,,0072554,510358
TENELLIA ADSPERSA,MINIATURE AEOLIS,,0078554,5134090203
TEREBRA DISLOCATA,EASTERN AUGER,SA,0075409,5106040109
TRIPHORA NIGROCINCTA,BLACK-LINE TRIPHORA,,0072193,5103480104
TURBONILLA,,SA,0075676,51080102
TURBONILLA AEQUALIS,,,0075710,5108010224
TURBONILLA AREOLATA,INTERRUPTED TURBONILLE,S,0075690,5108010209
TURBONILLA BUTEONIS,INTERRUPTED TURBONILLE,S,0075689,5108010209
TURBONILLA CASCOENSIS,INTERRUPTED TURBONILLE,S,0075693,5108010209
TURBONILLA INTERRUPTA,INTERRUPTED TURBONILLE,SA,0075687,5108010209
TURBONILLA SENILIS,INTERRUPTED TURBONILLE,S,0075688,5108010209
TURBONILLA VINEAE,INTERRUPTED TURBONILLE,S,0075692,5108010209
TURBONILLA WINKLEYI,INTERRUPTED TURBONILLE,S,0075691,5108010209
TURRIDAE,,,0074555,510602
UROSALPINX CINEREA,ATLANTIC OYSTER DRILL,,0073264,5105010301
UTRICULASTRA CANALICULATA,CHANNELED BARREL-BUBBLE,S,0076118,5110040103
VALVATA,,,0070346,51030801
VALVATA SINCERA,,,0070349,5103080103
VALVATA TRICARINATA,,,0070354,5103080104
VITRINELLA FLORIDANA,,,0071072,5103230205
VITRINELLIDAE,,,0071064,510323
VIVIPARIDAE,,,0070304,510306
VIVIPARUS,,,0070305,51030601
VIVIPARUS GEORGIANUS,AMERICAN MYSTERY SNAIL,,0070307,5103060102
,POLYPLACOPHORA - CHITONS,,,
(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Mollusca [Molluscs]:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Mollusca [Molluscs]:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Mollusca [Molluscs]:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Mollusca [Molluscs]:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Mollusca [Molluscs]:
,Class Polyplacophora),,,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
CHAETOPLEURA APICULATA,EASTERN BEADED CHITON,,0078958,5303060103
,72,,,
