Name: “Table 1 of 1 on page 135 of 142”,Name: “Table 1 of 1 on page 135 of 142”,Name: “Table 1 of 1 on page 135 of 142”,Name: “Table 1 of 1 on page 135 of 142”,Name: “Table 1 of 1 on page 135 of 142”
Table: 135,Table: 135,Table: 135,Table: 135,Table: 135
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
SPHOEROIDES NEPHELUS,SOUTHERN PUFFER,,0173297,8861010208
SPHOEROIDES SPENGLERI,BANDTAIL PUFFER,,0173300,8861010211
SPHOEROIDES TESTUDINEUS,CHECKERED PUFFER,SA,0173291,8861010202
SPHYRAENA,BARRACUDAS,,0170425,88370101
SPHYRAENA BARRACUDA,GREAT BARRACUDA,,0170429,8837010104
SPHYRAENA BOREALIS,NORTHERN SENNET,,0170427,8837010102
SPHYRAENA GUACHANCHO,GUAGUANCHE,,0170428,8837010103
STELLIFER LANCEOLATUS,STAR DRUM,,0169292,8835441001
STENOTOMUS CAPRINUS,LONGSPINE PORGY,,0169183,8835430102
STENOTOMUS CHRYSOPS,SCUP,,0169182,8835430101
STEPHANOLEPIS HISPIDUS,PLANEHEAD FILEFISH,S,0173183,8860020703
STEPHANOLEPIS SETIFER,PYGMY FILEFISH,SA,0173149,8860020704
STIZOSTEDION VITREUM,WALLEYE,,0168506,8835200401
STIZOSTEDION VITREUM VITREUM,WALLEYE,,0168508,883520040102
STROMATEIDAE,RUDDERFISHES,,0172563,885103
STRONGYLURA MARINA,ATLANTIC NEEDLEFISH,SA,0165551,8803020201
SUDIS HYALINA,,,0162506,8762070602
SYACIUM PAPILLOSUM,DUSKY FLOUNDER,,0172793,8857031303
SYMPHURUS DIOMEDEANUS,SPOTTEDFIN TONGUEFISH,SA,0616664,8858020103
SYMPHURUS DIOMEDIANUS,SPOTTEDFIN TONGUEFISH,S,0173064,8858020103
SYMPHURUS PLAGIUSA,BLACKCHEEK TONGUEFISH,,0173062,8858020101
SYNAGROPS,,,0168334,88351814
SYNAGROPS BELLUS,BLACKMOUTH BASS,,0168335,8835181401
SYNAGROPS SPINOSUS,KEELCHEEK BASS,,0168337,8835181403
SYNGNATHIDAE,SEAHORSES,,0166443,882002
SYNGNATHUS,PIPEFISH,,0166444,88200201
SYNGNATHUS FLORIDAE,DUSKY PIPEFISH,,0166446,8820020102
SYNGNATHUS FUSCUS,NORTHERN PIPEFISH,,0166451,8820020103
SYNGNATHUS LOUISIANAE,CHAIN PIPEFISH,,0166452,8820020104
SYNODONTIDAE,LIZARDFISHES,,0162374,876202
SYNODUS FOETENS,INSHORE LIZARDFISH,,0162376,8762020101
TARPON ATLANTICA,TARPON,S,0161117,8738020201
TAUTOGA ONITIS,TAUTOG,,0170479,8839010101
TAUTOGOLABRUS ADSPERSUS,CUNNER,,0170481,8839010201
TELEOSTEI,,,0161105,8735
TELIPOMIS CYANNELUS,GREEN SUNFISH,S,0168137,8835160502
TETRAODONTIDAE,TOADFISHES,,0173283,886101
TETRAPTURUS ALBIDUS,WHITE MARLIN,,0172499,8850060301
THERAGRA CHALCOGRAMMA,WALLEYE POLLOCK,,0164722,8791030701
THUNNUS,ALBACORE TUNAS,,0172418,88500304
THUNNUS ALALUNGA,LONGFINNED ALBACORE,SA,0172419,8850030401
THUNNUS ALBACARES,YELLOWFIN TUNA,SA,0172423,8850030403
THUNNUS GERMO,LONGFINNED ALBACORE,S,0172420,8850030401
THUNNUS OBESUS,BIGEYE TUNA,SA,0172428,8850030405
THUNNUS ORIENTALIS,BLUEFIN TUNA,S,0172422,8850030402
THUNNUS THYNNUS,BLUEFIN TUNA,SA,0172421,8850030402
TILAPIA BUTTIKOFERI,TILAPIA,,0648956,88356104BUT
TINCA TINCA,TENCH,,0163348,8776010201
TRACHINOCEPHALUS MYOPS,BLUNTNOSE LIZARDFISH,,0162420,8762020401
TRACHINOTUS CAROLINUS,FLORIDA POMPANO,,0168708,8835280901
TRACHINOTUS FALCATUS,PERMIT,,0168709,8835280902
TRACHINOTUS GOODEI,PALOMETA,,0168710,8835280903
TRACHURUS LATHAMI,ROUGH SCAD,,0168587,8835280102
TRICHIURIDAE,RIBBONFISHES,,0172378,885002
TRICHIURUS LEPTURUS,ATLANTIC CUTLASSFISH,,0172385,8850020201
TRIGLIDAE,SEAROBINS,,0166972,882602
TRINECTES MACULATUS,HOGCHOKER,,0172982,8858030101
TYLOSAURUS MARINUS,ATLANTIC NEEDLEFISH,S,0165552,8803020201
TYLOSURUS ACUS,AGUJON,,0165571,8803020301
,125,,,
