Name: “Table 1 of 1 on page 55 of 142”,Name: “Table 1 of 1 on page 55 of 142”,Name: “Table 1 of 1 on page 55 of 142”,Name: “Table 1 of 1 on page 55 of 142”,Name: “Table 1 of 1 on page 55 of 142”
Table: 55,Table: 55,Table: 55,Table: 55,Table: 55
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ALTERNANTHERA PHILOXEROIDES,ALLIGATORWEED; ALLIGATOR-GRASS,,0020770,3225110407
ALTHAEA OFFICINALIS,MARSH MALLOW,,0021610,3234060101
AMARANTHUS CANNABINUS,WATER HEMP,SA,0020716,3225110101
AMORPHA FRUTICOSA,FALSE INDIGO,,0025368,3247170201
ANEMONE,,,0018425,32080102
ASCLEPIAS,MILKWEEDS,,0030240,32660401
ASPARAGUS OFFICINALIS,ASPARAGUS,,0042784,3329031102
ASTER,ASTERS,,0035510,32740103
ATRIPLEX PATULA,ORACHE; SPEAR SALTBUSH,,0020509,3225100104
ATRIPLEX PROSTRATA,HALBERD-LEAVED ATRIPLEX,,0192279,3225100183
BACCHARIS HALIMIFOLIA,EASTERN BACCHARIS,,0035682,3274010401
BARBAREA VULGARIS,COMMON WINTER-CRESS; WILD,,0022741,3239030202
,MUSTARD,,,
BASSIA HIRSUTA,HAIRY SEA BLITE; HAIRY SMOTHERWEED,,0020587,3225100201
BIDENS ARISTOSA,OZARK TICKSEED SUNFLOWER;,,0035713,3274010508
,TICKSEED SUNFL,,,
BIDENS CORONATA,TICKSEED SUNFLOWER,,0035706,3274010501
BIDENS LAEVIS,SMOOTH BURMARIGOLD,,0035711,3274010506
BIDENS TRIPARTITA,TICKSEED; SWAMP BEGGARTICKS,,0035709,3274010504
CABOMBA CAROLINIANA,"FANWORT, CAROLINA FANWORT",,0018408,3207040101
CAKILE MARITIMA,SEA ROCKET; EUROPEAN SEA ROCKET,,0022764,3239030405
CALLITRICHE STAGNALIS,POND WATER-STARWORT,,0032062,3268020111
CALYSTEGIA SEPIUM,HEDGE BINDWEED; FALSE HEDGE,,0030650,3267030101
,BINDWEED,,,
CAREX,SEDGES,,0039369,33150103
CAREX ACUTIFORMIS,LESSER POND SEDGE,,0039477,3315012505
CAREX DIVISA,DIVIDED SEDGE,,0039390,3315010317
CAREX EXTENSA,LONG-BRACTED SEDGE,,0039597,3315012622
CARPINUS CAROLINIANA,AMERICAN HORNBEAN,,0019504,3220030301
CARYA AQUATICA,WATER HICKORY,,0019224,3218030101
CARYA CORDIFORMIS,BITTERNUT HICKORY,,0019227,3218030104
CENTAURIUM SPICATUM,SPIKED CENTAURY,,0030037,3266020611
CEPHALANTHUS OCCIDENTALIS,BUTTONBUSH,,0034786,3272010101
CERATOPHYLLUM DEMERSUM,COONTAIL,,0018403,3207030101
CHENOPODIUM ALBUM,LAMBS-QUARTERS; WHITE GOOSEFOOT,,0020592,3225100303
CHENOPODIUM AMBROSIOIDES,MEXICAN TEA; WORMSEED,,0020590,3225100301
CHENOPODIUM MACROSPERMUM,SALTLOVING GOOSE GOOSEFOOT,,0020617,3225100328
CLADIUM MARISCOIDES,TWIGRUSH,,0039880,3315010503
CLEMATIS TERNIFLORA,YAM-LEAFED CLEMATIS,,0018712,3208010727
COMMELINA COMMUNIS,COMMON DAYFLOWER; ASIATIC,,0039127,3311040201
,DAYFLOWER,,,
COMMELINA DIFFUSA,CLIMBING DAYFLOWER,,0039131,3311040205
CUCUMIS MELO,CANTELOUPE; MUSKMELON,,0022362,3237210803
CYCLOLOMA ATRIPLICIFOLIUM,WINGED PIGWEED,,0020685,3225101201
CYNODON DACTYLON,BERMUDA GRASS,,0041619,3315030903
CYPERUS DIFFORMIS,VARIABLE FLAT SEDGE,,0039915,3315010633
CYPERUS ENGELMANNI,NUTGRASS,,0039886,3315010604
CYPERUS FUSCUS,BROWN FLATSEDGE,,0039927,3315010645
CYPERUS IRIA,RICEFIELD FLATSEDGE,,0039934,3315010652
DECODON VERTICILLATUS,WATER WILLOW,SA,0027076,3250020101
DECODON VERTICILLATUS LAEVIGATUS,WATER WILLOW,S,0192921,3250020101
DIANTHERA AMERICANA,,S,0182322,3270090101
DIGITARIA SANGUINALIS,HAIRY CRABGRASS; RED CRABGRASS;,,0040604,3315021401
,CRABGRAS,,,
DISTICHLIS SPICATA,"SALTGRASS,SPIKEGRASS",,0040662,3315021501
ECHINOCHLOA WALTERI,WATER MILLET,,0040669,3315021702
ECLIPTA PROSTRATA,ROUGH BUTTONS; FALSE DAISY,,0196226,3274011002
EGERIA DENSA,WATER-WEED,,0038972,3305010801
ELEOCHARIS PALUSTRIS,COMMON SPIKERUSH,,0040019,3315010908
ELODEA CANADENSIS,WATER WEED,,0038937,3305010101
,45,,,
