Name: “Table 1 of 1 on page 132 of 142”,Name: “Table 1 of 1 on page 132 of 142”,Name: “Table 1 of 1 on page 132 of 142”,Name: “Table 1 of 1 on page 132 of 142”,Name: “Table 1 of 1 on page 132 of 142”
Table: 132,Table: 132,Table: 132,Table: 132,Table: 132
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
NOTROPIS,,,0163399,87760111
NOTROPIS AMOENUS,COMELY SHINER,,0163401,8776011101
NOTROPIS ANALOSTANUS,SATINFIN SHINER,,0163767,8776017601
NOTROPIS ATHERINOIDES,EMERALD SHINER,,0163412,8776011112
NOTROPIS BIFRENATUS,BRIDLE SHINER,,0163402,8776011103
NOTROPIS BUCCATUS,SILVERJAW MINNOW,SA,0163478,8776015012
NOTROPIS CHALYBAEUS,IRONCOLOR SHINER,,0163403,8776011104
NOTROPIS CORNUTUS,COMMON SHINER,S,0163837,8776017806
NOTROPIS HUDSONIUS,SPOTTAIL SHINER,,0163404,8776011106
NOTROPIS PROCNE,SWALLOWTAIL SHINER,,0163407,8776011107
NOTROPIS RUBELLUS,ROSYFACE SHINER,,0163409,8776011108
NOTROPIS SPILOPTERUS,SPOTFIN SHINER,S,0163804,8776017619
NOTROPIS SPILOPTERUS SPILOPTERUS,SPOTFIN SHINER,S,0163805,8776017619
NOTROPIS VOLUCELLUS,MIMIC SHINER,,0163421,8776011127
NOTURUS,MADTOMS,,0164002,87770202
NOTURUS GYRINUS,TADPOLE MADTOM,,0164003,8777020201
NOTURUS INSIGNIS,MARGINED MADTOM,,0164004,8777020202
OCYURUS CHRYSURUS,YELLOWTAIL SNAPPER [,,0168907,8835360401
OGCOCEPHALUS PARVUS,ROUGHBACK BATFISH,,0164578,8787040105
OGCOCEPHALUS VESPERTILIO,LONGNOSE BATFISH,,0164575,8787040101
OLIGOPLITES SAURUS,LEATHERJACKET,,0168673,8835280501
ONCORHYNCHUS CLARKI,CUTTHROAT TROUT,,0161983,8755010208
ONCORHYNCHUS MYKISS,RAINBOW TROUT,SA,0161989,8755010211
OPHICHTHUS CRUENTIFER,MARGINATED SNAKE EEK,SA,0161473,8741131010
OPHIDION GRAYI,BLOTCHED CUSK-EEL,,0164841,8792010602
OPHIDION MARGINATUM,STRIPED CUSK-EEL,,0164852,8792010613
OPHIODON ELONGATUS,LINGCOD,,0167116,8827010201
OPISTHONEMA OGLINUM,ATLANTIC THREAD HERRING,,0161748,8747010701
OPSANUS,,,0164422,87830102
OPSANUS TAU,OYSTER TOADFISH,,0164423,8783010201
ORTHOPRISTIS CHRYSOPTERA,PIGFISH,,0169077,8835400201
OSBECKIA,FILEFISHES,S,0173130,88600201
OSMERUS MORDAX,RAINBOW SMELT,SA,0162041,8755030302
OSTEICHTHYES,BONY FISHES,,0161030,8717
PARABLENNIUS MARMOREUS,SEAWEED BLENNY,SA,0171304,8842012501
PARAHOLLARDIA LINEATA,JAMBEAU,,0173121,8860010301
PARALICHTHYS,SUMMER FLOUNDERS,,0172734,88570303
PARALICHTHYS DENTATUS,SUMMER FLOUNDER,,0172735,8857030301
PARALICHTHYS LETHOSTIGMA,SOUTHERN FLOUNDER,,0172738,8857030304
PARALICHTHYS OBLONGUS,FOURSPOT FLOUNDER,,0172739,8857030305
PARATHUNNUS MEBACHI,BIGEYE TUNA,S,0172429,8850030405
PENOPUS MICROPTHALMUS,,,0164959,8792012101
PEPRILUS ALEPIDOTUS,HARVESTFISH,,0172570,8851030106
PEPRILUS BURTI,GULF BUTTERFISH,,0172568,8851030104
PEPRILUS PARU,NORTHERN HARVESTFISH,,0172566,8851030102
PEPRILUS TRIACANTHUS,BUTTERFISH,,0172567,8851030103
PERCA FLAVESCENS,YELLOW PERCH,,0168469,8835200201
PERCA GIBBOSA,PUMPKINSEED,S,0168146,8835160505
PERCICHTHYIDAE,TEMPERATE BASSES,,0170315,883572
PERCIDAE,TRUE PERCHES,,0168356,883520
PERCIFORMES,PERCH-LIKE FISHES,,0167640,8834
PERCINA CAPRODES,LOGPERCH,,0168472,8835200301
PERCINA NOTOGRAMMA,STRIPEBACK DARTER,,0168473,8835200302
PERCINA PELTATA,SHIELD DARTER,,0168474,8835200303
PERCOPSIS OMISCOMAYCUS,TROUT-PERCH,,0164409,8782010101
PERISTEDION GRACILE,SLENDER SEAROBIN,,0167006,8826020303
PERISTEDION MINIATUM,ARMORED SEAROBIN,,0167010,8826020307
PHOLIS GUNNELLUS,ROCK GUNNEL,,0171645,8842130209
PIARACTUS BRACHYPOMUS,"PIRAPATINGA, RED-BELLIED PACU",,0163280,8774190701
,122,,,
