Name: “Table 1 of 1 on page 110 of 142”,Name: “Table 1 of 1 on page 110 of 142”,Name: “Table 1 of 1 on page 110 of 142”,Name: “Table 1 of 1 on page 110 of 142”,Name: “Table 1 of 1 on page 110 of 142”
Table: 110,Table: 110,Table: 110,Table: 110,Table: 110
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
HYDROPTILA SPATULATA,,,0115652,6418050310
HYDROPTILA WAUBESIANA,,,0115657,6418050315
HYDROPTILA XONCLA,,,0115659,6418050317
HYDROPTILIDAE,MICRO-CADDISFLIES,,0115629,641805
HYDROVATUS,,,0112257,63050628
HYGROTRECHUS,,S,0103831,62740104
HYLOGOMPHUS,,,0101791,62250416
HYPEREIDES,,S,0105626,62800516
HYPERODES,,,0114816,63250318
HYSTRICHOPSYLLIDAE,INSECTIVORE FLEAS,,0152737,654804
INSECTA,INSECTS,,0099208,62
IRON,,S,0100628,62160111
IRON MODESTUS,,S,0100533,6216010616
IRONOPSIS,,S,0100627,62160111
ISCHNOPSYLLIDAE,BAT FLEAS,,0152738,654805
ISCHNURA,,,0102078,62290401
ISCHNURA VERTICALIS,,,0102079,6229040101
ISONYCHIA,,,0101041,62160403
ISONYCHIA ALBOMANICATUS,,S,0101046,6216040304
ISONYCHIA BICOLOR,,SA,0101045,6216040304
ISOPERLA,,SA,0102995,62540201
ISOPERLA HOLOCHLORA,,,0103020,6254020121
ISOTOMURUS,,,0099246,62090201
ISOTOMURUS PALUSTRIS,MARSH SPRINGTAIL,SA,0099247,6209020101
JENORTHA,,S,0116799,64181401
KIEFFERULUS,,,0129522,64896022
KRENOSMITTIA,,,0128771,64895632
LABRUNDINIA,,,0128173,64894208
LACCOBIUS,,,0112858,63090303
LACCOPHILUS,,,0112278,63050631
LANTHUS,,,0101766,62250413
LANTHUS ALBISTYLUS,,S,0101767,6225041101
LANTHUS PARVULUS,,,0101768,6225041302
LARSIA,,,0128183,64894209
LAUTERBORNIELLA,,,0129525,64896023
LAUTERBORNIELLA ELEGANTISSIMA,,,BAY0137,64896023ELEG
LEIONOTUS,,S,0112119,63050616
LENZIELLA,,S,0129874,64896201
LEPIDOPTERA,MOTHS,,0117232,6420
LEPIDOSTOMA,,SA,0116794,64181401
LEPTOCELLA PAVIDA,,S,0193741,6418120503
LEPTOCERIDAE,LONG-HORN CADDISFLIES,,0116547,641812
LEPTOCERUS INCONSPICUUS,,S,0116614,6418120405
LEPTOCERUS SEPULCHARLIS,,S,0116600,6418120301
LEPTOPHLEBIA,,SA,0101148,62170105
LEPTOPHLEBIIDAE,,,0101095,621701
LEPTOPSYLLIDAE,RABBIT FLEAS,,0152739,654806
LESTIDAE,SPREAD-WINGED DAMSELFLIES,,0102058,622903
LEUCOTRICHIA,,,0115630,64180501
LEUCOTRICHIA PICTIPES,,SA,0115631,6418050101
LEUCROCUTA,,,0100676,62160117
LEUCTRA,,,0102844,62520702
LEUCTRA FERRUGINEA,,,0102850,6252070211
LEUCTRA TENUIS,,,0102853,6252070214
LEUCTRIDAE,ROLLED-WINGED STONEFLIES,,0102840,625207
LIBELLULA,,,0101893,62260125
LIBELLULIDAE,COMMON SKIMMERS,,0101797,622601
LIMNEPHILUS,,,0116069,64180717
LIMNIUS TRIVITTATUS,,S,0114187,6316040809
,100,,,
