Name: “Table 1 of 1 on page 24 of 142”,Name: “Table 1 of 1 on page 24 of 142”,Name: “Table 1 of 1 on page 24 of 142”,Name: “Table 1 of 1 on page 24 of 142”,Name: “Table 1 of 1 on page 24 of 142”
Table: 24,Table: 24,Table: 24,Table: 24,Table: 24
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
HEMIAULUS SINENSIS,,,0002751,0702080103
HEMIDISCUS CUNEIFORMIS,,,0002668,0702060401
HYALODISCUS STELLIGER,,SA,0002381,0702010801
LAUDERIA,,,0002530,07020206
LAUDERIA ANNULATA,,,0002533,0702020603
LAUDERIA BOREALIS,,,0002531,0702020601
LEPTOCYLINDRUS,,,0002394,07020112
LEPTOCYLINDRUS DANICUS,,,0002395,0702011201
LEPTOCYLINDRUS MEDITERRANEUS,,SA,0573630,0702011302
LEPTOCYLINDRUS MINIMUS,,,0002396,0702011202
LICMOPHORA,,,0003155,07030110
LICMOPHORA ABBREVIATA,,,0003168,0703011010
LICMOPHORA EHRENBERGI,,,0003156,0703011002
LICMOPHORA EHRENBERGI ANGUSTATA,,,0003158,070301100202
LICMOPHORA FLABELLATA,,,0003161,0703011005
LICMOPHORA GRACILIS,,,0003162,0703011006
LICMOPHORA INFLATA,,,BAY0140,07030110INFL
LICMOPHORA PARADOXA,,,0003163,0703011007
LICMOPHORA PARADOXA TINCTA,,,0003164,070301100701
LICMOPHORA TINCTA,,,0003166,0703011008
LIOLOMA DELICATULUM,,SA,BAY0358,0703010501
LITHODESMIUM,,,0002924,07021003
LITHODESMIUM UNDULATUM,,,0002925,0702100301
MASTOGLOIA,,,0004549,07030513
MASTOGLOIA APICULATA,,,BAY0147,07030513API
MASTOGLOIA BRAUNI,,,0004550,0703051301
MASTOGLOIA COCCONEIFORMIS,,,BAY0148,07030513COCC
MASTOGLOIA DANSEI,,,0004561,070305130602
MASTOGLOIA GIBBOSA,,,BAY0149,07030513GIBB
MASTOGLOIA PUMILA,,,0004562,0703051307
MASTOGLOIA PUSILLA,,,0004563,0703051308
MASTOGLOIA ROSTRATA,,,0004552,0703051303
MASTOGLOIA SMITHII,,,0004553,0703051304
MELOSIRA,,SA,0002290,07020101
MELOSIRA AMBIGUA,,,0002325,0702010120
MELOSIRA ARENARIA,,,0002327,0702010122
MELOSIRA BORRERI,,,0002296,0702010106
MELOSIRA CRENULATA,,S,0002334,0702010126
MELOSIRA DISTANS,,SA,0002320,0702010119
MELOSIRA DUBIA,,,0002326,0702010121
MELOSIRA GRANULATA,,SA,0002297,0702010107
MELOSIRA GRANULATA ANGUSTISSIMA,,SA,0002299,070201010702
MELOSIRA GRANULATA MUZZANENSIS,,,0002301,070201010704
MELOSIRA GRANULATA SPIRALIS,,S,0002305,0702010109
MELOSIRA HERZOGII,,SA,0002332,0702010125
MELOSIRA HUMMI,,,0002319,0702010118
MELOSIRA ISLANDICA,,SA,0002304,0702010109
MELOSIRA ISLANDICA CURVATA,,,BAY0150,0702010109CU
MELOSIRA ISLANDICA HELVETICA,,,0002307,070201010902
MELOSIRA ITALICA,,SA,0002333,0702010126
MELOSIRA JURGENSII,,,0002292,0702010102
MELOSIRA LINEATA,,,0002309,0702010110
MELOSIRA MONILIFORMIS,,,0002293,0702010103
MELOSIRA NUMMULOIDES,,,0002294,0702010104
MELOSIRA SULCATA,,,0002295,0702010105
MELOSIRA VARIANS,,,0002339,0702010127
MEMBRANEIS CHALLENGERI,,SA,BAY0376,0703052002
MERIDION,,,0003237,07030122
MERIDION CIRCULARE,,,0003238,0703012201
,14,,,
