Name: “Table 1 of 1 on page 56 of 142”,Name: “Table 1 of 1 on page 56 of 142”,Name: “Table 1 of 1 on page 56 of 142”,Name: “Table 1 of 1 on page 56 of 142”,Name: “Table 1 of 1 on page 56 of 142”
Table: 56,Table: 56,Table: 56,Table: 56,Table: 56
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ELODEA NUTTALLI,NUTALL WATERWEED,,0038939,3305010103
ERYSIMUM CHEIRANTHOIDES,WORMSEED-MUSTARD; WORMSEED-,,0022933,3239031007
,WALLFLOWER,,,
FAGUS GRANDIFOLIA,AMERICAN BEECH,,0019462,3220020501
FORESTIERA ACUMINATA,SWAMP PRIVET,,0032952,3270020301
FRAXINUS,ASH,,0032928,32700201
HALODULE BEAUDETTEI,SHOAL GRASS,SA,0039077,3306080301
HALODULE WRIGHTI,SHOAL GRASS,S,0039078,3306080301
HELIOTROPIUM CURASSAVICUM,SEASIDE HELIOTROPE; SALT,,0031635,3268010101
,HELIOTROPE,,,
HETERANTHERA DUBIA,GRASS LEAF MUDPLANTAIN,,0502960,3329020701
HETERANTHERA RENIFORMIS,MUD PLANTAIN,,0042616,3329020101
HIBISCUS MOSCHEUTOS,MARSH HIBISCUS,,0021612,3234060201
HYDRILLA VERTICILLATA,HYDRILLA,,0038974,3305010901
IRIS PSEUDACORUS,YELLOW IRIS,,0043194,3329040103
IVA FRUTESCENS,HIGHTIDE BUSH,,0036025,3274011401
JUNCUS,RUSHES,,0039220,33140101
JUNCUS EFFUSUS,SOFT RUSH,,0039232,3314010112
JUNCUS ROEMERIANUS,BLACK NEEDLERUSH,,0039238,3314010118
JUSTICIA AMERICANA,WATER WILLOW,SA,0034352,3270090101
LEERSIA ORYZOIDES,RICE CUTGRASS,,0040886,3315022701
LEMNA,DUCKWEEDS,,0042588,33250201
LIQUIDAMBAR STYRACIFLUA,SWEETGUM,,0019027,3214050101
LIRIODENDRON TULIPIFERA,YELLOW-POPLAR,,0018086,3204030401
LONICERA JAPONICA,JAPANESE HONEYSUCKLE,,0035283,3273010202
LUDWIGIA PEPLOIDES,CREEPING WATER-PRIMROSE,,0027355,3250100321
LYCOPUS EUROPAEUS,EUROPEAN BUGLE-WEED; BITTER,,0032260,3268050107
,BUGLE-WEED,,,
LYSIMACHIA NUMMULARIA,MONEYWORT; CREEPING JENNY,,0023993,3243030510
LYTHRUM LINEARE,LOOSESTRIFE,,0027078,3250020201
LYTHRUM SALICARIA,PURPLE LOOSESTRIFE,,0027079,3250020202
MELILOTUS ALBA,WHITE SWEET-CLOVER,,0026149,3247171301
MENTHA AQUATICA,WATER MINT; BERGAMOT MINT,,0032268,3268050204
MENTHA SPICATA,SPEARMINT,,0032272,3268050208
MURDANNIA KEISAK,ASIAN DEWFLOWER; MARSH,,0039145,3311040601
,DAYFLOWER,,,
MYRIOPHYLLUM,WATER MILFOIL,,0027034,32490101
MYRIOPHYLLUM SPICATUM,EURASIAN WATERMILFOIL,,0027039,3249010105
NAJAS,,,0038995,33060401
NAJAS FLEXILIS,"BUSHY PONDWEED, NORTHERN NAIAD",,0038996,3306040101
NAJAS GRACILLIMA,SLENDER NAIAD,,0038997,3306040102
NAJAS GUADALUPENSIS,SOUTHERN NAIAD,,0038998,3306040103
NAJAS MINOR,,,0039002,3306040107
NELUMBO LUTEA,LOTUS LILY,,0018398,3207020101
NUPHAR ADVENA,SPATTERDOCK,,0018382,3207010302
NUPHAR LUTEUM,YELLOW POND LILY,,0018372,3207010301
NYMPHAEA,WATER LILY,,0018383,32070105
NYMPHAEA MEXICANA,BANANA WATER LILY,,0018385,3207010502
NYSSA SYLVATICA,BLACK TUPELO,,0027821,3252050201
OSTRYA VIRGINIANA,EASTERN HOPHORNBEAM,,0019511,3220030503
PANICUM AGROSTOIDES,PANIC GRASS,,0040902,3315022901
PANICUM VIRGATUM,SWITCHGRASS,,0040913,3315022912
PARAPHOLIS INCURVA,HARD-GRASS; SICKLE-GRASS; CURVED,,0041069,3315023501
,SEA HAR,,,
PELTANDRA VIRGINICA,ARROW-ARUM,,0042534,3325010401
PHALARIS ARUNDINACEA,REED CANARY-GRASS,,0041335,3315025501
PHRAGMITES AUSTRALIS,REED GRASS,SA,0041072,3315023601
PHRAGMITES COMMUNIS,COMMON REED,S,0041073,3315023601
PLANTAGO MAJOR,ENGLISH PLANTAIN; BROADLEAF,,0032887,3269010111
,PLANTAIN;,,,
,46,,,
