Name: “Table 1 of 1 on page 36 of 142”,Name: “Table 1 of 1 on page 36 of 142”,Name: “Table 1 of 1 on page 36 of 142”,Name: “Table 1 of 1 on page 36 of 142”,Name: “Table 1 of 1 on page 36 of 142”
Table: 36,Table: 36,Table: 36,Table: 36,Table: 36
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
CRUCIGENIA,,,0006225,08030903
CRUCIGENIA APICULATA,,,0006230,0803090306
CRUCIGENIA CRUCIFERA,,,0006227,0803090303
CRUCIGENIA DIVERGENS,,,BAY0083,08030903DIVE
CRUCIGENIA FENESTRATA,,,0006228,0803090304
CRUCIGENIA IRREGULARIS,,S,0006239,080309030902
CRUCIGENIA LAUTERBORNII,,,0006234,0803090307
CRUCIGENIA QUADRATA,,,0006235,0803090308
CRUCIGENIA RETANGULARIS,,,0006236,0803090309
CRUCIGENIA RETANGULARIS IRREGULARIS,,SA,0006238,080309030902
CRUCIGENIA TETRAPEDIA,,,0006226,0803090302
CRUCIGENIA TRUNCATA,,,0006240,0803090310
CRYPTOMONAS LENTICULARIS,,S,0005621,0802050401
DACTYLOCOCCOPSIS,,,0006446,08050104
DACTYLOCOCCOPSIS FASCICULARIS,,S,0005890,0803050705
DACTYLOCOCCOPSIS RHAPHIDIOIDES,,,0006451,0805010405
DESMIDIACEAE,DESMIDS,,0007256,081002
DESMIDIUM,,,0008844,08100219
DESMIDIUM BAILEYI,,,0008849,0810021903
DESMIDIUM GREVILLII,,,0008863,0810021913
DICTYOSPHAERIUM,,,0006297,08031101
DICTYOSPHAERIUM EHRENBERGIANUM,,,0006299,0803110102
DICTYOSPHAERIUM PLANCTONICUM,,,0006300,0803110103
DICTYOSPHAERIUM PULCHELLUM,,,0006298,0803110101
DIMORPHOCOCCUS,,,0006303,08031102
DISPORA CRUCIGENIOIDES,,,0006381,0803200601
ECHINOSPHAERELLA,,,0006336,08031206
ECHINOSPHAERELLA LIMNETICA,,,0006337,0803120601
ELAKATOTHRIX,,,0009412,08230102
ELAKATOTHRIX GELATINOSA,,,0009413,0823010201
ELAKATOTHRIX VIRIDIS,,,0009414,0823010202
ENTEROMORPHA,HOLLOW GREEN SEAWEED,,0006515,08050303
ENTEROMORPHA INTESTINALIS,,SA,0006535,0805030317
ENTEROMORPHA LINZA,,,0006528,0805030306
ENTEROMORPHA PROLIFERA,,,0006541,0805030318
ERRERELLA,,,0006331,08031204
ERRERELLA BORNHEMIENSIS,,,0006332,0803120401
EUASTRUM,,,0008525,08100212
EUASTRUM ABRUPTUM,,,0008527,0810021202
EUDORINA,,,0005597,08020307
EUDORINA ELEGANS,,,0005598,0802030701
EUDORINA UNICOCCA,,,0005599,0802030702
FRANCEIA,,,0005958,08030520
FRANCEIA DROESCHERI,,,0005959,0803052001
FRANCEIA OVALIS,,,0005960,0803052002
FRANCEIA TUBERCULATA,,,0005961,0803052003
GEMINELLA,,,0006463,08050108
GLOEOACTINIUM LIMNETICUM,,,0006339,0803120701
GLOEOCOCCUS SCHROETERI,,S,0009171,0812010401
GLOEOCYSTIS,,,0006355,08032001
GLOEOCYSTIS AMPLA,,,0006356,0803200101
GLOEOCYSTIS PLANCTONICA,,,0006357,0803200102
GLOEOCYSTIS VESICULOSA,,,0006360,0803200103
GOLENKINIA,,,0006314,08031201
GOLENKINIA PAUCISPINA,,,0006318,0803120102
GOLENKINIA PUSILLUM,,,0006319,0803120103
GOLENKINIA RADIATA,,,0006315,0803120101
GOMPHONITZSCHIA INDICA,,,0006390,0803210202
GONATOZYGON BREBISSONII,,,0008923,0810030601
,26,,,
