Name: “Table 1 of 1 on page 91 of 142”,Name: “Table 1 of 1 on page 91 of 142”,Name: “Table 1 of 1 on page 91 of 142”,Name: “Table 1 of 1 on page 91 of 142”,Name: “Table 1 of 1 on page 91 of 142”
Table: 91,Table: 91,Table: 91,Table: 91,Table: 91
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ONCAEA VENUSTA,,,0088552,6120010312
ORTHOCYCLOPS,,,0088755,61200809
OSPHRANTICUM LABRONECTUM,,,0085778,6118170401
PARACALANIDAE,,,0085321,611804
PARACALANUS,,,0085322,61180401
PARACALANUS CRASSIROSTRIS,,SA,0085324,6118040102
PARACALANUS FIMBRIATUS,,,BAY0198,61180401FIMB
PARACALANUS INDICUS,,,0085326,6118040103
PARACALANUS PARVUS,,,0085323,6118040101
PARACYCLOPS,,,0088731,61200805
PARACYCLOPS AFFINIS,,,0088733,6120080502
PARACYCLOPS FIMBRIATUS,,,0088732,6120080501
PARACYCLOPS FIMBRIATUS POPPEI,,S,0088736,6120080504
PARACYCLOPS POPPEI,,SA,0088735,6120080504
PARALAOPHONTE BREVIROSTRIS,,,0086595,6119150101
PARALAOPHONTE CONGENERA,,,0086596,6119150102
PARAROBERTSONIA CHESAPEAKENSIS,,,0087800,6119280501
PARONYCHOCAMPTUS,,,0086851,61191528
PARVOCALANUS CRASSIROSTRIS,,S,0085325,6118040102
PHAENNIDAE,,,0085583,611809
PONTELLA MEADII,,,0086055,6118270302
PONTELLA PENNATA,,,0086054,6118270301
PONTELLIDAE,,,0086038,611827
PSEUDECTINOSOMA,,,0086317,61190915
PSEUDOBRADYA OLIGOCHAETA,,,0086245,6119090320
PSEUDOCALANUS,,,0085369,61180505
PSEUDOCALANUS MINUTUS,,,0085371,6118050502
PSEUDOCYCLOPS,,,0085726,61181501
PSEUDODIAPTOMUS,,,0085848,61181902
PSEUDODIAPTOMUS CORONATUS,,,0085849,6118190201
PSEUDODIAPTOMUS PELAGICUS,,,0085854,6118190206
RHINCALANUS,,,0085316,61180302
RHINCALANUS NASTUS,,,0085318,6118030202
ROBERTGURNEYA OLIGOCHAETA,,,0087813,6119280611
ROBERTSONIA,,,0088024,61192815
SAPHIRELLA,,,0088628,61200602
SAPPHIRINA,,,0088831,61201001
SAPPHONCAEA,,,0088557,61200105
SCOTTOLANA,,,0086131,61190502
SCOTTOLANA CANADENSIS,,SA,0086132,6119050201
SKISTODIAPTOMUS PALLIDUS,,SA,0666978,6118180113
STENOCARIS PRISTINA,,,0086927,6119170308
STYLICLETODES LONGICAUDATUS,,,0087724,6119273501
TACHIDIUS DISCIPES,,,0086559,6119140302
TACHIDUS LITTORALIS,,S,0086549,6119140201
TEMORA,,,0085874,61182003
TEMORA LONGICORNIS,,,0085877,6118200303
TEMORA STYLIFERA,,,0085875,6118200301
TEMORA TURBINATA,,,0085878,6118200304
TEMORIDAE,,,0085855,611820
THAUMATOPSYLLIDAE,,,0088990,612201
TISBE,,,0086445,61191301
TISBE FURCATA,,SA,0086446,6119130101
TORTANUS,,,0086099,61183001
TORTANUS DISCAUDATUS,,,0086100,6118300101
TROPOCYCLOPS,,,0088742,61200807
TROPOCYCLOPS PRAFINUS MEXICANUS,,,0088745,612008070102
TROPOCYCLOPS PRASINUS,,,0088743,6120080701
UNDINULA VULGARIS,,,0085281,6118010301
,81,,,
