Name: “Table 1 of 1 on page 83 of 142”,Name: “Table 1 of 1 on page 83 of 142”,Name: “Table 1 of 1 on page 83 of 142”,Name: “Table 1 of 1 on page 83 of 142”,Name: “Table 1 of 1 on page 83 of 142”
Table: 83,Table: 83,Table: 83,Table: 83,Table: 83
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
,PELECYPODA OR BIVALVIA - BIVALVES,PELECYPODA OR BIVALVIA - BIVALVES,,
,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:,
,Phylum Mollusca [Molluscs]:Class Bivalva),Phylum Mollusca [Molluscs]:Class Bivalva),,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ABRA,,,0081301,55153502
ABRA AEQUALIS,ATLANTIC ABRA,,0081302,5515350201
ACHARAX,,S,0079315,55040101
AEQUIPECTEN IRRADIANS,BAY SCALLOP,,0079738,5509051202
ALIGENA ELEVATA,EASTERN ALIGENA,,0080685,5515100602
AMYGDALUM PAPYRIUM,ATLANTIC PAPERMUSSEL,,0079529,5507011001
ANADARA,,SA,0079337,55060102
ANADARA CAMPECHIENSIS,BLOOD ARK,S,0079344,5506010202
ANADARA OVALIS,BLOOD ARK,SA,0079342,5506010202
ANADARA OVALIS AMERICANA,BLOOD ARK,S,0079347,5506010202
ANADARA OVALIS PEXATA,BLOOD ARK,S,0079346,5506010202
ANADARA SULCOSA,TRANSVERSE ARK,S,0079341,5506010201
ANADARA TRANSVERSA,TRANSVERSE ARK,SA,0079340,5506010201
ANODONTA,FRESHWATER MUSSELS,,0079930,55120202
ANOMIA,,,0079796,55090902
ANOMIA SIMPLEX,JINGLE SHELL,,0079798,5509090202
ARCA CAMPECHIENSIS,BLOOD ARK,S,0079345,5506010202
ARCIDAE,,,0079326,550601
ARCTICA ISLANDICA,OCEAN QUAHOG,SA,0081343,5515390101
ARGINARCA,,S,0079338,55060102
ASTARTE,,,0080797,55151901
ASTARTE CASTANEA,,,0080801,5515190110
BANKIA GOULDI,GOULD SHIPWORM,SA,0081837,5518020102
BANKIA MEXICANA,GOULD SHIPWORM,S,0081839,5518020102
BANKIA SCHRENCKI,GOULD SHIPWORM,S,0081838,5518020102
BARNEA TRUNCATA,ATLANTIC MUD PIDDOCK,,0081798,5518010401
BIVALVIA,"CLAMS,BIVALVES",SA,0079118,55
BRACHIDONTES RECURVUS,HOOKED MUSSLE,S,0079563,5507011601
CARDIIDAE,,,0080865,551522
CERASTODERMA PINNULATUM,NORTHERN DWARF COCKLE,,0080900,5515220601
CHAMA LACTUCA,MILKY JEWELBOX,,0081653,5515510103
CHIONE,,SA,0081517,55154715
CHIONE BEAUI,,S,0081525,5515471503
CHIONE CANCELLATA,,SA,0081523,5515471503
CHIONE CYPRIA,,S,0081549,5515471514
CHIONE GRANULATA,,S,0081524,5515471503
CHIONE MARIAE,,SA,0081548,5515471514
CHIONE SUBROSTRATA,,S,0081526,5515471503
CHIONISTA,,S,0081519,55154715
CHIONOPSIS,,S,0081520,55154715
CNESTERIUM,,S,0079259,55020405
CONGERIA LEUCOPHAETA,,,0081332,5515370101
CORBICULA,,,0081385,55154502
CORBICULA FLUMINEA,ASIAN CLAM,S,0081387,5515450201
CORBICULA MANILENSIS,ASIAN CLAM,SA,0081386,5515450201
CRASSATELLITES GIBBSI,BEAUTIFUL CRASSINELLA,S,0080858,5515200201
CRASSINELLA LUNULATA,LUNATE CRASSINELLA,SA,0080851,5515200102
CRASSINELLA MACTRACEA,LUNATE CRASSINELLA,S,0080852,5515200102
CRASSOSTREA BRASILIANA,EASTERN OYSTER,S,0079874,5510020102
CRASSOSTREA FLORIDENSIS,EASTERN OYSTER,S,0079873,5510020102
CRASSOSTREA GIGAS,PACIFIC OYSTER; JAPANESE OYSTER,,0079868,5510020101
CRASSOSTREA VIRGINICA,EASTERN OYSTER,SA,0079872,5510020102
CRENELLA DECUSSATA,CROSS-SCLUPTURE CRENELLA,,0079459,5507010201
CUMINGIA TELLINOIDES,,,0081317,5515350302
,73,,,
