Name: “Table 1 of 1 on page 114 of 142”,Name: “Table 1 of 1 on page 114 of 142”,Name: “Table 1 of 1 on page 114 of 142”,Name: “Table 1 of 1 on page 114 of 142”,Name: “Table 1 of 1 on page 114 of 142”
Table: 114,Table: 114,Table: 114,Table: 114,Table: 114
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
PARATENDIPES,,,0129623,64896034
PARATENDIPES ALBIMANUS,,SA,0129624,6489603401
PARNIDAE,LONG-TOE WATER BEETLE,S,0114000,631601
PEDICIA,,,0121118,64830804
PELOCORIS FEMORATUS,,,0103667,6272040202
PELOGONUS,,S,0103789,62720801
PELTODYTES,,,0111923,63050404
PELTOPERLA,,,0102489,62520201
PELTOPERLIDAE,ROACHLIKE STONEFLIES,,0102488,625202
PENTANEURA,,,0128215,64894213
PENTANEURA AEQUIFASCIATA,,S,0128098,6489420110
PENTANEURA AURIENSIS,,S,0128099,6489420110
PENTANEURA MONILIS,,,0128223,6489421305
PENTANEURA ORNATA,,S,0128100,6489420110
PERICOMA,,,0125514,64870509
PERITHEMIS TENERA,,,0101804,6226010301
PERLESTA FRISONI,,,0103252,6254040901
PERLESTA PLACIDA,,,0103253,6254040902
PERLIDAE,COMMON STONEFLIES,,0102914,625401
PERLINELLA DRYMO,,SA,0103246,6254040801
PERLIOLA,,S,0102999,62540201
PERLIPHANES,,S,0103000,62540201
PERTHOSTOMA,,S,0103686,62720502
PETROPHILA,,SA,0117682,64630210
PHAENOPSECTRA,,,0129637,64896035
PHAENOPSECTRA FLAVIPES,,SA,0129642,6489603503
PHANOPSYCHE,,S,0116806,64181401
PHASGANOPHORA,,S,0102978,62540115
PHASGANOPHORA CAPITATA,,S,0102981,6254011501
PHILHYDRUS,,S,0112974,63090315
PHILOPOTAMIDAE,FINGER-NET CADDISFLIES,,0115257,641802
PHILOPOTAMUS DISTINCTA,,S,0115324,6418020401
PHRIXOCOMA,,S,0115642,64180503
PHRYGANEA LATERALIS,,S,0116915,6418150104
PHRYGANEA NUMEROSUS,,S,0116911,6418150102
PHYLOCENTROPUS,,,0115361,64180304
PHYTOBIUS,,,0114676,63250305
PLACOPSIDELLA GRANDIS,SHORE FLY,,0147043,6496710301
PLATHEMIS,,,0101808,62260104
PLATYTIPULA,,S,0119039,64830209
PLECOPTERA,STONEFLIES,,0102467,6251
PLECOPTERACOLUTHUS,,S,0128845,64895639
PLEURHOMUS,,S,0112942,63090313
PODURA AQUATICA,,,0099241,6209010401
PODURA PALUSTRIS,MARSH SPRINGTAIL,S,0099248,6209020101
POGONOSTOMA,,S,0116908,64181501
POLYCENTROPUS,,,0117044,64181801
POLYCENTROPUS VISTITUS,,S,0117111,6418180407
POLYMEDA,,,0120504,64830702
POLYPEDILUM,,,0129657,64896036
POLYPEDILUM CONVICTUM,,SA,0129671,6489603611
POLYPEDILUM FALLAX,,SA,0129676,6489603613
POLYPEDILUM GOMPHUS,,,0129681,6489603616
POLYPEDILUM HALTERALE,,,0129684,6489603618
POLYPEDILUM ILLINOENSE,,SA,0129686,6489603619
POLYPEDILUM SCALAENUM,,SA,0129708,6489603633
POLYPEDILUM SIMULANS/DIGITIFER,NOTE USE FOR LARVAL FORMS ONLY,,BAY0322,64896036UND
POLYPEDILUM TRIPODURA,,,BAY0294,64896036TRIP
POLYPEDILUM TRITUM,,,0129719,6489603639
,104,,,
