Name: “Table 1 of 1 on page 121 of 142”,Name: “Table 1 of 1 on page 121 of 142”,Name: “Table 1 of 1 on page 121 of 142”,Name: “Table 1 of 1 on page 121 of 142”,Name: “Table 1 of 1 on page 121 of 142”
Table: 121,Table: 121,Table: 121,Table: 121,Table: 121
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
LEPTOSYNAPTA INHAERENS,,,0158431,8178010201
LEPTOSYNAPTA TENUIS,WHITE SYNAPTA,,0158432,8178010202
MELLITA QUINQUIESPERFORATA,,SA,0158020,8155040101
MELLITA TESTUDINATA,,S,0158022,8155040101
MICROPHIOPHOLIS ATRA,,SA,BAY0347,8129030102
MICROPHOLIS ATRA,BURROWING BRITTLE STAR,SA,0157755,8129031201
OPHIODERMA BREVISPINA,SHORT-SPINED BRITTLE STAR,,0157504,8127050101
OPHIUROIDEA,SNAKE STARS,,0157325,8120
PENTAMERA PULCHERRIMA,,,0158230,8172060306
SCLERODACTYLA BRIAREUS,,,0158297,8172061801
SYNAPTIDAE,,,0158425,817801
THYONE BRIAREUS,COMMON SEA CUCUMBER,SA,0158244,8172060501
THYONELLA PERVICAX,,,0158269,8172060803
"OTHER DEUTEROSTOMES - PHYLUMS CHAETOGNATHA, HEMICHORDATA","OTHER DEUTEROSTOMES - PHYLUMS CHAETOGNATHA, HEMICHORDATA","OTHER DEUTEROSTOMES - PHYLUMS CHAETOGNATHA, HEMICHORDATA","OTHER DEUTEROSTOMES - PHYLUMS CHAETOGNATHA, HEMICHORDATA","OTHER DEUTEROSTOMES - PHYLUMS CHAETOGNATHA, HEMICHORDATA"
,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:
,"Phylums Chaetognatha [Arrow Worms], Hemichordata )","Phylums Chaetognatha [Arrow Worms], Hemichordata )","Phylums Chaetognatha [Arrow Worms], Hemichordata )",
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
BALANOGLOSSUS AURANTIACUS,,,0158629,8201020101
CHAETOGNATHA,ARROW WORMS,,0158650,83
CHORDATA,,,0158852,8388
FLACCISAGITTA ENFLATA,,SA,0158773,8308010503
GLOSSOBALANUS,,,0158631,82010202
HEMICHORDATA,HEMICHORDATES,,0158616,82
PARASAGITTA ELEGANS,,SA,0158784,8308010701
PTEROSAGITTA,,,0158840,83080201
SACCOGLOSSUS,,,0158624,82010103
SACCOGLOSSUS KOWALEVSKII,ACORN WORM,,0158626,8201010302
SAGITTA,ARROW WORMS,,0158727,83080101
SAGITTA ELEGANS,,S,0158785,8308010701
SAGITTA ENFLATA,,S,0158774,8308010503
STEREOBALANUS,,,0158622,82010102
,TUNICATA OR UROCHORDATA - TUNICATES,TUNICATA OR UROCHORDATA - TUNICATES,,
(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum
,Chordata:Subphylum Tunicata),,,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ALCYONIUM SCHLOSSERI,,S,0159374,8406010701
APPENDICULARIA,PELAGIC TUNICATES,,0159664,8412
ASCIDIA MANHATTENSIS,SEA GRAPES,S,0159558,8406030108
ASCIDIACEA,SESSILE TUNICATES,,0158854,8401
ASCIDIELLA ASPERSA,COLONIAL TUNICATE,,0159213,8404050201
BOTRYLLUS SCHLOSSERI,GOLDEN STAR TUNICATE,SA,0159373,8406010701
CAESIRA LUTULENTA,SEA GRAPES,S,0159582,8406030120
CNEMIDOCARPA MOLLIS,,SA,0159254,8406010303
DIPLOSOMA LISTERIANUM,LISTER'S ENCRUSTING TUNICATE,,0159099,8403030402
ECTEINASCIDIA TURBINATA,MANGROVE TUNICATE,,0159142,8404030201
GLANDULA MOLLIS,,S,0159255,8406010303
GYMNOCYSTIS MANHATTENSIS,SEA GRAPES,S,0159559,8406030108
MOLGULA,,,0159541,84060301
MOLGULA ARENATA,,,0159576,8406030118
MOLGULA LUTULENTA,SEA GRAPES,SA,0159581,8406030120
,111,,,
