Name: “Table 1 of 1 on page 29 of 142”,Name: “Table 1 of 1 on page 29 of 142”,Name: “Table 1 of 1 on page 29 of 142”,Name: “Table 1 of 1 on page 29 of 142”,Name: “Table 1 of 1 on page 29 of 142”
Table: 29,Table: 29,Table: 29,Table: 29,Table: 29
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
NITZSCHIA SIGMOIDEA,,,0005127,0703100136
NITZSCHIA SILICULA,,,0005296,0703100756
NITZSCHIA SILICULA RIGIDULA,,S,0005125,070310013405
NITZSCHIA SOCIALIS,,,0005177,0703100161
NITZSCHIA SPATHULATA,,,0005175,0703100159
NITZSCHIA SUBCAPITELLATA,,,0005297,0703100757
NITZSCHIA SUBCOHAERENS,,,0005298,0703100758
NITZSCHIA SUBLINEARIS,,,0005261,0703100727
NITZSCHIA SUBPACIFICA,,S,0005207,0703100183
NITZSCHIA SUECICA,,,0005299,0703100759
NITZSCHIA TARDA,,,0005263,0703100729
NITZSCHIA THERMALIS,,,0005191,0703100172
NITZSCHIA TRIBIONELLA,,,0005130,0703100138
NITZSCHIA TRIBIONELLA LEVIDENSIS,,,0005132,070310013802
NITZSCHIA TRIBIONELLA VICTORIAE,,,0005133,070310013803
NITZSCHIA TROPICA,,,0005264,0703100730
NITZSCHIA TRYBIONELLA DEBILIS,,S,0005272,0703100733
NITZSCHIA TUGIDULOIDES,,SA,0005097,0703100118
NITZSCHIA VERMICULARIS,,,0005135,0703100140
NITZSCHIA VIRGATA CAPITELLATA,,S,0005197,0703100175
NITZSCHIA VITREA,,,0005204,0703100180
NITZSCHIA VITREA RECTA,,,BAY0178,0703100180RE
ODONTELLA,,,0573604,07020701
ODONTELLA ALTERNANS,,S,BAY0314,0702070101
ODONTELLA AURITA,,S,0610098,0702070102
ODONTELLA AURITA OBTUSA,,S,0610138,070207010201
ODONTELLA GRANULATA,,S,0610124,0702070116
ODONTELLA LONGICRURIS,,S,0573696,0702070105
ODONTELLA MOBILIENSIS,,S,0610125,0702070106
ODONTELLA REGIA,,SA,0610126,0702070113
ODONTELLA RHOMBUS,,S,0610128,0702070108
ODONTELLA RHOMBUS TRIGONA,,,0610144,0702070108TR
ODONTELLA SINENSIS,,S,0610127,0702070115
OPEPHORA,,,0003005,07030102
OPEPHORA MARTYI,,,0003008,0703010203
OPEPHORA PACIFICA,,,0003007,0703010202
OPEPHORA SCHULZI,,,0003012,0703010207
PARALIA SULCATA,,,0002346,0702010201
PAVILLARDINIUM BICONICA,,,BAY0200,07020102BIC
PENNALES,PENNATE DIATOM,,0002930,0703
PHACODISCUS,,S,0002547,07020301
PINNULARIA,,,0004428,07030509
PINNULARIA ACUMINATA BIELAWSKII,,,BAY0208,07030509ACUM
PINNULARIA BICEPS,,S,0004490,070305092703
PINNULARIA BICEPS PETERSENII,,S,0004489,070305092703
PINNULARIA BRAUNII AMPHICEPHALA,,,0004467,070305091602
PINNULARIA BREBISSONII DIMINUTA,,,0004470,070305091702
PINNULARIA GIBBA,,,0004449,0703050907
PINNULARIA INTERRUPTA BICEPS,,SA,0004488,070305092703
PINNULARIA LEGUMEN,,,0004494,0703050929
PINNULARIA MAJOR,,,0004498,0703050931
PINNULARIA NOBILIS,,,0004439,0703050903
PINNULARIA QUADRATAREA,,SA,0004429,0703050901
PINNULARIA RETANGULATA,,,0004527,0703050951
PINNULARIA STOMATOPHORA,,,0004508,0703050939
PINNULARIA TREVELYANA,,SA,0004446,0703050905
PLAGIOGRAMMA,,,0003194,07030118
PLAGIOGRAMMA INTERRUPTUM,,,0202436,0703011803
PLAGIOGRAMMA STAUROPHORUM,,,0003196,0703011802
,19,,,
