Name: “Table 1 of 1 on page 115 of 142”,Name: “Table 1 of 1 on page 115 of 142”,Name: “Table 1 of 1 on page 115 of 142”,Name: “Table 1 of 1 on page 115 of 142”,Name: “Table 1 of 1 on page 115 of 142”
Table: 115,Table: 115,Table: 115,Table: 115,Table: 115
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
POLYPEDIUM ILLINOENSE,,S,0129688,6489603619
POTAMANTHUS,,,0101510,62200101
POTAMANTHUS DISTINCTUS,,,0101515,6220010104
POTAMANTHUS WALKERI,,,0101521,6220010109
POTAMYIA,,,0115551,64180409
POTAMYIA FLAVA,,SA,0115552,6418040901
POTAMYIA KANSENSIS,,S,0115555,6418040901
POTTHASTIA,,,0128408,64895104
POTTHASTIA LONGIMANA,,,0128412,6489510403
PRISTOSILO,,S,0116807,64181401
PRISTOTERNUS,,S,0112939,63090313
PROBEZZIA,,,0127729,64892806
PROCANACE DIANNEAE,BEACH FLY,,0148334,6496990301
PROCLADIUS,,SA,0128277,64894502
PROCLADIUS ADUMBRATUS,,S,0128290,6489450205
PROCLADIUS BELLUS,,SA,0128285,6489450205
PROCLADIUS CALIGINOSUS,,S,0127999,6489390102
PROCLADIUS CULICIFORMIS,,SA,0128295,6489450208
PROCLADIUS FLAVIDUS,,S,0128286,6489450205
PROCLADIUS MALIFERO,,S,0128287,6489450205
PROCLADIUS SUBLETTEI,,,0128316,6489450224
PRODIAMESA,,,0128452,64895504
PRODIAMESA BATHYPHILA,,S,0128442,6489550201
PRODIAMESA OLIVACEA,,SA,0128454,6489550402
PROGOMPHUS,,,0101718,62250404
PROMORESIA,,,0114229,63160420
PROMORESIA ELEGANS,,,0114230,6316042001
PROMORESIA TARDELLA,,,0114231,6316042002
PROSMITTIA,,,0130051,64896307
PROTANYPUS,,,0128431,64895401
PROTENTHES CLARIPENNIS,,S,0128296,6489450208
PROTOPLASA,,,0125800,64880401
PROTOPTILA,,,0115221,64180106
PROTOPTILA GEORGIANA,,,0115222,6418010601
PSECTROCLADIUS,,,0129018,64895656
PSECTROCLADIUS PSILOPTERUS,,,0129050,6489565623
PSECTROTANYPUS,,,0128048,64894004
PSECTROTANYPUS DYARI,,,0128056,6489400404
PSEPHENUS,,SA,0114070,63160301
PSEPHENUS HERRICKI,,,0114072,6316030101
PSEUDOCHIRONOMUS,,,0129851,64896101
PSEUDOCHIRONOMUS FULVIVENTRIS,,SA,0129858,6489610107
PSEUDOCLOEON,,,0100771,62160213
PSEUDODIAMESA,,,0128416,64895105
PSEUDOLIMNOPHILA,,,0120365,64830614
PSEUDOSMITTIA,,,0129071,64895658
PSILODIAMESA,,S,0128356,64895102
PSILOTANYPUS,,S,0128278,64894502
PSILOTANYPUS BELLUS,,S,0128291,6489450205
PSILOTRETA,,,0116497,64181001
PSILOZIA GROENLANDICA,,S,0126904,6489190180
PSYCHODA,,,0125468,64870508
PSYCHODIDAE,SAND FLIES,,0125351,648701
PSYCHOMYIA,,,0115335,64180301
PSYCHOMYIA FLAVIDA,,SA,0115341,6418030106
PSYCHOMYIA MOESTA,,S,0115342,6418030106
PSYCHOMYIA PULCHELLA,,S,0115343,6418030106
PSYCHOMYIIDAE,TUBE-MAKING CADDISFLIES,,0115334,641803
PSYLLIDAE,JUMPING PLANTLICE,,0109187,628901
,105,,,
