Name: “Table 1 of 1 on page 116 of 142”,Name: “Table 1 of 1 on page 116 of 142”,Name: “Table 1 of 1 on page 116 of 142”,Name: “Table 1 of 1 on page 116 of 142”,Name: “Table 1 of 1 on page 116 of 142”
Table: 116,Table: 116,Table: 116,Table: 116,Table: 116
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
PTERONARCELLA,,,0102485,62520102
PTERONARCIDAE,GIANT STONEFLIES,,0102470,625201
PTERONARCYS,,SA,0102471,62520101
PTERONARCYS BILOBA,,SA,0102474,6252010102
PTERONARCYS DORSATA,,,0102478,6252010104
PTILOSTOMIS,,,0115868,64180601
PYCNOPSYCHE,,,0116409,64180748
PYCNOPSYCHE GUTTIFER,,,0116414,6418074805
PYCNOPSYCHE LEPIDA,,,0116416,6418074807
PYRALIDAE,SNOUT MOTHS,,0117641,646302
PYRRHALTA NYMPHAEAE,,,0114547,6324030401
RANATRA,,,0103748,62720601
RHAGIONIDAE,SNIPE FLIES,,0130742,649301
RHAGOVELIA,,,0103886,62740201
RHANTUS,,,0112086,63050607
RHEOBAETIS,,S,0100795,62160214
RHEOBAETIS TRAVERAE,,S,0100797,6216021401
RHEOCRICOTOPUS,,,0129086,64895660
RHEOCRICOTOPUS KENORENSIS,,S,0129103,6489566009
RHEOCRICOTOPUS ROBACKI,,SA,0129102,6489566009
RHEORTHOCLADIUS,,S,0128876,64895642
RHEOSMITTIA,,,0129107,64895661
RHEOTANYTARSUS,,,0129952,64896209
RHEUMATOBATES,,,0103802,62740101
RHOPALOPSYLLIDAE,RODENT FLEAS,,0152735,654802
RHYACOPHILA,,,0115097,64180102
RHYACOPHILA CAROLINA,,,0115131,6418010234
RHYACOPHILA FUSCULA,,,0115133,6418010236
RHYACOPHILA GLABERRIMA,,,0115143,6418010246
ROBACKIA,,,0129730,64896037
ROBACKIA CLAVIGER,,,0129731,6489603701
ROBACKIA DEMEIJEREI,,SA,0129733,6489603702
SAETHERIA,,,0129735,64896038
SALDIDAE,SHORE BUGS,,0104063,627902
SAUNDERIA,,S,0129167,64895669
SCATOMYZIDAE,ANTHOMYIID FLIES,S,0148687,649706
SCIRTES,,,0113929,63140302
SCIRTIDAE,MARSH BEETLES,S,0113924,631403
SCOPEUMATIDAE,ANTHOMYIID FLIES,S,0148688,649706
SERRATELLA DEFICIENS,,SA,0101396,6217020801
SETODES CINERASCENS,,S,0116610,6418120402
SETODES FLAVEOLATA,,S,0116628,6418120405
SETODES MICRANS,,S,0116629,6418120405
SETODES SAGITTA,,S,0116630,6418120405
SIALIS,,,0115002,64060101
SIALIS MOHRI,,,0115010,6406010108
SIGARA,,,0103369,62720103
SIMULIA VITTATA,,S,0126905,6489190180
SIMULIIDAE,BUFFALO GNATS,,0126640,648915
SIMULIUM,,SA,0126774,64891901
SIMULIUM ASAKAKAE,,S,0126906,6489190180
SIMULIUM FIBRINFLATUM,,,0126820,6489190128
SIMULIUM GLAUCUM,,S,0126907,6489190180
SIMULIUM GROENLANDICUM,,S,0126894,6489190176
SIMULIUM IRRITATUM,,S,0126895,6489190176
SIMULIUM JENNINGSI,,SA,0126832,6489190138
SIMULIUM LUGGERI,,,0126838,6489190143
SIMULIUM MINUTUM,,S,0126896,6489190176
SIMULIUM MOLESTUM,,S,0126897,6489190176
,106,,,
