Name: “Table 1 of 1 on page 38 of 142”,Name: “Table 1 of 1 on page 38 of 142”,Name: “Table 1 of 1 on page 38 of 142”,Name: “Table 1 of 1 on page 38 of 142”,Name: “Table 1 of 1 on page 38 of 142”
Table: 38,Table: 38,Table: 38,Table: 38,Table: 38
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
PEDIASTRUM,,,0006031,08030801
PEDIASTRUM BIRADIATUM,,,0006050,0803080104
PEDIASTRUM BORYANUM,,,0006032,0803080101
PEDIASTRUM BORYANUM LONGICORNE,,,0006033,080308010101
PEDIASTRUM DUPLEX,,,0006036,0803080102
PEDIASTRUM DUPLEX CLATHRATUM,,,0006037,080308010201
PEDIASTRUM DUPLEX GRACILLIMUM,,,0006041,080308010205
PEDIASTRUM DUPLEX RETICULATUM,,,0006038,080308010202
PEDIASTRUM DUPLEX ROTUNDATUM,,,0006043,080308010207
PEDIASTRUM GLANDULIFERUM,,,0006064,0803080108
PEDIASTRUM MUTICUM,,,0006070,0803080114
PEDIASTRUM OBTUSUM,,,0006065,0803080109
PEDIASTRUM SIMPLEX,,,0006045,0803080103
PEDIASTRUM SIMPLEX DUODENARIUM,,,0006046,080308010301
PEDIASTRUM TETRAS,,,0006053,0803080105
PEDIASTRUM TETRAS TETRAODON,,,0006055,080308010502
PENIUM,,,0008499,08100210
PHACOTUS,,,0005619,08020504
PHACOTUS LENTICULARIS,,SA,0005620,0802050401
PITHOPHORA OEDOGONIA,,,0006871,0808010602
PLANKTOSPHAERIA GELATINOSA,,,0005910,0803050901
PLATYDORINA,,,0005592,08020305
PLATYDORINA CAUDATA,,,0005593,0802030501
PLEODORINA,,,0005594,08020306
PLEUROTAENIUM,,,0008712,08100213
PLEUROTAENIUM NODOLOSUM,,,0008749,0810021316
PLEUROTAENIUM SUBCORONULATUM DENTUM,,,0008738,081002130702
PLEUROTAENIUM TRABECULA,,,0008713,0810021301
PLEUROTAENIUM TRIDENTULUM,,,0008739,0810021308
POLYEDRIOPSIS,,,0005931,08030515
POLYEDRIOPSIS QUADRISPINA,,,0005935,0803051502
POLYEDRIOPSIS SPINULOSA,,,0005932,0803051501
PSEUDENDOCLONIUM SUBMARINUA,,,0006618,0806011002
PTEROMONAS,,,0005626,08020505
PTEROMONAS ACULEATA LEMMERMANNI,,,0005633,080205050402
PTEROMONAS ANGULOSA,,,0005627,0802050501
PTEROMONAS CORDIFORMIS,,,0005634,0802050505
QUADRIGULA,,,0005938,08030517
QUADRIGULA CHODATI,,,0005943,0803051704
QUADRIGULA CLOSTEROIDES,,,0005939,0803051701
QUADRIGULA LACUSTRIS,,,0005941,0803051702
REINSCHIELLA SETIGERA,,S,0005658,0803010301
RHAPHIDIUM CONVOLUTUM LUNARE,,S,0005897,0803050801
RHIZOCLONIUM HIEROGLYPHICUM,,,0006859,0808010306
RHIZOCLONIUM RIPARIUM,,,0006855,0808010302
SCENEDESMUS,,,0006104,08030902
SCENEDESMUS ABUNDANS,,,0006133,0803090206
SCENEDESMUS ABUNDANS BREVICAUDA,,,0006136,080309020603
SCENEDESMUS ACUMINATUS,,,0006105,0803090201
SCENEDESMUS ACUTUS ACUTUS,,SA,0006159,080309021503
SCENEDESMUS ANOMALUS,,,0006203,0803090239
SCENEDESMUS ARCUATUS,,,0006139,0803090207
SCENEDESMUS ARCUATUS PLATYDISCA,,,0006141,080309020702
SCENEDESMUS ARMATUS,,,0006120,0803090204
SCENEDESMUS ARMATUS BICAUDATUS,,,0006126,080309020406
SCENEDESMUS BERNARDII,,,0006161,0803090216
SCENEDESMUS BICAUDATUS,,SA,0006162,0803090217
SCENEDESMUS BIJUGA,,,0006127,0803090205
SCENEDESMUS BIJUGA ALTERNANS,,,0006128,080309020501
,28,,,
