Name: “Table 1 of 1 on page 119 of 142”,Name: “Table 1 of 1 on page 119 of 142”,Name: “Table 1 of 1 on page 119 of 142”,Name: “Table 1 of 1 on page 119 of 142”,Name: “Table 1 of 1 on page 119 of 142”
Table: 119,Table: 119,Table: 119,Table: 119,Table: 119
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
TENDIPES NERVOSUS,,S,0129457,6489601312
TENDIPES RIPARIUS,,S,0129317,6489600633
TETRAGONEURIA,,,0101994,62260134
THALASSOMYIA OBSCURUS,,S,0128516,6489561003
THALASSOSMITTIA,,SA,0129166,64895669
THELIDOMUS,,S,0117019,64181701
THIENEMANNIELLA,,,0129182,64895671
THIENEMANNIELLA XENA,,SA,0129190,6489567106
THIENEMANNIMYIA,,,0128236,64894216
THYSANOPTERA,,,0103348,6268
TIPULA,,SA,0119037,64830209
TIPULA SCALAENUM,,S,0129710,6489603633
TIPULA SYLVESTRIS,,S,0128646,6489561650
TIPULA TREMULUS,,S,0128652,6489561652
TIPULIDAE,CRANE FLIES,,0118840,648301
TIRYUS,,S,0105625,62800516
TREPOBATES,,,0103811,62740102
TREPOBATOPSIS,,S,0103858,62740106
TRIAENODES,,,0116565,64181202
TRIAENODES MARGINATA,,S,0116576,6418120207
TRIAENODES MARGINATUS,,SA,0116575,6418120207
TRIAENODES MARGINATUS TARDUS,,S,0116581,6418120211
TRIAENODES TARDA,,S,0116582,6418120211
TRIAENODES TARDUS,,SA,0116580,6418120211
TRIBELOS,,,0129820,64896043
TRIBELOS JUCUNDUS,,SA,0129827,6489604304
TRICHOCLADIUS,,S,0128963,64895645
TRICHOCLADIUS ROBACKI,,S,0129104,6489566009
TRICHOCORIXA,,,0103423,62720104
TRICHOPTERA,CADDISFLIES,,0115095,6418
TRICHOTANYPUS,,,0127979,64893604
TRICORYTHODES,,,0101405,62170301
TRICYPHONA,,S,0181204,64830801
TRIMICRA,,S,0181202,64830706
TROPISTERNUS,,SA,0112938,63090313
TVETENIA DISCOLORIPES,,S,0189327,6489562306
URANOTAENIA COQUILLETTI,,S,0126582,6489111003
URANOTAENIA SAPPHIRINA,,SA,0126580,6489111003
VERMIPSYLLIDAE,CARNIVORE FLEAS,,0152736,654803
WALSHIOLA,,S,0103001,62540201
XENOCHIRONOMUS,,,0129837,64896045
XENOCHIRONOMUS FESTIVUS,,,0129841,6489604503
XENOCHIRONOMUS XENOLABIS,,SA,0129838,6489604501
YAMATOTIPULA,,S,0119040,64830209
ZAITHA,,S,0103685,62720502
ZAVRELIELLA,,,0130040,64896215
ZYGOPTERA,,,0102042,6229
,OTHER PROTOSTOMES,,,
"PHYLUMS SIPUNCULA, ECHIURA, BRYOZOA, PHORONIDA, AND TARDIGRADA","PHYLUMS SIPUNCULA, ECHIURA, BRYOZOA, PHORONIDA, AND TARDIGRADA","PHYLUMS SIPUNCULA, ECHIURA, BRYOZOA, PHORONIDA, AND TARDIGRADA","PHYLUMS SIPUNCULA, ECHIURA, BRYOZOA, PHORONIDA, AND TARDIGRADA","PHYLUMS SIPUNCULA, ECHIURA, BRYOZOA, PHORONIDA, AND TARDIGRADA"
,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia),(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia),(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia),
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ALCYONIDIUM,,,0155475,78030101
ALCYONIDIUM VERRILLI,DEAD MAN'S FINGERS,,0155484,7803010107
AMATHIA VIDOVICI,SPIRAL BRYOZOAN,,0155554,7805010102
ANGUINELLA PALMATA,AMBIGUOUS BRYOZOAN,,0155542,7804030301
BARENTSIA BENEDENI,KAMPTOZOAN,,0156746,7902010205
,109,,,
