Name: “Table 1 of 1 on page 30 of 142”,Name: “Table 1 of 1 on page 30 of 142”,Name: “Table 1 of 1 on page 30 of 142”,Name: “Table 1 of 1 on page 30 of 142”,Name: “Table 1 of 1 on page 30 of 142”
Table: 30,Table: 30,Table: 30,Table: 30,Table: 30
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
PLAGIOGRAMMA VANHEURCKI,,,0003195,0703011801
PLANKTONIELLA SOL,,,0002483,0702020401
PLEUROSIGMA,,,0004592,07030517
PLEUROSIGMA ACUTUM,,,0004620,0703051725
PLEUROSIGMA AESTUARII,,,0004605,0703051710
PLEUROSIGMA ANGULATUM,,,0004593,0703051701
PLEUROSIGMA ANGULATUM STRIGOSA,,,BAY0209,0703051701ST
PLEUROSIGMA AUSTRALE,,,0004621,0703051726
PLEUROSIGMA DELICATULUM,,,0004612,0703051717
PLEUROSIGMA DIRECTUM,,,0004611,0703051716
PLEUROSIGMA ELONGATUM,,,0004594,0703051702
PLEUROSIGMA FASCIOLA,,,0004598,0703051703
PLEUROSIGMA FORMOSUM,,,0004599,0703051704
PLEUROSIGMA HAMULIFERUM,,,0004600,0703051705
PLEUROSIGMA MACRUM,,,BAY0210,07030517MACR
PLEUROSIGMA NAVICULACEUM,,,0004613,0703051718
PLEUROSIGMA NICOBARICUM,,,0004602,0703051707
PLEUROSIGMA NORMANI,,,0004603,0703051708
PLEUROSIGMA OBSCURUM,,,0591037,07030517OBS
PLEUROSIGMA RIGIDUM,,,0004614,0703051719
PLEUROSIGMA SALINARUM,,,0555629,07030517SALI
PLEUROSIGMA STRIGOSUM,,,0004618,0703051723
PODOSIRA,,,0002384,07020109
PODOSIRA STELLIGER,,S,0002382,0702010801
POROSIRA GLACIALIS,,,0002537,0702020801
PROBOSCIA ALATA,,SA,0610099,0702100102
PROBOSCIA ALATA GRACILLIMA,,SA,BAY0309,070210010202
PROBOSCIA INERMIS,,,0610100,07021001INER
PROBOSCLA ALATA CURVIROSTRIS,,SA,BAY0378,070210010201
PROBOSCLA ALATA INDICA,,SA,BAY0379,070210010203
PSAMMODISCUS NITIDUS,,,BAY0233,07020301NIT
PSEUDOEUNOTIA,,,0003415,07030302
PSEUDO-NITZSCHIA DELICATISSIMA,,SA,0584563,0703100104
PSEUDO-NITZSCHIA MULTISERIES,,,0584564,07031001MULT
PSEUDO-NITZSCHIA PSEUDODELICATISSIMA,,,0584565,07031001PSEU
PSEUDO-NITZSCHIA PUNGENS,,SA,0584566,0703100113
PSEUDO-NITZSCHIA SERIATA,,SA,0615879,0703100114
PSEUDO-NITZSCHIA SUBPACIFICA,,SA,BAY0380,0703100183
PSUEDOSOLENIA CALCAR-AVIS,,SA,BAY0310,0702100104
RHABDONEMA,,,0003208,07030120
RHABDONEMA ARCUATUM,,,0003209,0703012001
RHABDONEMA MINUTUM,,,0003211,0703012003
RHAPHONEIS,,,0003145,07030108
RHAPHONEIS AMPHICEROS,,,0003147,0703010802
RHAPHONEIS GEMMIFERA,,,BAY0238,07030108GEM
RHAPHONEIS SURIRELLA,,,0003146,0703010801
RHIZOSOLENIA,,,0002879,07021001
RHIZOSOLENIA ACUMINATA,,,0002880,0702100101
RHIZOSOLENIA ALATA,,S,0002881,0702100102
RHIZOSOLENIA ALATA CURVIROSTRIS,,S,0002882,070210010201
RHIZOSOLENIA ALATA GRACILLIMA,,S,0002883,070210010202
RHIZOSOLENIA ALATA INDICA,,S,0002884,070210010203
RHIZOSOLENIA BERGONII,,,0002887,0702100103
RHIZOSOLENIA CALCAR-AVIS,,S,0002888,0702100104
RHIZOSOLENIA CASTRACANEI,,,0002889,0702100105
RHIZOSOLENIA CYLINDRUS,,S,0002890,0702100106
RHIZOSOLENIA DELICATULA,,S,0002891,0702100107
RHIZOSOLENIA ERIENSIS,,,0002915,0702100123
RHIZOSOLENIA FORMOSA,,SA,BAY0364,070210011503
,20,,,
