Name: “Table 1 of 1 on page 94 of 142”,Name: “Table 1 of 1 on page 94 of 142”,Name: “Table 1 of 1 on page 94 of 142”,Name: “Table 1 of 1 on page 94 of 142”,Name: “Table 1 of 1 on page 94 of 142”
Table: 94,Table: 94,Table: 94,Table: 94,Table: 94
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
BIFFARIUS BIFORMIS,BIFORM GHOST SHRIMP,SA,0552845,6183040209
BITHYNIS OHIONIS,OHIO SHRIMP,S,0096223,6179110201
BODOTRIA,,,0091045,61540905
BODOTRIIDAE,,,0091027,615409
BOWMANIELLA,,,0090259,61530126
BOWMANIELLA DISSIMILIS,,,0090267,6153012607
BOWMANIELLA FLORIDANA,,,0090262,6153012603
BRACHYRHYNCHA,,,0098688,6189
BRACHYURA,,,0098276,6184
BYBLIS SERRATA,,,0093364,6169020203
CAECIDOTEA,,,0092686,61630207
CAECIDOTEA ATTENUATA,,SA,0092707,6163020707
CAECIDOTEA COMMUNIS,,S,0568819,61630207COM
CAECIDOTEA KENKI,,SA,0092699,6163020703
CAECIDOTEA RACOVITZAI,,SA,0092692,6163020702
CALAPPA SULCATA,YELLOW BOX CRAB,,0098343,6186020102
CALLIANASSA,GHOST SHRIMPS,,0097733,61830402
CALLIANASSA ATLANTICA,SHORT-BROWED MUD SHRIMP,S,0097738,6183040205
CALLIANASSA BIFORMIS,BIFORM GHOST SHRIMP,S,0097744,6183040209
CALLIANASSA SETIMANUS,,,0097760,6183040225
CALLIANASSA STIMPSONI,SHORT-BROWED MUD SHRIMP,S,0097739,6183040205
CALLIANASSIDAE,,,0097732,618304
CALLINECTES,,,0098695,61890103
CALLINECTES SAPIDUS,BLUE CRAB,,0098696,6189010301
CALLINECTES SIMILIS,,,0098697,6189010302
CAMBARUS,,,0097337,61810501
CAMBARUS BARTONII,APPALACHIAN BROOK CRAYFISH,,0097343,6181050106
CAMBARUS DIOGENES,DEVIL CRAYFISH,,0097338,6181050101
CANCER BOREALIS,JONAH CRAB,,0098678,6188030107
CANCER IRRORATUS,ATLANTIC ROCK CRAB,,0098679,6188030108
CANCER SETIFERUS,WHITE SHRIMP,S,0095611,6177010103
CAPRELLA,SKELETON SHRIMPS,,0095392,61710107
CAPRELLA ANDREAE,,,0095423,6171010731
CAPRELLA EQUILIBRA,,,0095410,6171010718
CAPRELLA GEOMETRICA,,,0095427,6171010733
CAPRELLA PENANTIS,,,0095419,6171010727
CAPRELLIDAE,,,0095375,617101
CARCINUS MAENAS,GREEN CRAB; SHORE CRAB,,0098734,6189010701
CARIDEA,,,0096106,6179
CARINOGAMMARUS MUCRONATUS,SPINE-BACKED SCUD,S,0093784,6169210709
CASCO BIGELOWI,,,0093835,6169211601
CASSIDINIDEA,,SA,0092345,61610208
CASSIDINIDEA LUNIFRONS,,,0092347,6161020801
CASSIDINIDEA OVALIS,,,0092348,6161020802
CASSIDISCA,,S,0092346,61610208
CERAPUS,,,0093585,61691501
CERAPUS TUBULARIS,HOUSE-CARRIER AMPHIPOD,,0093587,6169150102
CHELURA TEREBRANS,WOOD-BORING AMPHIPOD,,0093571,6169130101
CHIRIDOTEA,,,0092637,61620301
CHIRIDOTEA ALMYRA,,,0092638,6162030101
CHIRIDOTEA ARENICOLA,,,0092639,6162030102
CHIRIDOTEA CAECA,,S,0092641,6162030103
CHIRIDOTEA COECA,,SA,0092640,6162030103
CHIRIDOTEA NIGRESCENS,,,0092642,6162030104
CHIRIDOTEA STENOPS,,,BAY0068,61620301STEN
CHIRIDOTEA TUFTSI,,,0092643,6162030105
CIROLANA POLITA,,,0092231,6161010105
CONASELLUS COMMUNIS,,SA,0543799,61630207COM
COROPHIIDAE,,,0093584,616915
COROPHIUM,,,0093589,61691502
,84,,,
