Name: “Table 1 of 1 on page 62 of 142”,Name: “Table 1 of 1 on page 62 of 142”,Name: “Table 1 of 1 on page 62 of 142”,Name: “Table 1 of 1 on page 62 of 142”,Name: “Table 1 of 1 on page 62 of 142”
Table: 62,Table: 62,Table: 62,Table: 62,Table: 62
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
EDWARDSIA ELEGANS,BURROWING ANEMONE,,0052489,3759010101
ELOACTIS PRODUCTA,,S,0052514,3759030101
ERRINA PORIFERA,,,0050891,3709010101
EUCHEILOTA VENTRICULARIS,,,0050567,3704110201
EUNICEA,,,0052183,37510402
EUTONINA,,,0049827,37040421
GARVEIA FRANCISCANA,ROPE GRASS,,0048820,3703011102
GEMMARIA,,S,0049270,37031401
GERYONIA TETRAPHYLLA,,S,0051049,3711030201
GRAMMARIA STENTOR,,,0049703,3704020401
HALAMMOHYDRA,,,0050866,37070101
HALIPLANELLA LUCIAE,GREEN-STRIPED ANEMONE,,0052766,3760100101
HALOCLAVA PRODUCTA,,SA,0052513,3759030101
HALOCORDYLE DISTICHA,FEATHERED HYDROID,,0049442,3703230101
HYDRA,,,0050845,37060201
HYDRA AMERICANA,,,0050846,3706020101
HYDRA CARNEA,,,0050848,3706020103
HYDRACTINIA ARGE,SOFT SNAIL FUR,,0049365,3703180306
HYDRACTINIA ECHINATA,SNAILFUR,,0049363,3703180304
HYDRIDAE,,,0050844,370602
HYDROIDA,MEDUSAE,,0048740,3702
HYDROZOA,HYDROZOANS,,0048739,3701
LAR ORNATA,,S,0050818,3705060201
LEPTOGORGIA VIRGULATA,WHIP CORAL,,0052240,3751050102
LEPTOMEDUSAE,THECATE HYDROIDS,,0049469,3704
LINVILLEA AGASSIZI,,SA,0049034,3703060301
LIRIOPE CERASIFORMIS,,S,0051050,3711030201
LIRIOPE TETRAPHYLLA,,SA,0051048,3711030201
LOVENELLA GRACILIS,,,0050552,3704110101
MEDUSA AURITA,MOON JELLY,S,0051704,3734030201
MEDUSA CAPILLATA,LION'S MANE,S,0051674,3734020101
MEDUSA NOCTILUCA,PURPLESTRIPED JELLY,S,0051662,3734010301
MICROHYDRA,,S,0050772,37050110
MOERISIA LYONSI,,,0050786,3705020101
NEMATOSTELLA VECTENSIS,STARLET SEA ANEMONE,,0052498,3759010201
NEMOPSIS BACHEI,COLONIAL HYDROID,,0048849,3703011401
OBELIA,COLONIAL HYDROID,,0049514,37040102
OCEANIA DINEMA,,S,0049186,3703120701
OCEANIA TUBULOSA,CLAPPER HYDROMEDUSA,S,0049056,3703060902
OTOHYDRA,,,0050871,37070102
PARANTHUS RAPIFORMIS,SEA ONION,,0052633,3760020201
PELAGIA COLORATA,PURPLESTRIPED JELLY,S,0051665,3734010301
PELAGIA DISCOIDEA,PURPLESTRIPED JELLY,S,0051664,3734010301
PELAGIA FLAVEOLA,PURPLESTRIPED JELLY,S,0051663,3734010301
PELAGIA NOCTILUCA,PURPLESTRIPED JELLY,SA,0051661,3734010301
PELAGIA QUINQUECIRRHA,SEA NETTLE,S,0051645,3734010203
PELAGOHYDRA,,,0049296,37031503
PENNARIA TIARELLA,,,0048996,3703040307
PHIALUCIUM CAROLINAE,,,0050671,3704180101
PHYSALIA PHYSALIA,PORTUGUESE MAN-OF-WAR,,0051436,3718020101
PODOCORYNE MINIMA,,SA,0049344,3703180206
PROBOSCIDACTYLA ORNATA,,SA,0050815,3705060201
PROTOHYDRA,,,0050842,37060101
RATHKEA OCTOPUNCTATA,,,0049387,3703190203
RHIZOPHYSIDAE,,,0051430,371801
RHOPILEMA VERRILLI,MUSHROOM-CAP JELLYFISH,,0051920,3737040201
SARSIA TUBULOSA,CLAPPER HYDROMEDUSA,SA,0049055,3703060902
SCYPHOZOA,JELLYFISHES,,0051483,3730
SEMAEOSTOMEAE,,,0051636,3734
,52,,,
