Name: “Table 1 of 1 on page 59 of 142”,Name: “Table 1 of 1 on page 59 of 142”,Name: “Table 1 of 1 on page 59 of 142”,Name: “Table 1 of 1 on page 59 of 142”,Name: “Table 1 of 1 on page 59 of 142”
Table: 59,Table: 59,Table: 59,Table: 59,Table: 59
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
,PROTOZOA,,,
,(Kingdom Protista:Section Protozoa [Animal-like Protists]:,(Kingdom Protista:Section Protozoa [Animal-like Protists]:,(Kingdom Protista:Section Protozoa [Animal-like Protists]:,
,"Phylums Protozoa, Myxozoa, Ciliophora)","Phylums Protozoa, Myxozoa, Ciliophora)",,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ACINETA,,,0046527,35340101
ACTINOSPHAERIUM,,,0046121,34740201
ANNULOPATELLINIDAE,,,0045919,345450
ARCELLA,,,0043959,34420201
ASTACOLUS,,,0044983,34530302
CENTROPYXIDAE,,,0043965,344203
CENTROPYXIS,,,0043966,34420301
CENTROPYXIS ACULEATA,,,0043967,3442030101
CHOANOFLAGELLIDA,,,0043811,3423
CILIOPHORA,,SA,0046211,3512
CLIMACOCYLIS,,,0046703,35400504
CNIDOSPORANS,,S,0046168,3501
COCCOLITHOPHORIDA,,,0043790,3409
CODONELLA CRATERA,,,0046679,3540020201
CODONELLA CRATERI,,,0046680,3540020201
CYPHODERIA,,,0044024,34450401
CYPHODERIIDAE,,,0044023,344504
CYRTOPHORIDA,,,0046331,3517
DIDINIUM,,,0046278,35160101
DIFFLUGIA,,,0043948,34420101
DIFFLUGIIDAE,,,0043947,344201
EPHELOTA,,,0046554,35340401
EUCILIATA,,S,0180983,3512
EUGLYPHA,,,0044007,34450201
EUPLOTES,,,0046838,35450101
EUPLOTIDAE,,,0046837,354501
EUTINTINNUS,,,0046744,35401301
EUTINTINNUS APERTUS,,,0046747,3540130103
EUTINTINNUS PECTINUS,,,0046749,3540130105
EUTINTINNUS PERMINUTUS,,,0046748,3540130104
FAVELLA,,,0046707,35400701
FORAMINIFERIDA,FORAMS,,0044030,3448
GLOBOROTALIA,,,0045782,34541501
GURLEYI MARSSONIELLA,,SA,0046207,3509040201
HAPLOSPORIDIUM NELSONI,MSX,,0046167,3496020102
HAPTORIDA,,,BAY0126,3516
HELICOSTOMELLA,,,0046698,35400502
HELICOSTOMELLA FUSIFORMIS,,,0046700,3540050202
HETEROTRICHINA,,,0046563,3537
HOLOTRICIA,CILIATEA HOLOTRICIA,,BAY0072,3514
HYALOSPHENIIDAE,,,0043974,344205
HYPOTRICHIDA,,,0046784,3543
LABOEA STROBILA,,,0181002,3539030301
LEPROTINTINNUS,,,0046625,35400102
LESQUEREUSIA GIBBOSA,,,BAY0139,3442010201
MARSSONIELLA ELEGANS,,S,0046208,3509040201
MESODINIUM,,,0046287,35160102
MESODINIUM PULEX,,,0046288,3516010201
MESODINIUM RUBRUM,,,0046289,3516010202
METACYLIS,,,0046695,35400501
MOBILINA,,,0046523,3532
MYXOZOA,,SA,0202430,3501
,49,,,
