Name: “Table 1 of 1 on page 34 of 142”,Name: “Table 1 of 1 on page 34 of 142”,Name: “Table 1 of 1 on page 34 of 142”,Name: “Table 1 of 1 on page 34 of 142”,Name: “Table 1 of 1 on page 34 of 142”
Table: 34,Table: 34,Table: 34,Table: 34,Table: 34
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
TROPIDONEIS,,,0004657,07030520
TROPIDONEIS ANTARCTICA,,S,0004659,0703052002
TROPIDONEIS ANTARCTICA POLYPLASTA,,,0004660,070305200201
TROPIDONEIS LEPIDOPTERA,,,0004658,0703052001
TROPIDONEIS SERIATA,,,BAY0283,07030520SER
,CHLOROPHYCOTA - GREEN ALGAE,CHLOROPHYCOTA - GREEN ALGAE,,
,(Kingdom Plantae:Division (Phylum) Chlorophycota),(Kingdom Plantae:Division (Phylum) Chlorophycota),(Kingdom Plantae:Division (Phylum) Chlorophycota),
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ACANTHOSPHAERA ZACHARIASI,,,0006330,0803120301
ACTINASTRUM,,,0006098,08030901
ACTINASTRUM GRACILLIMUM,,,0006103,0803090102
ACTINASTRUM HANTZSCHII,,,0006099,0803090101
ACTINASTRUM HANTZSCHII ELONGATUM,,,0006101,080309010102
ACTINASTRUM HANTZSCHII FLUVIATILE,,,0006100,080309010101
ANKISTRODESMUS,,,0005877,08030507
ANKISTRODESMUS ACICULARIS,,S,0005881,080305070102
ANKISTRODESMUS BRAUNII,,,0005887,0803050703
ANKISTRODESMUS CONVOLUTUS,,,0005886,0803050702
ANKISTRODESMUS FALCATUS,,,0005878,0803050701
ANKISTRODESMUS FALCATUS ACICULARIS,,SA,0005880,080305070102
ANKISTRODESMUS FALCATUS MIRABILIS,,,0005882,080305070103
ANKISTRODESMUS FALCATUS TUMIDUS,,,0005884,080305070105
ANKISTRODESMUS NANNOSELENE,,,0005894,0803050707
ANKISTRODESMUS SETIGURUS,,S,0005659,0803010301
ANKISTRODESMUS SPIRALIS,,SA,0005889,0803050705
ARTHRODESMUS,,,0008276,08100204
ARTHRODESMUS INCUS EXTENSUS,,,BAY0345,08100204INC
ARTHRODESMUS OCTOCORNIS,,,0008278,0810020403
ARTHRODESMUS PHIMUS,,,0008292,0810020410
ARTHRODESMUS SUBULATUS,,,0008285,0810020407
ARTHRODESMUS VALIDUS INCRASSATUS,,,0008288,081002040802
ASTASIA EUCHLORA,,S,0005541,0802021101
ASTEROCOCCUS LIMNETICUS,,,0009179,0812010701
BOTRYOCOCCUS,,SA,0006306,08031103
BOTRYOCOCCUS BRAUNII,,,0006308,0803110301
BOTRYOCOCCUS PROTUBERANS,,,0006310,0803110303
BOTRYOCOCCUS SUDETICUS,,,0006309,0803110302
BRACHIOMONAS WESTIANA,,,0005428,0802020104
CARTERIA,,,0005429,08020203
CARTERIA CORDIFORMIS,,,0005442,0802020313
CARTERIA ELLIPSOIDALIS,,,0180782,0802020319
CARTERIA GLOBOSA,,,0005434,0802020305
CARTERIA KLEBSII,,,0005443,0802020314
CHAETOSPHAERIDIUM GLOBOSUM,,,0009370,0821020201
CHARACIUM LIMNETICUM,,,0005760,0803020104
CHLAMYDOMONAS,,,0005448,08020204
CHLAMYDOMONAS GLOBOSA,,,0005449,0802020401
CHLAMYDOMONAS GRACILIS,,,0005483,0802020435
CHLAMYDOMONAS HALLENSIS,,,0005515,0802020466
CHLAMYDOMONAS MONADINA,,,0005500,0802020451
CHLAMYDOMONAS PSEUDOPERTYI,,,0005507,0802020458
CHLAMYDOMONAS SNOWII,,,0005510,0802020461
CHLORELLA,,,0005811,08030501
CHLORELLA ELLIPSOIDEA,,S,0005820,080305010702
CHLORELLA MARINA,,,0005812,0803050101
,24,,,
