Name: “Table 1 of 1 on page 87 of 142”,Name: “Table 1 of 1 on page 87 of 142”,Name: “Table 1 of 1 on page 87 of 142”,Name: “Table 1 of 1 on page 87 of 142”,Name: “Table 1 of 1 on page 87 of 142”
Table: 87,Table: 87,Table: 87,Table: 87,Table: 87
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ALONOPSIS,,,0084078,61090717
ARTEMIA,BRINE SHRIMP,,0083690,61040101
BOSMINA,,SA,0083936,61090301
BOSMINA COREGONI,,SA,0083951,6109030110
BOSMINA COREGONI MARITIMA,,,BAY0044,6109030110MA
BOSMINA LONGIROSTRIS,,,0083938,6109030101
BOSMINA LONGISPINA,,SA,0083949,6109030109
BOSMINIDAE,,,0083935,610903
CAMPTOCERCUS RECTIROSTRIS,,,0084057,6109071001
CEPHALOCARIDA,,,0083678,6101
CERIODAPHNIA,,,0083905,61090204
CERIODAPHNIA DUBIA,,SA,0083912,6109020407
CERIODAPHNIA LACUSTRIS,,,0083909,6109020404
CERIODAPHNIA QUADRANGULA,,,0083907,6109020402
CERIODAPHNIA RETICULATA,,,0083906,6109020401
CERIODAPHNIA RETICULATA DUBIA,,S,0083913,6109020407
CHYDORUS,,,0083992,61090702
CHYDORUS BICORNUTUS,,,0084000,6109070208
CHYDORUS SPHAERICUS,,,0083993,6109070201
CLADOCERA,WATER FLEAS,,0083832,6108
CRUSTACEA,CRUSTACEANS,,0083677,61
DAPHNIA,WATER FLEA,,0083873,61090201
DAPHNIA AMBIGUA,,,0083888,6109020113
DAPHNIA CATAWBA,,,0083886,6109020111
DAPHNIA DUBIA,,,0083894,6109020119
DAPHNIA LAEVIS,,,0083889,6109020114
DAPHNIA LONGISPINA,,,0083875,6109020102
DAPHNIA LUMHOLTZI,,,0684652,61090201LUMH
DAPHNIA MACROCOPA,,S,0084166,6109090102
DAPHNIA MAGNA,WATER FLEA,,0083884,6109020109
DAPHNIA PULEX,WATER FLEA,,0083874,6109020101
DAPHNIA RETROCURVA,,,0083879,6109020104
DIAPHANOSOMA,,,0083837,61090102
DIAPHANOSOMA BRACHYURUM,,,0083838,6109010201
DIAPHANOSOMA LEUCHTENBERGIANUM,,,0083839,6109010202
EUBOSMINA,,S,0083937,61090301
EUBOSMINA COREGONI,,S,0083952,6109030110
EUBOSMINA LONGISPINA,,S,0083950,6109030109
EUCLADOCERA,,,0083833,6109
EURYCERCUS LAMELLATUS,,,0084017,6109070301
EVADNE,,,0083960,61090501
EVADNE NORDMANNI,,,0083961,6109050101
EVADNE SPINIFERA,,,0083963,6109050103
EVADNE TERGESTINA,,,0083962,6109050102
HOLOPEDIUM,,,0083956,61090401
HOLOPEDIUM GIBBERUM,WATER FLEA,,0083957,6109040101
HUTCHINONIELLA TAYLORI,,,0083682,6102010101
ILYOCRYPTUS,,,0084132,61090805
ILYOCRYPTUS AGILIS,WATER FLEA,,0084135,6109080503
ILYOCRYPTUS SPINIFER,,,0084133,6109080501
KURZIA LATISSIMA,,,0084072,6109071401
LATHONURA RECTIROSTRIS,,,0084155,6109081101
LATONA SETIFERA,,,0083865,6109010401
LATONOPSIS FASCICULATA,,,0083871,6109010602
LEPTODORA KINDTII,GIANT WATER FLEA,,0083972,6109060101
LEYDIGIA ACANTHOCERCOIDES,,,0084027,6109070502
LEYDIGIA CILLIATA,,,BAY0290,61090705CILL
LEYDIGIA QUADRANGULARIS,,,0084026,6109070501
MACROTHRIX,,,0084118,61090801
,77,,,
