Name: “Table 1 of 1 on page 75 of 142”,Name: “Table 1 of 1 on page 75 of 142”,Name: “Table 1 of 1 on page 75 of 142”,Name: “Table 1 of 1 on page 75 of 142”,Name: “Table 1 of 1 on page 75 of 142”
Table: 75,Table: 75,Table: 75,Table: 75,Table: 75
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
SYLLIDES CONVOLUTA,,S,0065807,5001231503
SYLLIDES FLORIDANUS,,,0065815,5001231510
SYLLIDES FULVA,,,0065811,5001231507
SYLLIDES JAPONICA,,,0065804,5001231501
SYLLIDES LONGOCIRRATA,,SA,0065806,5001231503
SYLLIDES PAPILLOSA,,,BAY0262,50012315PAPL
SYLLIDES SETOSA,,SA,0065812,5001231508
SYLLIDES VERRILLI,,S,0065813,5001231508
TAUBERIA GRACILIS,,SA,0066728,5001410801
TEREBELLIDAE,,,0067899,500168
TEREBELLIDES STROEMI,,,0068069,5001690101
THARYX,,SA,0067141,50015003
THARYX ACUTUS,,,0067147,5001500305
THARYX ANNULOSUS,,S,0067148,5001500306
THARYX DORSOBRANCHIALIS,,SA,0067152,5001500306
THARYX MARIONI,,,0067149,5001500307
THARYX SETIGERA,,SA,0067145,5001500304
TRAVISIA,,,0067364,50015804
TRAVISIA PARVA,,,0067372,5001580407
TRIPOLYDORA,,,0067021,50014334
UNCISPIONIDAE,,,0068387,500180
WEBSTERINEREIS,,,0065971,50012410
WEBSTERINEREIS TRIDENTATA,,,0065972,5001241001
,"OLIGOCHAETA - EARTHWORMS, FRESHWATER ANNELIDS","OLIGOCHAETA - EARTHWORMS, FRESHWATER ANNELIDS","OLIGOCHAETA - EARTHWORMS, FRESHWATER ANNELIDS",
,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:,
,Phylum Annelida [Segmented Worms]:Class Oligochaeta),Phylum Annelida [Segmented Worms]:Class Oligochaeta),Phylum Annelida [Segmented Worms]:Class Oligochaeta),
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
AEOLOSOMA,,,0068424,50030101
AEOLOSOMA HEMPRICHI,,,0068427,5003010103
ALLONAIS,,,0068967,50090310
ARCTEONAIS,,,0068975,50090311
ARCTEONAIS LOMONDI,,,0068976,5009031101
AULODRILUS,,,0068679,50090208
AULODRILUS LIMNOBIUS,,,0068682,5009020802
AULODRILUS PAUCICHAETA,,,0068686,5009020805
AULODRILUS PIGUETI,,SA,0068680,5009020801
AULODRILUS PLURISETA,,SA,0068684,5009020804
AULODRILUS STEPHENSONI,,S,0068681,5009020801
AULOPHORUS,,S,0068899,50090306
AULOPHORUS FURCATA,,S,0068913,5009030608
BOTHRIONEURUM VEJDOVSKYANUM,,,0068779,5009022901
BRANCHIURA SOWERBYI,,,0068621,5009020304
BRATISLAVIA BILONGATA,,,0069022,5009032301
BRATISLAVIA UNIDENTATA,,,0069023,5009032302
CAMPTODRILUS CALIFORNICUS,,S,0068640,5009020501
CHAETOGASTER,,,0068934,50090307
CHAETOGASTER CRISTALLINUS,,S,0068939,5009030703
CHAETOGASTER DIAPHANUS,,SA,0068935,5009030701
CHAETOGASTER DIAPHANUS CYCLOPS,,S,0068936,5009030701
CHAETOGASTER DIASTROPHUS,,SA,0068938,5009030703
DERO,,SA,0068898,50090306
DERO DIGITATA,,SA,0068904,5009030604
DERO FLABELLIGER,,,0068902,5009030602
DERO FURCATA,,SA,0068912,5009030608
,65,,,
