Name: “Table 1 of 1 on page 35 of 142”,Name: “Table 1 of 1 on page 35 of 142”,Name: “Table 1 of 1 on page 35 of 142”,Name: “Table 1 of 1 on page 35 of 142”,Name: “Table 1 of 1 on page 35 of 142”
Table: 35,Table: 35,Table: 35,Table: 35,Table: 35
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
CHLORELLA SACCHAROPHILA ELLIPSOIDEA,,SA,0005819,080305010702
CHLORELLA SALINA,,,0005814,0803050103
CHLORELLA VULGARIS,,,0005815,0803050104
CHLOROCOCCALES,,,0005646,0803
CHLOROGONIUM,,,0005539,08020211
CHLOROGONIUM ELONGATUM,,,0005542,0802021102
CHLOROGONIUM EUCHLORUM,,SA,0005540,0802021101
CHLOROPHYCEAE,,,0005415,0801
CHLOROPHYTA,GREEN ALGAE,,0005414,08
CHODATELLA,,,0005866,08030506
CHODATELLA CHODATI,,,0005869,0803050602
CHODATELLA CILIATA,,SA,0005871,0803050604
CHODATELLA CITRIFORMIS,,,0005873,0803050605
CHODATELLA LONGISETA,,,0005870,0803050603
CHODATELLA QUADRISETA,,SA,0005867,0803050601
CHODATELLA SUBSALSA,,,0005874,0803050606
CHODATELLA WRATISLAWIENSIS,,,0005875,0803050607
CLADOPHORA,GREEN-TUFTED SEAWEEDS,,0006763,08080102
CLADOPHORA GLOMERATA,,SA,0006793,0808010221
CLADOPHORA GRACILIS,,,0006765,0808010203
CLADOPHORA UBERRIMA,,S,0189479,0808010221
CLOSTERIOPSIS,,SA,0005926,08030514
CLOSTERIOPSIS LONGISSIMA,,SA,0005927,0803051401
CLOSTERIUM,,,0007257,08100201
CLOSTERIUM ARCHERIANUM,,,0007294,0810020111
CLOSTERIUM DIANAE,,,0007318,0810020120
CLOSTERIUM LINEATUM,,,0007352,0810020133
CLOSTERIUM MONILIFERUM,,,0007357,0810020135
CLOSTERIUM PARVULUM,,,0007365,0810020137
CLOSTERIUM PRONUM,,,0007378,0810020141
CLOSTERIUM PRONUM LONGISSIMUM,,S,0005928,0803051401
CLOSTERIUM PSEUDODIANAE,,,0007379,0810020142
CLOSTERIUM SETACEUM,,,0007266,0810020103
CODIUM FRAGILE,DEAD-MAN'S FINGERS,,0006897,0809030101
COELASTRUM,,,0006273,08031001
COELASTRUM CAMBRICUM,,SA,0006275,0803100102
COELASTRUM MICROPORUM,,,0006279,0803100103
COELASTRUM RETICULATUM,,,0006281,0803100105
COELASTRUM SACBRUM,,,0006287,0803100109
COELASTRUM SPHAERICUM,,,0006282,0803100106
COELOSPHAERIUM CAMBRICUM,,S,0006276,0803100102
COSMARIUM,,,0007848,08100203
COSMARIUM ALPESTRE,,,0007858,0810020304
COSMARIUM CIRCULARE,,,0007887,0810020322
COSMARIUM CONTRACTUM,,,0007897,0810020326
COSMARIUM COSTATUM,,,0007902,0810020327
COSMARIUM CYNTHIA,,,BAY0349,08100203CYN
COSMARIUM FORMOSULUM,,,0007933,0810020341
COSMARIUM GRACILE,,,BAY0081,08100203GRAC
COSMARIUM MARGARITACEUM,,,0008244,0810021896
COSMARIUM ORNATUM,,,0008012,0810020374
COSMARIUM PULCHELLUM,,,0008243,0810021895
COSMARIUM PUNCTULATUM,,,0008055,0810020396
COSMARIUM PYRAMIDATUM,,,0008060,0810020399
COSMARIUM SUBRENIFORME,,,0008125,0810021830
COSMARIUM TENUE,,,0008137,0810021838
COSMARIUM TURPINII,,,0008148,0810021847
COSMOCLADIUM,,,0007164,08100116
COSMOCLADIUM PULCHELLUM,,,0007166,0810011602
,25,,,
