Name: “Table 1 of 1 on page 108 of 142”,Name: “Table 1 of 1 on page 108 of 142”,Name: “Table 1 of 1 on page 108 of 142”,Name: “Table 1 of 1 on page 108 of 142”,Name: “Table 1 of 1 on page 108 of 142”
Table: 108,Table: 108,Table: 108,Table: 108,Table: 108
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
EPHYDRA,,,0147486,64968505
EPHYDRIDAE,SHORE FLIES,,0146893,649666
EPIAESCHNA,,,0101637,62250205
EPOICOCLADIUS,,,0128682,64895621
ERIOCERA,,S,0120095,64830606
ERIOPTERA,,SA,0120503,64830706
ERISTALIS,,,0140904,64953002
ERISTALIS TENAX,HOVERFLY,,0140969,6495300221
ERPETOGOMPHUS,,,0101725,62250405
EUCRICOTOPUS,,S,0128576,64895616
EUKIEFFERIELLA,,SA,0128689,64895623
EUKIEFFERIELLA BREVICALCAR,,,0128703,6489562310
EUKIEFFERIELLA CLARIPENNIS,,,0128693,6489562302
EUKIEFFERIELLA DEVONICA,,SA,0128695,6489562304
EUKIEFFERIELLA DISCOLORIPES,,SA,0128699,6489562306
EUKIEFFERIELLA GRACEI,,,0128705,6489562312
EUKIEFFERIELLA PSEUDOMONTANA,,,0128706,6489562313
EUORTHOCLADIUS,,S,0128875,64895642
EUPELMIDAE,EUPELMIDS,,0153952,656708
EURYLOPHELLA,,,0101324,62170203
EURYLOPHELLA FUNERALIS,,SA,0101332,6217020304
EURYLOPHELLA TEMPORALIS,,SA,0101326,6217020302
EUSIMILIUM VITTATUM,,S,0126910,6489190180
EUSIMULIUM,,S,0126775,64891901
FLUVICOLA,,S,0114071,63160301
GERANOMYIA,,S,0119706,64830505
GERRIS,,SA,0103829,62740104
GLOSSOSOMA,,,0117159,64181903
GLOSSOSOMA NIGRIOR,,,0117164,6418190304
GLYPTOTENDIPES,,,0129483,64896017
GLYPTOTENDIPES AMERICANUS,,S,0129492,6489601704
GLYPTOTENDIPES LOBIFERUS,,SA,0129488,6489601704
GOELDICHIRONOMUS,,SA,0129506,64896018
GOERA,,,0116423,64180749
GOERA CALCARATA,,,0116427,6418074903
GOMPHAESCHNA,,,0101634,62250204
GOMPHIDAE,CLUBTAILS,,0101664,622504
GOMPHUS,,SA,0101665,62250402
GYRINIDAE,,,0112653,630508
GYRINULUS,,S,0112655,63050801
GYRINUS,,SA,0112654,63050801
HABROPHLEBIODES AMERICANA,,SA,0101126,6217010304
HABROPHLEBIODES BETTENI,,S,0101127,6217010304
HAGENIUS BREVISTYLUS,,,0101735,6225040701
HALIPLUS,,,0111858,63050401
HALOCLADIUS,,,0128725,64895627
HARNISCHIA,,,0129516,64896020
HARNISCHIA NEREIS,,S,0129609,6489603206
HARRISIOLA,,S,0102976,62540115
HEBRIDAE,VELVET WATER BUGS,,0103964,627405
HELICHUS,,SA,0114006,63160102
HELICHUS BASALIS,,,0114011,6316010202
HELICHUS LITHOPHILUS,,SA,0114009,6316010201
HELICOPSYCHE,,SA,0117016,64181701
HELICOPSYCHE BOREALIS,,,0117020,6418170101
HELIUS,,,0119690,64830503
HELMIDAE,RIFFLE BEETLES,S,0114094,631604
HELOCHARES,,SA,0113150,63090324
HELODIDAE,MARSH BEETLES,SA,0113923,631403
,98,,,
