Name: “Table 1 of 1 on page 48 of 142”,Name: “Table 1 of 1 on page 48 of 142”,Name: “Table 1 of 1 on page 48 of 142”,Name: “Table 1 of 1 on page 48 of 142”
Table: 48,Table: 48,Table: 48,Table: 48
,,,
A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
GYRODINIUM LACRYNA,,0202444,1204010429
GYRODINIUM PELLUCIDUM,,0010084,1204010407
GYRODINIUM SPIRALE,,0010086,1204010409
GYRODINIUM UNCATENUM,,0010095,1204010418
GYRODINIUM UNDULANS,,0010096,1204010419
HETERAULACUS POLYEDRICUS,,0010459,1204150201
HETEROCAPSA,,0010206,12041001
HETEROCAPSA AKASHIWO,,BAY0392,12041001AKAS
HETEROCAPSA TRIQUETRA,,0010207,1204100101
HISTIONEIS LONGICOLLIS,,0573432,12030202LON
HISTIONEIS VARIABILIS,,0573438,12030202VAR
KARLODINIUM MICRUM,,BAY0326,12KARLODINI
KATODINIUM,,0010104,12040105
KATODINIUM ASYMMETRICUM,,0010108,1204010504
KATODINIUM GLAUCUM,,0010105,12040105GLA
KATODINIUM ROTUNDATUM,,0010106,1204010502
KRYPTOPERIDINIUM,,0010352,12041006
LINGULODINIUM POLYEDRA,SA,0573538,1204110211
MASSARTIA,,0010113,12040106
MASSARTIA ROTUNDATA,,0010114,1204010601
MICRACANTHODINIUM SETIFERUM,SA,0010486,1204170201
MINUSCULA BIPES,SA,0010209,1204100201
MURRAYELLA,S,0573301,12041603
NEMATODINIUM ARMATUM,,0010129,1204020101
NOCTILUCA,,0010148,12040501
NOCTILUCA MILIARIS,,0010149,1204050101
NOCTILUCA SCINTILLANS,,0010150,1204050102
OBLEA ROTUNDA,,0010194,1204090401
ORNITHOCERCUS,,0009985,12030203
ORNITHOCERCUS MAGNIFICUS,,0009988,1203020303
ORNITHOCERCUS QUADRATUS,,0009986,1203020301
ORNITHOCERCUS STEINI,,0009989,1203020304
ORNITHOCERCUS THURNII,,0009987,1203020302
OXYRRHIS MARINA,,0010146,1204040201
OXYTOXUM,,0010463,12041602
OXYTOXUM BELGICAE,S,0573451,12040402BEL
OXYTOXUM CONSTRICTUM,,0010475,1204160212
OXYTOXUM CORONATUM,,0010477,1204160214
OXYTOXUM CRASSUM,,0573456,12041602CRAS
OXYTOXUM CURVATUM,,0550532,12041602CUR
OXYTOXUM DIPLOCONUS,,0573458,12041602DIP
OXYTOXUM ELEGANS,,0573459,12041602ELE
OXYTOXUM GLADIOLUS,,0010466,1204160203
OXYTOXUM GLOBOSUM,,BAY0192,12041602GLO
OXYTOXUM GRACILE,,0573461,12041602GRA
OXYTOXUM LATICEPS,,0550489,12041602LAT
OXYTOXUM LONGICEPS,,0010467,1204160204
OXYTOXUM MEDITERRANEUM,,0573464,12041602MED
38,,,
