Name: “Table 1 of 1 on page 16 of 142”,Name: “Table 1 of 1 on page 16 of 142”,Name: “Table 1 of 1 on page 16 of 142”,Name: “Table 1 of 1 on page 16 of 142”,Name: “Table 1 of 1 on page 16 of 142”
Table: 16,Table: 16,Table: 16,Table: 16,Table: 16
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
SYRACOSPHAERA PULCHRA,,,0002235,0603041801
UMBELLOSPHAERA HULBURTIANA,,,0002270,0603050703
UMBELLOSPHAERA IRREGULARIS,,,0002269,0603050702
UMBELLOSPHAERA TENUIS,,,0002268,0603050701
,BACILLARIOPHYTA- DIATOMS,,,
(Kingdom Protista: Section Protophyta [algal protists]:Division (Phylum) Bacillariophyta),(Kingdom Protista: Section Protophyta [algal protists]:Division (Phylum) Bacillariophyta),(Kingdom Protista: Section Protophyta [algal protists]:Division (Phylum) Bacillariophyta),(Kingdom Protista: Section Protophyta [algal protists]:Division (Phylum) Bacillariophyta),(Kingdom Protista: Section Protophyta [algal protists]:Division (Phylum) Bacillariophyta)
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ACHNANTHES,,,0003429,07030401
ACHNANTHES BREVIPES,,,0003430,0703040101
ACHNANTHES BREVIPES INTERMEDIA,,,0003434,070304010103
ACHNANTHES CHILENSIS,,,0003541,0703040160
ACHNANTHES CLEVEI,,,0003437,0703040104
ACHNANTHES DELICATULA,,,0003471,0703040126
ACHNANTHES EXIGUA,,,0003449,0703040112
ACHNANTHES FIMBRIATA,,,0003572,0703040185
ACHNANTHES FLEXUOSA,,,0003573,0703040186
ACHNANTHES HAUCKIANA,,,0003482,0703040133
ACHNANTHES HAUCKIANA ROSTRATA,,,0003483,070304013301
ACHNANTHES LANCEOLATA,,,0003489,0703040136
ACHNANTHES LEMMERMANNI,,,0003511,0703040141
ACHNANTHES LEMMERMANNI OBTUSA,,,0003513,070304014102
ACHNANTHES LONGIPES,,,0003435,0703040102
ACHNANTHES MINUTISSIMA,,,0003521,0703040146
ACHNANTHES PUNCTIFERA,,,0003575,0703040188
ACHNANTHES PUNCTULATA,,,0003574,0703040187
ACHNANTHES SAXONICA,,,0003556,0703040171
ACHNANTHES SUBSALOIDES,,,0003470,0703040125
ACHNANTHES TAENIATA,,,0003436,0703040103
ACHNANTHES TEMPEREI,,,0003576,0703040189
ACHNANTHES TENERA,,,0003443,0703040108
ACHNANTHES WELLSIAE,,,0003563,0703040176
ACTINOCYCLUS EHRENBERGII,,,0002665,0702060308
ACTINOCYCLUS NORMANNI NORMANNI,,,0002663,070206030602
ACTINOCYCLUS UNDULATUS,,S,0002623,0702040104
ACTINOPTYCHUS,,,0002618,07020401
ACTINOPTYCHUS SENARIUS,,,0002620,0702040102
ACTINOPTYCHUS SPLENDENS,,,0002621,0702040103
ACTINOPTYCHUS UNDULATUS,,SA,0002622,0702040104
ACTINOPTYCHUS VULGARIS,,,0202432,0702040105
AMPHIPLEURA RUTILANS,,,0004576,0703051501
AMPHIPLEURA RUTILANS DILLWYNII,,,0004578,070305150102
AMPHIPRORA,,,0004674,07030522
AMPHIPRORA ALATA,,,0004680,0703052204
AMPHIPRORA CHOLNOKYI,,S,BAY0012,0703052215
AMPHIPRORA CONSTRICTA,,SA,0004694,0703052215
AMPHIPRORA COSTATA,,,0004695,0703052216
AMPHIPRORA GIGANTEA SULCATA,,,0004678,070305220301
AMPHIPRORA ORNATA,,SA,0004683,0703052207
AMPHIPRORA PALUDOSA,,,0004685,0703052208
AMPHIPRORA SIMILIS,,,0004688,0703052209
AMPHORA,,,0004705,07030701
AMPHORA ACUTA,,,BAY0013,07030701ACUT
AMPHORA ACUTISCULA,,,0004706,0703070101
AMPHORA ANGUSTA,,,0004707,0703070102
AMPHORA ARENARIA,,,0004744,0703070121
,6,,,
