Name: “Table 1 of 1 on page 20 of 142”,Name: “Table 1 of 1 on page 20 of 142”,Name: “Table 1 of 1 on page 20 of 142”,Name: “Table 1 of 1 on page 20 of 142”,Name: “Table 1 of 1 on page 20 of 142”
Table: 20,Table: 20,Table: 20,Table: 20,Table: 20
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
CHAETOCEROS WIGHAMI,,,0002835,0702090158
CLIMACODIUM,,,0002734,07020712
CLIMACODIUM BICONCAVUM,,,0002736,0702071202
CLIMACODIUM FRAUENFELDIANUM,,,0002735,0702071201
COCCONEIS,,,0003577,07030402
COCCONEIS CLANDESTINA,,,BAY0073,0703040202CL
COCCONEIS COSTATA,,,0003578,0703040201
COCCONEIS CURVATULUS,,,0003623,0703040231
COCCONEIS DIMINUTA,,,0003609,0703040217
COCCONEIS DISCULUS,,,0003610,0703040218
COCCONEIS DISTANS,,,0003592,0703040207
COCCONEIS FLUVIATILIS,,,0003611,0703040219
COCCONEIS MOLESTA CRUCIFERA,,,BAY0074,07030402MOL
COCCONEIS PEDICULUS,,,0003617,0703040225
COCCONEIS PINNATA,,,0003593,0703040208
COCCONEIS PLACENTULA,,,0003596,0703040211
COCCONEIS PLACENTULA EUGLYPTA,,,0003598,070304021102
COCCONEIS PLACENTULA LINEATA,,,0003599,070304021103
COCCONEIS SCUTELLUM,,,0003584,0703040203
COCCONEIS SCUTELLUM ORNATA,,,0003585,070304020301
CONFERVA FLOCCULOSA,,S,0003248,0703012302
CORETHRON,,,0002386,07020110
CORETHRON CRIOPHILUM,,SA,0002387,0702011001
CORETHRON HYSTRIX,,S,0002388,0702011001
CORETHRON VALDIVAE,,,BAY0078,07020110VALD
COSCINODISCUS,,SA,0002546,07020301
COSCINODISCUS APICULATUS,,,0002588,0702030130
COSCINODISCUS APICULIFERUS,,,0002590,0702030132
COSCINODISCUS ARGUS,,,0002599,0702030141
COSCINODISCUS ASTEROMPHALUS,,,0002551,0702030103
COSCINODISCUS CENTRALIS,,,0002552,0702030104
COSCINODISCUS CINCTUS,,,0002589,0702030131
COSCINODISCUS CONCINNUS,,,0002555,0702030105
COSCINODISCUS CURVATULUS,,,0002572,0702030117
COSCINODISCUS EXCENTRICUS,,,0002556,0702030106
COSCINODISCUS FAURII,,S,0002513,0702020524
COSCINODISCUS GIGAS,,,0002584,0702030127
COSCINODISCUS GIGAS PRAETEXTA,,,0002585,070203012701
COSCINODISCUS GRANII,,,0002557,0702030107
COSCINODISCUS GRANULOSUS,,,0002586,0702030128
COSCINODISCUS LACUSTRIS,,,0002596,0702030138
COSCINODISCUS LINEATUS,,SA,0002559,0702030109
COSCINODISCUS MARGINATUS,,,0002560,0702030110
COSCINODISCUS NITIDUS,,,0002561,0702030111
COSCINODISCUS NOBILIS,,,0002576,0702030121
COSCINODISCUS OBSCURUS,,,0002587,0702030129
COSCINODISCUS OCULUS-IRIDIS,,,0002562,0702030112
COSCINODISCUS PERFORATUS,,,0002563,0702030113
COSCINODISCUS PYGMAEUS MICROPUNCTATA,,,0002611,070203014902
COSCINODISCUS RADIATUS,,,0002567,0702030114
COSCINODISCUS ROTULA,,,BAY0079,07020301ROT0
COSCINODISCUS RUDOLFII,,S,0002517,0702020527
COSCINODISCUS STELLARIS,,,0002568,0702030115
COSCINODISCUS STELLARIS SYMBOLOPHORA,,,0002569,070203011501
COSCINODISCUS SUB-BULLIENS,,,0002592,0702030134
COSCINODISCUS SUBLINEATUS,,,BAY0080,07020301SUBL
COSCINODISCUS SUBTILIS,,,0002579,0702030124
COSCINODISCUS TABULARIS,,S,0002580,0702030125
COSCINODISCUS WAILESII,,,0002571,0702030116
,10,,,
