Name: “Table 1 of 1 on page 22 of 142”,Name: “Table 1 of 1 on page 22 of 142”,Name: “Table 1 of 1 on page 22 of 142”,Name: “Table 1 of 1 on page 22 of 142”,Name: “Table 1 of 1 on page 22 of 142”
Table: 22,Table: 22,Table: 22,Table: 22,Table: 22
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
DIPLONEIS BOMBUS,,,0004333,0703050605
DIPLONEIS CONSTRICTA,,,0004345,0703050614
DIPLONEIS CRABRO,,,0004334,0703050606
DIPLONEIS CRABRO PANDURA,,,BAY0092,0703050606PA
DIPLONEIS ELLIPTICA,,,0004350,0703050620
DIPLONEIS FINNICA,,,0004353,0703050621
DIPLONEIS GRUENDLERI,,,BAY0093,07030506GRU
DIPLONEIS LITTORALIS,,SA,0004341,0703050611
DIPLONEIS OBLIQUA,,,BAY0094,07030506OBLI
DIPLONEIS OBLONGELLA,,S,0004360,070305062302
DIPLONEIS OVALIS,,,0004357,0703050623
DIPLONEIS OVALIS OBLONGELLA,,SA,0004359,070305062302
DIPLONEIS PUELLA,,,0004335,0703050607
DIPLONEIS SMITHI,,,0004328,0703050603
DIPLONEIS SMITHI DILATATA,,,0004331,070305060303
DIPLONEIS SMITHI PUMILA,,,0004330,070305060302
DIPLONEIS SUBCINCTA,,,0004332,0703050604
DIPLONEIS SUBORBICULARIS,,,0004337,0703050609
DITYLIUM,,S,0002927,07021004
DITYLUM,,SA,0002926,07021004
DITYLUM BRIGHTWELLII,,,0002928,0702100401
ENCYONEMA,,,0590838,070304ENCYO
ENCYONEMA SILESIACUM,,SA,0591272,0703070444
ENTOMONEIS ORNATA,,S,0004684,0703052207
EPITHEMIA,,,0005005,07030901
EPITHEMIA ARGUS,,SA,0005006,0703090101
EPITHEMIA INTERMEDIA,,S,0005007,0703090101
EPITHEMIA TURGIDA,,,0005020,0703090107
EUCAMPIA,,,0002730,07020711
EUCAMPIA CORNUTA,,,0002731,0702071101
EUCAMPIA ZOODIACUS,,,0002733,0702071103
EUNOTIA,,,0003337,07030301
EUNOTIA BIDENTULA,,,0193766,0703030141
EUNOTIA CURVATA,,S,0003389,0703030123
EUNOTIA LUNARIS,,SA,0003388,0703030123
EUNOTIA MAJOR,,,0003403,0703030129
EUNOTIA PECTINALIS,,,0003357,0703030112
EUNOTIA PRAERUPTA,,SA,0003365,0703030113
EUNOTIA PRAERUPTA CURTA,,S,0003366,0703030113
EUNOTIA PRAERUPTA LATICEPS,,S,0003367,0703030113
EUNOTIA SERRA DIADEMA,,,0003374,070303011602
EUNOTIA VALIDA,,,0003412,0703030138
EUNOTOGRAMMA LAEVIS,,,0002724,0702070802
FRAGILARIA,,,0002932,07030101
FRAGILARIA ARCUS,,S,0003325,0703012701
FRAGILARIA CAPUCINA,,,0002953,0703010106
FRAGILARIA CONSTRUENS,,,0002957,0703010107
FRAGILARIA CONSTRUENS SUBSALINA,,,0002963,070301010706
FRAGILARIA CONSTRUENS VENTER,,,0002964,070301010707
FRAGILARIA CROTONENSIS,,,0002933,0703010101
FRAGILARIA GESNERI,,,0003004,0703010128
FRAGILARIA HYALINA,,,0202433,0703010133
FRAGILARIA INTERMEDIA,,,0002987,0703010118
FRAGILARIA OCEANICA,,,0002973,0703010111
FRAGILARIA PINNATA,,,0002937,0703010102
FRAGILARIA STRIATULA,,,0002941,0703010103
FRAGILARIA VAUCHERIAE,,SA,0002942,0703010104
FRAGILARIA VIRESCENS CLAVATA,,S,0002972,070301011004
FRAGILARIA VIRESCENS OBLONGELLA,,SA,0002971,070301011004
,12,,,
