Name: “Table 1 of 1 on page 128 of 142”,Name: “Table 1 of 1 on page 128 of 142”,Name: “Table 1 of 1 on page 128 of 142”,Name: “Table 1 of 1 on page 128 of 142”,Name: “Table 1 of 1 on page 128 of 142”
Table: 128,Table: 128,Table: 128,Table: 128,Table: 128
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ETHEOSTOMA NIGRUM,JOHNNY DARTER,,0168369,8835200110
ETHEOSTOMA OLMSTEDI,TESSELLATED DARTER,,0168360,8835200102
ETHEOSTOMA SELLARE,MARYLAND DARTER,,0168361,8835200103
ETHEOSTOMA SERRIFER,SAWCHEEK DARTER,,0168362,8835200104
ETHEOSTOMA VITREUM,GLASSY DARTER,,0168364,8835200105
ETHEOSTOMA ZONALE,BANDED DARTER,,0168449,8835200188
ETROPUS CROSSOTUS,FRINGED FLOUNDER,,0172729,8857030201
ETROPUS MICROSTOMUS,SMALLMOUTH FLOUNDER,,0172730,8857030202
ETROPUS RIMOSUS,GRAY FLOUNDER,,0172732,8857030204
ETRUMEUS TERES,ROUND HERRING,,0161743,8747010601
EUCINOSTOMUS ARGENTEUS,SPOTFIN MOJARRA,,0169015,8835390101
EUCINOSTOMUS GULA,SILVER JENNY,,0169016,8835390102
EUCINOSTOMUS LEFROYI,MOTTLED MOJARRA,,0169018,8835390104
EUPOMOTIS AUREUS,PUMPKINSEED,S,0168145,8835160505
EUPOMOTIS MACROCHIRUS,BLUEGILL,S,0168142,8835160504
EUTHYNNUS ALLETTERATUS,LITTLE TUNNY,,0172402,8850030102
EUTHYNNUS PELAMIS,SKIPJACK TUNA,SA,0172400,8850030101
EVORTHODUS LYRICUS,LYRE GOBY,,0171764,8847010401
EXOCOETIDAE,HALFBEAKS,,0165431,880301
EXOGLOSSUM MAXILLINGUA,CUTLIPS MINNOW,,0163356,8776010401
FISTULARIA TABACARIA,TOBACCO TRUMPETFISH,,0166416,8819020101
FUNDULUS CONFLUENTUS,MARSH KILLIFISH,,0165645,8804040201
FUNDULUS DIAPHANUS,BANDED KILLIFISH,,0165646,8804040202
FUNDULUS FUSCUS,EASTERN MUDMINNOW,S,0162149,8758020101
FUNDULUS HETEROCLITUS,MUMMICHOG,,0165647,8804040203
FUNDULUS LINEOLATUS,LINED TOPMINNOW,,0165662,8804040218
FUNDULUS LUCIAE,SPOTFIN KILLIFISH,,0165648,8804040204
FUNDULUS MAJALIS,STRIPED KILLIFISH,,0165649,8804040205
GADIDAE,TRUE CODS,,0164701,879103
GADUS MORHUA,ATLANTIC COD,,0164712,8791030402
GAMBUSIA AFFINIS,WESTERN MOSQUITOFISH,SA,0165878,8804080101
GAMBUSIA HOLBROOKI,EASTERN MOSQUITOFISH,,0165896,8804080116
GAMBUSIA PATRUELIS,WESTERN MOSQUITOFISH,S,0165879,8804080101
GASTEROSTEIDAE,STICKLEBACKS,,0166363,881801
GASTEROSTEUS ACULEATUS,THREESPINE STICKLEBACK,SA,0166365,8818010101
GASTEROSTEUS ANGYROPOMUS,THREESPINE STICKLEBACK,S,0166366,8818010101
GASTEROSTEUS BIACULEATUS,THREESPINE STICKLEBACK,S,0166367,8818010101
GASTEROSTEUS BISPINOSUS,THREESPINE STICKLEBACK,S,0166368,8818010101
GASTEROSTEUS BRACHYCENTRUS,THREESPINE STICKLEBACK,S,0166369,8818010101
GASTEROSTEUS CATAPHRACTUS,THREESPINE STICKLEBACK,S,0166370,8818010101
GASTEROSTEUS CUVIERI,THREESPINE STICKLEBACK,S,0166371,8818010101
GASTEROSTEUS GYMNURUS,THREESPINE STICKLEBACK,S,0166372,8818010101
GASTEROSTEUS LEIURUS,THREESPINE STICKLEBACK,S,0166373,8818010101
GASTEROSTEUS NIGER,THREESPINE STICKLEBACK,S,0166374,8818010101
GASTEROSTEUS NOVEBORACENSIS,THREESPINE STICKLEBACK,S,0166375,8818010101
GASTEROSTEUS OBOLARIUS,THREESPINE STICKLEBACK,S,0166376,8818010101
GASTEROSTEUS PONTICUS,THREESPINE STICKLEBACK,S,0166377,8818010101
GASTEROSTEUS SEMILORICATUS,THREESPINE STICKLEBACK,S,0166379,8818010101
GASTEROSTEUS SPINULOSUS,THREESPINE STICKLEBACK,S,0166380,8818010101
GASTEROSTEUS TERACULEATUS,THREESPINE STICKLEBACK,S,0166381,8818010101
GASTEROSTEUS TETRACANTHUS,THREESPINE STICKLEBACK,S,0166382,8818010101
GASTEROSTEUS TRACHURUS,THREESPINE STICKLEBACK,S,0166383,8818010101
GEMPYLIDAE,SNAKE MACKERELS,,0172354,885001
GLYPTOCEPHALUS CYNOGLOSSUS,WITCH FLOUNDER,,0172873,8857040502
GOBIESOCIDAE,CLINGFISHES,,0164457,878401
GOBIESOX STRUMOSUS,SKILLETFISH,,0164460,8784010102
GOBIIDAE,TRUE GOBIES,,0171746,884701
GOBIONELLUS BOLEOSOMA,DARTER GOBY,,0171768,8847010501
GOBIONELLUS GRACILLIMUS,SLIM GOBY,S,0171771,8847010503
,118,,,
