Name: “Table 1 of 1 on page 14 of 142”,Name: “Table 1 of 1 on page 14 of 142”,Name: “Table 1 of 1 on page 14 of 142”,Name: “Table 1 of 1 on page 14 of 142”,Name: “Table 1 of 1 on page 14 of 142”
Table: 14,Table: 14,Table: 14,Table: 14,Table: 14
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
DINOBRYON DIVERGENS DIVERGENS,,,0001535,040202010801
DINOBRYON DIVERGENS SCHAUINSLANDI,,,0001536,040202010802
DINOBRYON SERTULARIA,,,0001517,0402020101
DINOBRYON SOCIALE,,,0001525,0402020105
DISTEPHANUS SPECULUM,,,0001810,0407010202
EBRIA TRIPARTITA,,,0001814,0407010301
KEPHYRION,,,0001764,04050203
KEPHYRION OVALE,,,BAY0134,04050203OVAL
MALLOMONAS,,,0001598,04020301
MALLOMONAS ACAROIDES,,,0001599,0402030102
MALLOMONAS CAUDATA,,,0001604,0402030105
MALLOMONAS PRODUCTA,,,0001609,0402030107
MALLOMONAS TONSURATA,,,0001612,0402030109
MESOCENA POLYMORPHA,,,0001817,0407010401
MONAS GUTTATA,,S,0001497,0402010803
NEPHROCHLORIS SALINA,,S,0001477,0402010404
OCHROMONAS,,,0001455,04020103
OCHROMONAS CAROLINA,,,0001456,0402010301
OCHROMONAS MINUSCULA,,,0202431,0402010316
OCHROMONAS MUTABILIS,,,0001462,0402010307
OCHROMONAS VARIABILIS,,,0001457,0402010302
PAVLOVA HOMMERSANDII,,,0001478,0402010405
PAVLOVA SALINA,,SA,0001476,0402010404
PSEUDOKEPHRION,,,BAY0234,04020204
PSEUDOPEDINELLA PYRIFORMIS,,,0001789,0405040202
RHIZOCHRYSIS LIMNETICA,,,0001822,0408010101
SPUMELLA GUTTATA,,SA,0001496,0402010803
STYLOCHRYSALIS PARASITICA,,,0001591,0402020701
SYNURA,,,0001655,04020304
SYNURA ADAMSII,,,0001657,0402030402
SYNURA UVELLA,,,0001656,0402030401
TRINACRIA REGINA,,,BAY0279,040207REGINA
UROGLENA,,,0001483,04020106
,XANTHOPHYTA - HETEROCHLORIDS OR YELLOW-GREEN ALGAE,XANTHOPHYTA - HETEROCHLORIDS OR YELLOW-GREEN ALGAE,XANTHOPHYTA - HETEROCHLORIDS OR YELLOW-GREEN ALGAE,XANTHOPHYTA - HETEROCHLORIDS OR YELLOW-GREEN ALGAE
(Kingdom Protista:Section Protophyta [algal protists]:Division (Phylum) Xanthophyta),(Kingdom Protista:Section Protophyta [algal protists]:Division (Phylum) Xanthophyta),(Kingdom Protista:Section Protophyta [algal protists]:Division (Phylum) Xanthophyta),(Kingdom Protista:Section Protophyta [algal protists]:Division (Phylum) Xanthophyta),(Kingdom Protista:Section Protophyta [algal protists]:Division (Phylum) Xanthophyta)
LATIN NAME,COMMON NAME,SYN,TSN,NODC
,,,,CODE
CENTRATRACTUS BELONOPHORUS,,SA,0002013,0504040401
CENTRITRACTIS BELONOPHORUS,,S,0002014,0504040401
HETEROSIGMA AKASHIWO,,SA,BAY0342,0502010701
MONODUS,,,0001941,05040102
MONODUS GUTTULA,,,BAY0156,05040102GUT
NEPHROCHLORIS,,,0001901,05020106
OLISTHODISCUS,,,0001903,05020107
OLISTHODISCUS CARTERAE,,S,0001904,0502010701
OLISTHODISCUS LUTEUS,,,0001905,0502010702
OPHIOCYTIUM,,,0002016,05040501
OPHIOCYTIUM CAPITATUM LONGISPINUM,,,0002019,050405010102
PSEUDOTETRAEDRON NEGLECTUM,,,0002009,0504040201
TRIBONEMA,,,0002053,05050102
TRIBONEMA AFFINE,,,0002060,0505010204
TRIBONEMA MINUS,,,0002059,0505010203
TRIBONEMA MONOCHLORUM,,,0002062,0505010206
VAUCHERIA,,,0002084,05060101
,4,,,
