Name: “Table 1 of 1 on page 127 of 142”,Name: “Table 1 of 1 on page 127 of 142”,Name: “Table 1 of 1 on page 127 of 142”,Name: “Table 1 of 1 on page 127 of 142”,Name: “Table 1 of 1 on page 127 of 142”
Table: 127,Table: 127,Table: 127,Table: 127,Table: 127
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
CTENOPHARYNGODON IDELLA,"GRASS CARP, SILVER ORFE",SA,0163537,8776012301
CYCLOPSETTA FIMBRIATA,SPOTFIN FLOUNDER,,0172777,8857030802
CYCLOPTERUS LUMPUS,LUMPFISH,,0167612,8831091501
CYNOGLOSSIDAE,TONGUEFISHES,,0173060,885802
CYNOSCION NEBULOSUS,SPOTTED SEATROUT,,0169239,8835440102
CYNOSCION NOTHUS,SILVER SEATROUT,,0169240,8835440103
CYNOSCION REGALIS,WEAKFISH,,0169241,8835440104
CYPRINELLA LUTRENSIS,RED SHINER,,0163792,8776017614
CYPRINELLA SPILOPTERA,SPOTFIN SHINER,SA,0163803,8776017619
CYPRINIDAE,MINNOWS AND CARPS,,0163342,877601
CYPRINODON VARIEGATUS,SHEEPSHEAD MINNOW,,0165631,8804040101
CYPRINODONTIDAE,KILLIFISHES,,0165629,880404
CYPRINUS AURATUS,GOLDFISH,S,0163351,8776010301
CYPRINUS CARPIO,EUROPEAN CARP,,0163344,8776010101
CYPSELURUS MELANURUS,ATLANTIC FLYINGFISH,S,0165447,8803010114
DACTYLOPTERUS VOLITANS,FLYING GURNARD,,0167624,8832010101
DECAPTERUS MACARELLUS,MACKEREL SCAD,,0168724,8835281201
DECAPTERUS PUNCTATUS,ROUND SCAD,,0168725,8835281202
DIAPTERUS AURATUS,IRISH POMPANO,,0169029,8835390204
DIODON HYSTRIX,PORCUPINE FISH,,0173391,8861030201
DIODONTIDAE,PORCUPINE FISHES,,0173382,886103
DIPLECTRUM BIVITTATUM,DWARF SAND PERCH,,0167796,8835021005
DIPLECTRUM FORMOSUM,SAND PERCH,,0167793,8835021002
DIPLODUS HOLBROOKI,SPOTTAIL PINFISH,,0169192,8835430401
DOROSOMA,,,0161736,87470105
DOROSOMA CEPEDIANUM,GIZZARD SHAD,,0161737,8747010501
DOROSOMA PETENENSE,THREADFIN SHAD,,0161738,8747010502
ECHENEIS NAUCRATES,SHARKSUCKER,,0168575,8835270201
ECHIODON,PEARLFISHES,,0165114,87920202
ELOPS SAURUS,LADYFISH,,0161111,8738010101
ENCHELYOPUS CIMBRIUS,FOURBEARD ROCKLING,SA,0164748,8791031501
ENGRAULIDAE,ANCHOVIES,,0161826,874702
ENGRAULIS ENCRASICOLUS,EUROPEAN ANCHOVY,SA,0161831,8747020104
ENGYOPHRYS SENTA,SPINY FLOUNDER,,0172779,8857030901
ENNEACANTHUS CHAETODON,BLACKBANDED SUNFISH,SA,0168108,8835160401
ENNEACANTHUS ERIACHA,LITTLE SUNFISH,S,0168122,8835160403
ENNEACANTHUS GLORIOSUS,BLUESPOTTED SUNFISH,SA,0168113,8835160402
ENNEACANTHUS GUTTATUS,LITTLE SUNFISH,S,0168123,8835160403
ENNEACANTHUS MARGAROTIS,BLUESPOTTED SUNFISH,S,0168115,8835160402
ENNEACANTHUS OBESUS,LITTLE SUNFISH,SA,0168117,8835160403
ENNEACANTHUS PINNIGER,BLUESPOTTED SUNFISH,S,0168116,8835160402
ENNEACANTHUS SIMULANS,LITTLE SUNFISH,S,0168126,8835160403
EPINEPHELUS,GROUPERS,,0167694,88350204
EPINEPHELUS ITAJARA,JEWFISH/ GOLIATH GROUPER,,0167695,8835020401
EPINEPHELUS STRIATUS,NASSAU GROUPER,,0167706,8835020412
ERICYMBA BUCCATA,SILVERJAW MINNOW,S,0163479,8776015012
ERIMYZON OBLONGUS,CREEK CHUBSUCKER,,0163924,8776040302
ERIMYZON SUCETTA,LAKE CHUBSUCKER,,0163922,8776040301
ESOCIDAE,PIKES,,0162137,875801
ESOX AMERICANUS AMERICANUS,REDFIN PICKEREL,,0162141,875801010201
ESOX AMERICANUS VERMICULATUS,GRASS PICKEREL,,0162142,875801010202
ESOX LUCIUS,NORTHERN PIKE,,0162139,8758010101
ESOX LUCIUS MASQUINONGY,TIGER MUSKIE,,BAY0102,8758010101MA
ESOX MASQUINONGY,MUSKELLUNGE,,0162144,8758010104
ESOX NIGER,CHAIN PICKEREL,,0162143,8758010103
ETHEOSTOMA,DARTERS,,0168357,88352001
ETHEOSTOMA BLENNIOIDES,GREENSIDE DARTER,,0168375,8835200117
ETHEOSTOMA FLABELLARE,FANTAIL DARTER,,0168394,8835200135
ETHEOSTOMA FUSIFORME,SWAMP DARTER,,0168358,8835200101
,117,,,
