Name: “Table 1 of 1 on page 137 of 142”,Name: “Table 1 of 1 on page 137 of 142”,Name: “Table 1 of 1 on page 137 of 142”,Name: “Table 1 of 1 on page 137 of 142”,Name: “Table 1 of 1 on page 137 of 142”
Table: 137,Table: 137,Table: 137,Table: 137,Table: 137
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ANAS STREPERA,GADWALL,,0175073,9112010906
ANATIDAE,UNIDENTIFIED DUCK,,0174983,911201
ANSERIFORMES,WATERFOWL,,0174982,9112
AQUILA CHRYSAETOS,GOLDEN EAGLE,,0175407,9113020901
ARDEA HERODIAS,GREAT BLUE HERON,,0174773,9111010101
AYTHYA,"DIVING DUCKS,SCAUPS",,0175124,91120111
AYTHYA AFFINIS,LESSER SCAUP,,0175134,9112011107
AYTHYA AMERICANA,REDHEAD,,0175125,9112011101
AYTHYA COLLARIS,RING-NECKED DUCK,,0175128,9112011104
AYTHYA FERINA,COMMON POCHARD,,0175126,9112011102
AYTHYA MARILA,GREATER SCAUP,,0175130,9112011106
AYTHYA VALISINERIA,CANVASBACK,,0175129,9112011105
BRANTA BERNICLA,BRANT,,0175011,9112010302
BRANTA CANADENSIS,CANADA GOOSE,,0174999,9112010301
BUBO VIRGINIANUS,GREAT HORNED OWL,,0177884,9137020201
BUBULCUS IBIS,CATTLE EGRET,,0174803,9111010401
BUCEPHALA ALBEOLA,BUFFLEHEAD,,0175145,9112011203
BUCEPHALA CLANGULA,COMMON GOLDENEYE,,0175141,9112011201
BUTEO JAMAICENSIS,RED-TAILED HAWK,,0175350,9113020601
BUTORIDES STRIATUS,GREEN-BACKED HERON,,0174798,9111010203
CASMERODIUS,GREAT EGRETS,,0174809,91110106
CASMERODIUS ALBUS,GREAT EGRET,,0174810,9111010601
CATHARTES AURA,TURKEY VULTURE,,0175265,9113010101
CHEN CAERULESCENS,SNOW GOOSE,,0175038,9112010601
CLANGULA HYEMALIS,OLDSQUAW,,0175147,9112011301
COLAPTES AURATUS,NORTHERN FLICKER,,0178154,9153010201
CORVUS BRACHYRHYNCHOS,AMERICAN CROW,,0179731,9158450703
CORVUS OSSIFRAGUS,FISH CROW,,0179737,9158450705
CYGNUS COLUMBIANUS,TUNDRA SWAN,,0174987,9112010103
CYGNUS OLOR,MUTE SWAN,,0174985,9112010101
DRYOCOPUS PILEATUS,PILEATED WOODPECKER,,0178166,9153010301
EGRETTA CAERULEA,LITTLE BLUE HERON,,0174827,9111010712
EGRETTA THULA,SNOWY EGRET,,0174813,9111010701
EGRETTA TRICOLOR,TRICOLORED HERON,,0174826,9111010711
GAVIA IMMER,COMMON LOON,,0174469,9107010101
HALIAEETUS LEUCOCEPHALUS,BALD EAGLE,,0175420,9113021002
HIRUNDO RUSTICA,BARN SWALLOW,,0178448,9158020701
LARUS ARGENTATUS,HERRING GULLS,,0176824,9128020108
LARUS CALIFORNICUS,CALIFORNIA GULL,,0176829,9128020110
LARUS MARINUS,GREAT BLACK-BACKED GULL,,0176815,9128020104
MARECA AMERICANA,AMERICAN WIGEON,S,0175095,9112010916
MELANITTA,SCOTERS,,0175162,91120118
MERGUS SERRATOR,MERGANSER,,0175187,9112012102
NYCTICORAX NYCTICORAX,BLACK-CROWNED NIGHT-HERON,,0174832,9111010901
NYCTICORAX VIOLACEUS,YELLOW-CROWNED NIGHT HERON,,0174838,9111010905
OXYURA JAMAICENSIS,RUDDY DUCK,,0175175,9112011901
PANDION HALIAETUS,OSPREY,,0175590,9113030101
PASSER DOMESTICUS,HOUSE SPARROW,,0179628,9158350101
PICA PICA,BLACK-BILLED MAGPIE,,0179720,9158450601
PODICEPS AURITUS,HORNED GREBE,,0174482,9108010102
QUISCALUS QUISCULA,COMMON GRACKLE,,0179104,9158320801
STERNA,TYPICAL TERNS,,0176885,91280207
STERNA ANTILLARUM,LEAST TERN,,0176923,9128020729
STERNA HIRUNDO,COMMON TERN,,0176888,9128020703
STURNUS VULGARIS,EUROPEAN STARLING,,0179637,9158360101
TYRANNUS TYRANNUS,EASTERN KINGBIRD,,0178279,9156090101
TYTO ALBA,COMMON BARN-OWL,,0177851,9137010101
,127,,,
