Name: “Table 1 of 1 on page 126 of 142”,Name: “Table 1 of 1 on page 126 of 142”,Name: “Table 1 of 1 on page 126 of 142”,Name: “Table 1 of 1 on page 126 of 142”,Name: “Table 1 of 1 on page 126 of 142”
Table: 126,Table: 126,Table: 126,Table: 126,Table: 126
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
BRYTTUS GLORIOSUS,BLUESPOTTED SUNFISH,S,0168114,8835160402
BRYTTUS OBESUS,LITTLE SUNFISH,S,0168120,8835160403
CAMPOSTOMA ANOMALUM,CENTRAL STONEROLLER,,0163508,8776011401
CARANGIDAE,POMPANOS,,0168584,883528
CARANX BARTHOLOMAEI,YELLOW JACK,,0168606,8835280301
CARANX CRYSOS,BLUE RUNNER,,0168612,8835280306
CARANX FUSUS,BLUE RUNNER,,0168608,8835280302
CARANX HIPPOS,CREVALLE JACK,,0168609,8835280303
CARANX LATUS,HORSE-EYE JACK,,0168610,8835280304
CARASSIUS AURATUS,GOLDFISH,SA,0163350,8776010301
CARPIODES,CARPSUCKER,,0163916,87760402
CARPIODES CYPRINUS,QUILLBACK,,0163917,8776040201
CATOSTOMIDAE,SUCKERS,,0163892,877604
CATOSTOMUS CATOSTOMUS,LONGNOSE SUCKER,,0163894,8776040101
CATOSTOMUS COMMERSONI,WHITE SUCKER,,0163895,8776040102
CATOSTOMUS MACROCHEILUS,LARGESCALE SUCKER,,0163896,8776040103
CAULOLATILUS CHRYSOPS,GOLDFACE TILEFISH,,0168544,8835220105
CENTRARCHIDAE,SUNFISHES,,0168093,883516
CENTRARCHUS IRIDEUS,ROUND SUNFISH,S,0168103,8835160301
CENTRARCHUS MACROPTERUS,ROUND SUNFISH,SA,0168102,8835160301
CENTRARCHUS SPAROIDES,ROUND SUNFISH,S,0168104,8835160301
CENTROPRISTIS OCYURUS,BANK SEA BASS,,0167690,8835020304
CENTROPRISTIS PHILADELPHICA,ROCK SEA BASS,,0167691,8835020305
CENTROPRISTIS STRIATA,BLACK SEA BASS,,0167687,8835020301
CERATOSCOPELUS MADERENSIS,,,0162578,8762140102
CHAENOBRYTTUS CYANELLUS,GREEN SUNFISH,S,0168134,8835160502
CHAENOBRYTTUS GULOSUS,WARMOUTH,SA,0168139,8835161001
CHAETODIPTERUS,SPADEFISHES,,0169538,88355201
CHAETODIPTERUS FABER,ATLANTIC SPADEFISH,,0169539,8835520101
CHAETODON AYA,BANK BUTTERFLYFISH,S,0169557,8835550102
CHAETODON OCELLATUS,SPOTFIN BUTTERFLYFISH,,0169556,8835550101
CHANNA ARGUS,NORTHERN SNAKEHEAD FISH,,0166680,8821010109
CHASMODES BOSQUIANUS,STRIPED BLENNY,,0171164,8842010301
CHAUNAX PICTUS,PAINTED ANGLERFISH,,0164571,8787030101
CHEILOPOGON MELANURUS,ATLANTIC FLYINGFISH,SA,0616682,8803010114
CHILOMYCTERUS ANTILLARUM,WEB BURRFISH,,0173386,8861030103
CHILOMYCTERUS SCHOEPFI,STRIPED BURRFISH,,0173384,8861030101
CHLOROPHTHALMUS AGASSIZI,SHORTNOSE GREENEYE,SA,0162430,8762040101
CHLOROSCOMBRUS CHRYSURUS,ATLANTIC BUMPER,,0168670,8835280401
CHOLOGASTER CORNUTA,SWAMPFISH,,0164390,8780010101
CITHARICHTHYS ARCTIFRONS,GULF STREAM FLOUNDER,,0172719,8857030104
CITHARICHTHYS CORNUTUS,HORNED WHIFF,,0172721,8857030106
CITHARICHTHYS GYMNORHINUS,ANGLEFIN WHIFF,,0172723,8857030108
CITHARICHTHYS MACROPS,SPOTTED WHIFF,,0172724,8857030109
CITHARICHTHYS SPILOPTERUS,BAY WHIFF,,0172725,8857030110
CLINOSTOMUS FUNDULOIDES,ROSYSIDE DACE,,0163371,8776010701
CLUPEA ENCRASICOLUS,EUROPEAN ANCHOVY,S,0161833,8747020104
CLUPEA HARENGUS,ATLANTIC HERRING,,0161722,8747010201
CLUPEA HARENGUS HARENGUS,ATLANTIC HERRING,,0161724,874701020102
CLUPEIDAE,HERRINGS,,0161700,874701
CONGER OCEANICUS,CONGER EEL,,0161326,8741120101
CONGRIDAE,CONGER EELS,,0161324,874112
COOKEOLUS BOOPS,GLASSEYE SNAPPER,S,0168182,8835170102
COPELANDIA ERIARCHA,LITTLE SUNFISH,S,0168121,8835160403
COREGONUS CLUPEAFORMIS,LAKE WHITEFISH,,0161941,8755010106
CORYPHAENA HIPPURUS,DOLPHIN (FISH),,0168791,8835290101
COTTIDAE,SCULPINS,,0167196,883102
COTTUS BAIRDI,MOTTLED SCULPIN,,0167237,8831020807
COTTUS GIRARDI,POTOMAC SCULPIN,,0167243,8831020813
,116,,,
