Name: “Table 1 of 1 on page 65 of 142”,Name: “Table 1 of 1 on page 65 of 142”,Name: “Table 1 of 1 on page 65 of 142”,Name: “Table 1 of 1 on page 65 of 142”,Name: “Table 1 of 1 on page 65 of 142”
Table: 65,Table: 65,Table: 65,Table: 65,Table: 65
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
CONOCHILOIDES NATANS,,,0059414,4507040102
CONOCHILUS,,,0059417,45070402
CONOCHILUS HIPPOCREPIS,,,0059418,4507040201
CONOCHILUS UNICORNIS,,,0059419,4507040202
ENCENTRUM,,,0058784,45060401
EOSPHORA,,,0058952,45060406
EPIPHANES,,,0058529,45060109
EUCHLANIS,,,0058578,45060118
EUCHLANIS DILATATA,,,0058582,4506011804
FILINIA,,,0059425,45070501
FILINIA BRACHIATA,,,0059427,4507050102
FILINIA LONGISETA,,,0059426,4507050101
FILINIA TERMINALIS,,,0059428,4507050103
GASTROPUS,,,0059175,45060802
GASTROPUS MINOR,,,0059176,4506080201
GASTROTRICHA,,,0057597,44
HARRINGIA ROUSSELETI,,,0059253,4506120302
HEXARTHRA,,SA,0059350,45070201
HEXARTHRA FENNICA,,,0059354,4507020103
HEXARTHRA MIRA,,SA,0059352,4507020101
KELLICOTTIA,,,0058485,45060105
KELLICOTTIA BOSTONIENSIS,,,0058487,4506010502
KELLICOTTIA LONGISPINA,,,0058486,4506010501
KERATELLA,,,0058348,45060101
KERATELLA COCHLEARIS,,,0058360,4506010103
KERATELLA COCHLEARIS COCHLEARIS,,,0058362,450601010302
KERATELLA COCHLEARIS HISPIDA,,,0058363,450601010303
KERATELLA COCHLEARIS MICRACANTHA,,,0058364,450601010304
KERATELLA COCHLEARIS ROBUSTA,,,0058365,450601010305
KERATELLA COCHLEARIS TECTA,,,0058366,450601010306
KERATELLA CRASSA,,,0058370,4506010104
KERATELLA EARLINAE,,,0058371,4506010105
KERATELLA QUADRATA,,,0058352,4506010102
KERATELLA VALGA,,,0058374,4506010106
LECANE,,,0058634,45060201
LEPADELLA,,,0058488,45060107
LEPADELLA PATELLA,,,0058492,4506010704
LOPHOCHARIS,,,0058535,45060111
LOPHOCHARIS SALPINA,,,0058536,4506011101
MACROCHAETUS,,,0058538,45060112
MACROTRACHELA,,,0058298,45040206
MONOMMATA,,,0058937,45060405
MONOSTYLA,,,0058747,45060202
MONOSTYLA BULLA,,,0058748,4506020201
MONOSTYLA CLOSTEROCERCA,,,0058751,4506020202
MONOSTYLA QUADRIDENTATA,,,0058752,4506020203
MYTILINA,,,0058546,45060113
NOTHOLCA,,,0058396,45060102
NOTHOLCA ACUMINATA,,,0058399,4506010203
NOTHOLCA STRIATA,,,0058398,4506010202
NOTOMMATA,,,0058885,45060404
PEDALIA,,S,0059351,45070201
PEDALIA MIRA,,S,0059353,4507020101
PLATYIAS,,,0058559,45060114
PLATYIAS PATULUS,,,0058560,4506011401
PLATYIAS QUADRICORNIS,,,0058563,4506011402
PLOESOMA,,,0059282,45061304
PLOESOMA HUDSONI,,S,0059291,4506130501
PLOESOMA TRUNCATUM,,,0059283,4506130402
POLYARTHRA,,,0059270,45061303
POLYARTHRA DISSIMULANS,,,0059272,4506130302
POLYARTHRA DOLICHOPTERA,,,0059273,4506130303
POLYARTHRA EURYPTERA,,,0059274,4506130304
POLYARTHRA MAJOR,,,0059275,4506130305
POLYARTHRA REMATA,,,0059276,4506130306
POLYARTHRA VULGARIS,,,0059277,4506130307
PROALES,,,0058796,45060402
ROTARIA,,,0058267,45040201
ROTARIA CITRINA,,,0058269,4504020102
,55,,,
