Name: “Table 1 of 1 on page 37 of 142”,Name: “Table 1 of 1 on page 37 of 142”,Name: “Table 1 of 1 on page 37 of 142”,Name: “Table 1 of 1 on page 37 of 142”,Name: “Table 1 of 1 on page 37 of 142”
Table: 37,Table: 37,Table: 37,Table: 37,Table: 37
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
GONIUM,,,0005573,08020301
GONIUM PECTORALE,,,0005574,0802030101
GONIUM SOCIALE,,,0005575,0802030102
HAEMATOCOCCUS LACUSTRIS,,,0005607,0802040101
HORMIDIUM KLEBSII,,,BAY0355,08030108KLE
HYALOTHECA,,,0008750,08100214
HYALOTHECA DISSILIENS,,,0008752,0810021402
HYALOTHECA DISSILIENS TATRICA,,,0008755,081002140203
HYDRODICTYON,,,0006079,08030802
HYDRODICTYON RETICULATUM,,,0006080,0803080201
INEFFIGIATUS,,S,0006307,08031103
KERATOCOCCUS,,,0202441,08030601
KIRCHNERIELLA,,,0005895,08030508
KIRCHNERIELLA CONTORTA,,,0005905,0803050803
KIRCHNERIELLA ELONGATA,,,0005906,0803050804
KIRCHNERIELLA LUNARIS,,SA,0005896,0803050801
KIRCHNERIELLA OBESA,,,0005901,0803050802
KIRCHNERIELLA OBESA MAJOR,,,0005904,080305080203
KIRCHNERIELLA SUBSOLITARIA,,,0005907,0803050805
LAGERHEIMIA,,,BAY0135,08030536
LAGERHEIMIA CILIATA,,S,0005872,0803050604
LAGERHEIMIA CITRIFORMIS,,S,BAY0136,0803053605
LAGERHEIMIA LONGISETA,,,0006022,0803053602
LAGERHEIMIA QUADRISETA,,S,0005868,0803050601
LOBOMONAS ROSTRATA,,,0005557,0802021501
MICRACTINIUM,,,0006321,08031202
MICRACTINIUM PUSILLUM,,,0006322,0803120201
MICRACTINIUM PUSILLUM ELEGANS,,,0006324,080312020102
MICRASTERIAS,,,0008358,08100206
MICRASTERIAS JOHNSONII,,,0008444,0810020626
MICRASTERIAS PINNATIFIDA,,,0008422,0810020621
MICRASTERIAS RADIATA,,,0008371,0810020606
MICRASTERIAS TRUNCATA,,,0008425,0810020622
MICROSPORA,,,0009295,08150101
MICROSPORA QUADRATA,,,0009304,0815010107
MONORAPHIDIUM,,,0005990,08030527
MONOSTROMA,,,0006481,08050201
MONOSTROMA GREVILLEI,,,0006492,0805020106
MOUGEOTIA,,,0007055,08100102
NANNOCHLORIS,,,0005825,08030502
NANNOCHLORIS ATOMUS,,,0005826,0803050201
NEPHROCYTIUM,,,0005964,08030521
NEPHROCYTIUM AGARDHIANUM,,,0005965,0803052101
NEPHROCYTIUM LIMNETICUM,,,0005968,0803052105
OEDOGONIUM,,,0008959,08110101
OOCYSTIS,,,0005827,08030503
OOCYSTIS BORGEI,,,0005833,0803050304
OOCYSTIS CRASSA,,,0005839,0803050308
OOCYSTIS ELLIPTICA,,,0005834,0803050305
OOCYSTIS LACUSTRIS,,,0005837,0803050306
OOCYSTIS PARVA,,,0005838,0803050307
OOCYSTIS PUSILLA,,,0005845,0803050312
OOCYSTIS SOLITARIA,,,0005846,0803050313
OOCYSTIS SUBMARINA,,,0005830,0803050303
PALMODICTYON,,,0009175,08120106
PALMODICTYON VARIUM,,,0009176,0812010601
PANDORINA,,,0005578,08020302
PANDORINA CHARKOWIENSIS,,,0005579,0802030201
PANDORINA MORUM,,SA,0005580,0802030202
,27,,,
