Name: “Table 1 of 1 on page 69 of 142”,Name: “Table 1 of 1 on page 69 of 142”,Name: “Table 1 of 1 on page 69 of 142”,Name: “Table 1 of 1 on page 69 of 142”,Name: “Table 1 of 1 on page 69 of 142”
Table: 69,Table: 69,Table: 69,Table: 69,Table: 69
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
EULALIA BILINEATA,,,0065287,5001130304
EULALIA SANGUINEA,,,0065285,5001130302
EUMIDA MACULOSA,,S,0065344,5001131101
EUMIDA SANGUINEA,,SA,0065343,5001131101
EUNEREIS,,,0065973,50012411
EUNICIDAE,,,0066260,500130
EUNOTOMASTUS,,,0067481,50016018
EUPOLYMNIA,,,0067906,50016802
EURYTHOE,,,0065195,50011007
EURYTHOE AMBIGUA,,S,0065179,5001100302
EXOGONE,,,0065721,50012307
EXOGONE DISPAR,,,0065722,5001230701
EXOGONE HEBES,,,0065730,5001230707
EXOGONE VERUGERA,,,0065727,5001230706
FICOPOMATUS ENIGMATICUS,,,0068350,5001732701
FILOGRANA,,,0068296,50017310
FILOGRANA IMPLEXA,,,0068297,5001731001
FLABELLIGERA,,,0067236,50015402
FLABELLIGERA AFFINIS,,,0067238,5001540202
FLABELLIGERIDAE,,,0067224,500154
GENETYLLIS CASTANEA,,SA,0065318,5001130701
GLYCERA,BLOODWORMS,,0066102,50012701
GLYCERA AMERICANA,,,0066106,5001270104
GLYCERA CAPITATA,,,0066103,5001270101
GLYCERA DIBRANCHIATA,,,0066107,5001270105
GLYCERA ROBUSTA,,,0066108,5001270106
GLYCERA SPHYRABRANCHA,,,0066118,5001270116
GLYCERIDAE,,,0066101,500127
GLYCINDE SOLITARIA,CHEVRON WORM,,0066132,5001280104
GONIADA NORVEGICA,,,0066142,5001280204
GONIADELLA GRACILIS,,,0066148,5001280301
GONIADIDAE,,,0066126,500128
GYMNONEREIS,,,0065987,50012415
GYPTIS,,,0065468,50012101
GYPTIS BREVIPALPA,,S,0065533,5001211902
GYPTIS CRYPTA,,SA,BAY0334,5001210103
GYPTIS VITTATA,,S,0065470,5001210103
HAPLOSCOLOPLOS FRAGILIS,,,0066580,5001400105
HAPLOSCOLOPLOS ROBUSTUS,,,0066579,5001400104
HARMOTHOE,,SA,0064502,50010208
HARMOTHOE ACANELLAE,,,0064522,5001020811
HARMOTHOE EXTENUATA,,SA,0064509,5001020803
HARMOTHOE IMBRICATA,FIFTEEN-SCALED WORM,SA,0064513,5001020806
HARMOTHOE LUNULATA,,S,0064518,5001020810
HARMOTHOE NODOSA,,,0064548,5001020828
HARMOTHOE OERSTEDI,,,0064549,5001020829
HARMOTHOE RARISPINA,,S,0064510,5001020803
HAUCHIELLA,,,0068034,50016826
HEMIPODUS BOREALIS,,SA,0066123,5001270201
HEMIPODUS ROSEUS,,S,0066124,5001270201
HESIONIDAE,,,0065467,500121
HESIONURA ELONGATA,,,0065334,5001130903
HETEROMASTUS,,,0067419,50016002
HETEROMASTUS FILIFORMIS,CAPITELLID THREAD WORM,,0067420,5001600201
HETEROSPIO,,,0067087,50014701
HETEROSPIONIDAE,,,0067086,500147
HOBSONIA FLORIDA,,S,0067755,5001670309
HYALINOECIA ARTIFEX,,S,0066214,5001290501
HYALINOECIA BILINEATA,,S,0066215,5001290501
,59,,,
