Name: “Table 1 of 1 on page 19 of 142”,Name: “Table 1 of 1 on page 19 of 142”,Name: “Table 1 of 1 on page 19 of 142”,Name: “Table 1 of 1 on page 19 of 142”,Name: “Table 1 of 1 on page 19 of 142”
Table: 19,Table: 19,Table: 19,Table: 19,Table: 19
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
CAMPYLOSIRA,,,0003190,07030116
CAMPYLOSIRA CYMBELLIFORMIS,,,0003191,0703011601
CAVINULA INTRACTATA,,SA,0591187,070305INSER
CENTRALES,CENTRIC DIATOM,,0002288,0702
CENTRONELLA,,,BAY0052,0703CENTRON
CERATAULINA BERGONII,,,0002754,0702080201
CERATAULINA PELAGICA,,,0002755,0702080202
CERATAULUS RADIATUS,,,BAY0053,07020703RAD
CERATAULUS SMITHI,,,0002710,0702070301
CERATONEIS,,,0003321,07030127
CERATONEIS ARCUS,,S,0003323,0703012701
CHAETOCEROS,,,0002758,07020901
CHAETOCEROS AFFINIS,,,0002759,0702090101
CHAETOCEROS AFFINIS WILLEI,,,0002761,070209010102
CHAETOCEROS ATLANTICUM,,,0002769,0702090104
CHAETOCEROS ATLANTICUM NEAPOLITANA,,,0002771,070209010402
CHAETOCEROS ATLANTICUS BOREALIS,,S,0002775,0702090105
CHAETOCEROS BOREALIS,,SA,0002774,0702090105
CHAETOCEROS BREVIS,,,0002776,0702090106
CHAETOCEROS COARCTATUS,,,0002779,0702090109
CHAETOCEROS COMPRESSUS,,,0002780,0702090110
CHAETOCEROS CONCAVICORNIS,,,0002781,0702090111
CHAETOCEROS CONSTRICTUS,,,0002783,0702090112
CHAETOCEROS CONVOLUTUS,,,0002784,0702090113
CHAETOCEROS COSTATUS,,,0002785,0702090114
CHAETOCEROS CRINITUS,,,0002838,0702090161
CHAETOCEROS CURVISETUS,,,0002787,0702090116
CHAETOCEROS DANICUS,,,0002789,0702090118
CHAETOCEROS DEBILIS,,,0002790,0702090119
CHAETOCEROS DECIPIENS,,,0002791,0702090120
CHAETOCEROS DENSUM,,,0002794,0702090121
CHAETOCEROS DIADEMA,,,0002795,0702090122
CHAETOCEROS DIDYMUS,,,0002797,0702090124
CHAETOCEROS DIDYMUS PROTUBERANS,,,0002799,070209012402
CHAETOCEROS DIFFICILIS,,,0002801,0702090125
CHAETOCEROS DIVERSUS,,,0002803,0702090127
CHAETOCEROS FRAGILIS,,,0002841,0702090164
CHAETOCEROS GRACILIS,,SA,0002806,0702090130
CHAETOCEROS HOLSATICUS,,,0002807,0702090131
CHAETOCEROS LACINIOSUS,,,0002809,0702090133
CHAETOCEROS LORENZIANUS,,,0002811,0702090135
CHAETOCEROS MESSANENSIS,,,0002812,0702090136
CHAETOCEROS MITRA,,,0002813,0702090137
CHAETOCEROS MUELLERI,,,0002849,0702090173
CHAETOCEROS NEOGRACILIS,,S,BAY0066,0702090130
CHAETOCEROS PELAGICUS,,,0002814,0702090138
CHAETOCEROS PENDULUS,,,0002819,0702090142
CHAETOCEROS PERUVIANUS,,,0002816,0702090140
CHAETOCEROS PSEUDOCURVISETUS,,,0002821,0702090144
CHAETOCEROS RADICANS,,,0002822,0702090145
CHAETOCEROS ROSTRATUS,,,0550512,07020901ROST
CHAETOCEROS SIMILIS,,,0002826,0702090149
CHAETOCEROS SIMPLEX,,,0002844,0702090170
CHAETOCEROS SIMPLEX CALCITRANS,,,0002845,070209017001
CHAETOCEROS SOCIALIS,,,0002827,0702090150
CHAETOCEROS SUBTILIS,,,0002829,0702090152
CHAETOCEROS TERES,,,0002830,0702090153
CHAETOCEROS TETRASTICHON,,,0002831,0702090154
CHAETOCEROS TORTISSIMUS,,,0002832,0702090155
,9,,,
