Name: “Table 1 of 1 on page 122 of 142”,Name: “Table 1 of 1 on page 122 of 142”,Name: “Table 1 of 1 on page 122 of 142”,Name: “Table 1 of 1 on page 122 of 142”,Name: “Table 1 of 1 on page 122 of 142”
Table: 122,Table: 122,Table: 122,Table: 122,Table: 122
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
MOLGULA MANHATTENSIS,SEA GRAPES (SEA SQUIRT),SA,0159557,8406030108
MOLGULIDAE,,,0159540,840603
PEROPHORA VIRIDIS,GREEN BEADS TUNICATE,,0159138,8404030102
STYELA CLAVA,PACIFIC ROUGH SEA SQUIRT,,0159337,8406010510
STYELA MOLLIS,,S,0159256,8406010303
STYELA PLICATA,PLEATED SEA SQUIRT,,0159338,8406010511
TETHYUM MOLLIS,,S,0159257,8406010303
THALIACEA,PELAGIC TUNICATES,,0159632,8407
UROCHORDATA,TUNICATES,S,0158853,84
,"CEPHALOCHORDATA - LANCELETS, AMPHIOXIUS","CEPHALOCHORDATA - LANCELETS, AMPHIOXIUS","CEPHALOCHORDATA - LANCELETS, AMPHIOXIUS",
(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Chordata:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Chordata:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Chordata:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Chordata:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Chordata:
,Subphylum Cephalochordata),,,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
AMPHIOXUS,,S,0159689,85000101
BRANCHIOSTOMA,,SA,0159681,85000101
BRANCHIOSTOMA CARIBAEUM,,,0159682,8500010101
BRANCHIOSTOMA VIRGINIAE,,,0206924,8500010105
BRANCHIOSTOMIDAE,,,0159680,850001
,AGNATHA - JAWLESS FISH,,,
(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Chordata:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Chordata:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Chordata:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Chordata:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Chordata:
,Subphylum Vertebrata: Class Agnatha),Subphylum Vertebrata: Class Agnatha),,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
AMPHIOXUS,,S,0159689,85000101
BRANCHIOSTOMA,,SA,0159681,85000101
BRANCHIOSTOMA CARIBAEUM,,,0159682,8500010101
BRANCHIOSTOMA VIRGINIAE,,,0206924,8500010105
BRANCHIOSTOMIDAE,,,0159680,850001
,CHONDRICHTHYES - CARTILAGENOUS FISH,CHONDRICHTHYES - CARTILAGENOUS FISH,,
(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Chordata:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Chordata:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Chordata:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Chordata:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Chordata:
,Subphylum Vertebrata:Class Chondrichthyes),Subphylum Vertebrata:Class Chondrichthyes),,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ACANTHIAS SUCKLEYI,SPINY DOGFISH,S,0160618,8710010201
AETOBATUS NARINARI,SPOTTED EAGLE RAY,,0160978,8713070101
ALLOMYCTER DISSUTUS,SMOOTH DOGFISH,S,0160231,8708020401
ALOPIAS CAUDATUS,THRESHER SHARK,S,0159917,8707040401
ALOPIAS GREYI,THRESHER SHARK,S,0159918,8707040401
ALOPIAS VULPINUS,THRESHER SHARK,SA,0159916,8707040401
AMBLYRAJA RADIATA,THORNY SKATE,SA,0564149,8713040134
AMPHOTISTIUS,STINGRAYS,S,0160948,87130501
CARCHARHINIDAE,REQUIEM SHARKS,,0160178,870802
CARCHARHINUS AZUREUS,BULL SHARK,S,0160276,8708020502
CARCHARHINUS IRANZAE,DUSKY SHARK,S,0160269,8708020501
CARCHARHINUS JAPONICA,SANDBAR SHARK,S,0160291,8708020503
CARCHARHINUS LEUCAS,BULL SHARK,SA,0160275,8708020502
CARCHARHINUS MILBERTI,SANDBAR SHARK,S,0160290,8708020503
CARCHARHINUS NICARAGUENSIS,BULL SHARK,S,0160277,8708020502
CARCHARHINUS OBSCURELLA,DUSKY SHARK,S,0160270,8708020501
,112,,,
