Name: “Table 1 of 1 on page 85 of 142”,Name: “Table 1 of 1 on page 85 of 142”,Name: “Table 1 of 1 on page 85 of 142”,Name: “Table 1 of 1 on page 85 of 142”,Name: “Table 1 of 1 on page 85 of 142”,Name: “Table 1 of 1 on page 85 of 142”
Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85
,,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE,NODC CODE
PANDORA BUSHIANA,BUSH PANDORA,,0081900,5520020110,5520020110
PANDORA GOULDIANA,GOULD PANDORA,SA,0081896,5520020107,5520020107
PANDORA TRILINEATA,THREE-LINE PANDORA,,0081895,5520020106,5520020106
PARVILUCINA CRENELLA,MANY-LINED LUCINE,S,0080390,5515010102,5515010102
PARVILUCINA MULTILINEATA,MANY-LINED LUCINE,SA,0080388,5515010102,5515010102
PECTINIDAE,,,0079611,550905,
PELECYPODA,CLAMS,S,0079119,55,
PERIPLOMA,,,0081941,55200701,55200701
PERIPLOMA FRAGILE,,,0081943,5520070102,5520070102
PERIPLOMA MARGARITACEUM,,,0081947,5520070106,5520070106
PETRICOLA LATA,FALSE ANGELWING,S,0081628,5515480102,5515480102
PETRICOLA PHOLADIFORMIS,FALSE ANGELWING,SA,0081627,5515480102,5515480102
PHOLADIDAE,,,0081784,551801,
PINGUITELLINA,,S,0081075,55153102,55153102
PISIDIIDAE,PEACLAMS,,0081388,551546,
PISIDIUM,,,0081400,55154602,55154602
PISIDIUM COMPRESSUM,,,0081406,5515460206,5515460206
PISIDIUM DUBIUM,GREATER EASTERN PEACLAM,,0081402,5515460202,5515460202
PITAR MORRHUANUS,,,0081501,5515471201,5515471201
PLACOPECTEN MAGELLANICUS,SEA SCALLOP,,0079718,5509050901,5509050901
POLYMESODA CAROLINIANA,CAROLINA MARSHCLAM,,0081383,5515450101,5515450101
RANGIA CUNEATA,ATLANTIC RANGIA,,0080962,5515250401,5515250401
ROCHEFORTIA PLANULATA,PLATE MYSELLA,S,0080662,5515100110,5515100110
SEMELE PURPURASCENS,PURPLISH SEMELE,,0081295,5515350104,5515350104
SILIQUA COSTATA,ATLANTIC RAZOR,,0081012,5515290105,5515290105
SOLEMYA,,SA,0079314,55040101,55040101
SOLEMYA VELUM,ATLANTIC AWNINGCLAM,SA,0079316,5504010101,5504010101
SOLEN,,,0081015,55152902,55152902
SOLEN VIRIDIS,GREEN JACKKNIFE CLAM,,0081017,5515290202,5515290202
SOLENIDAE,,,0081006,551529,
SPHAERIUM,SHORT-SIPHONED FINGERNAIL CLAMS,,0081391,55154601,55154601
SPHAERIUM SIMILE,GROOVED FINGERNAILCLAM,,0081397,5515460106,5515460106
SPISULA SOLIDISSIMA,ATLANTIC SURFCLAM,,0080944,5515250102,5515250102
TAGELUS,,,0081271,55153302,55153302
TAGELUS DIVISUS,PURPLISH TAGELUS,,0081274,5515330202,5515330202
TAGELUS GIBBUS,STOUT TAGELUS,S,0081273,5515330201,5515330201
TAGELUS PLEBEIUS,STOUT TAGELUS,SA,0081272,5515330201,5515330201
TELLINA,,SA,0081074,55153102,55153102
TELLINA AGILIS,NORTHERN DWARF TELLIN,SA,0081088,5515310205,5515310205
TELLINA TENERA,NORTHERN DWARF TELLIN,S,0081090,5515310205,5515310205
TELLINA VERSICOLOR,MANY-COLORED TELLIN,,0081100,5515310209,5515310209
TELLINIDAE,,,0081032,551531,
TEREDO BARTSCHI,BARTSCH'S SHIPWORM,,0081866,5518020204,5518020204
TEREDO NAVALIS,,,0081862,5518020201,5518020201
UNIONIDAE,,,0079913,551202,
VENERIDAE,,,0081439,551547,
VENUS MERCENARIA,NORTHERN QUAHOG,S,0081497,5515471101,5515471101
YOLDIA,,SA,0079258,55020405,55020405
YOLDIA LIMATULA,FILE YOLDIA,,0079273,5502040511,5502040511
,SCAPHOPODA - TUSK SHELLS,,,,
(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Mollusca [Molluscs]:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Mollusca [Molluscs]:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Mollusca [Molluscs]:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Mollusca [Molluscs]:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Mollusca [Molluscs]:,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Mollusca [Molluscs]:
,Class Scaphopoda),,,,
LATIN NAME,COMMON NAME,SYN,SYN,TSN,NODC CODE
SCAPHOPODA,TUSK SHELLS,,,0082115,56
,75,,,,
