Name: “Table 1 of 1 on page 73 of 142”,Name: “Table 1 of 1 on page 73 of 142”,Name: “Table 1 of 1 on page 73 of 142”,Name: “Table 1 of 1 on page 73 of 142”,Name: “Table 1 of 1 on page 73 of 142”
Table: 73,Table: 73,Table: 73,Table: 73,Table: 73
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
PISTA PALMATA,,,0067947,5001680707
PISTA QUADRILOBATA,,SA,0067951,5001680711
PLATYNEREIS,,,0065947,50012405
PLATYNEREIS DUMERILII,,,0065950,5001240503
PODARKE OBSCURA,,,0065517,5001211502
PODARKEOPSIS,,,0065530,50012119
PODARKEOPSIS BREVIPALPA,,SA,0065532,5001211902
PODARKEOPSIS LEVIFUSCINA,,,0555698,50012119LEV
POLYCHAETA,POLYCHAETES,,0064358,5001
POLYCIRRUS,,,0067959,50016808
POLYCIRRUS EXIMIUS,,,0067963,5001680804
POLYDORA,WHIP MUD WORM,,0066789,50014304
POLYDORA CAULLERYI,,S,0066794,5001430404
POLYDORA COLONIA,,,0066808,5001430418
POLYDORA COMMENSALIS,,,0066800,5001430410
POLYDORA CORNUTA,,,0204501,5001430448
POLYDORA HAMATA,,S,0066887,5001430806
POLYDORA LIGNI,WHIP MUD WORM,,0066801,5001430411
POLYDORA QUADRILOBATA,,,0066798,5001430408
POLYDORA SOCIALIS,,,0066791,5001430402
POLYDORA WEBSTERI,OYSTER MUD WORM,,0066802,5001430412
POLYGORDIUS,,,0068419,50020501
POLYNOE LUNULATA,,S,0064520,5001020810
POLYNOIDAE,,,0064397,500102
POTAMILLA,,,0068126,50017006
POTAMILLA NEGLECTA,,,0068127,5001700601
POTAMILLA RENIFORMIS,,SA,0068136,5001700609
PRAXILLELLA,,,0067568,50016309
PRIONOSPIO,,,0066838,50014305
PRIONOSPIO CIRRIFERA,,S,0067031,5001433601
PRIONOSPIO CIRROBRANCHIATA,,S,0067033,5001433602
PRIONOSPIO CRISTATA,,,0066849,5001430510
PRIONOSPIO DAYI,,S,0067025,5001433501
PRIONOSPIO DELTA,,S,0067030,5001433601
PRIONOSPIO HETEROBRANCHIA,,,0066843,5001430503
PRIONOSPIO MULTIBRANCHIATA,,S,0067028,5001433601
PRIONOSPIO PATAGONICA,,S,0067029,5001433601
PRIONOSPIO PERKINSI,,,0066854,5001430517
PRIONOSPIO PYGMAEA,,SA,0066846,5001430507
PRIONOSPIO STEENSTRUPI,,,0066845,5001430506
PROCERAEA,,S,0065589,50012301
PROCERAEA CORNUTA,,S,0065591,5001230101
PROTODORVILLEA KEFERSTEINI,,,0066496,5001360203
PROTODRILUS,,,0068401,50020201
PROTOMYSTIDES BIDENTATA,,,0065352,5001131201
PROTOMYSTIDES BOREALIS,,,0065353,5001131202
PSEUDEURYTHOE,,S,0065174,50011003
PSEUDEURYTHOE AMBIGUA,,S,0065178,5001100302
PSEUDEURYTHOE PAUCIBRANCHIATA,,S,0065176,5001100301
PSEUDOCAPITELLA,,,0067491,50016023
PSEUDOLEIOCAPITELLA,,,0067487,50016021
PSEUDOPOLYDORA,,,0066926,50014315
PSEUDOPOTAMILLA RENIFORMIS,,S,0068137,5001700609
PYGOSPIO,,,0066915,50014313
RHYNCHOSPIO,,,0066907,50014312
RHYNCHOSPIO GLYCERA,,,0066911,5001431202
RULLIERINEREIS,,,0065997,50012418
SABACO ELONGATUS,BAMBOO WORM,SA,BAY0341,5001630103
SABELLA MICROPHTHALMA,FAN WORM,S,0068223,5001702801
,63,,,
